"box_folder","subject","date","year"
"box 119, folder 1","Cleveland City Club Address October 15, 1932","October 15, 1932","1932"
"box 119, folder 2","Rochester Chamber of Commerce Address January 16, 1933","January 16, 1933","1933"
"box 119, folder 3","Columbia Alumni Address February 13, 1933","February 13, 1933","1933"
"box 119, folder 4","Cincinnati Address March 17, 1933","March 17, 1933","1933"
"box 119, folder 5","Radio Address on London Conference May 20, 1933","May 20, 1933","1933"
"box 119, folder 6","Welfare Council Address May 23, 1933","May 23, 1933","1933"
"box 119, folder 7","Liberal Conference Address September 8, 1933","September 8, 1933","1933"
"box 119, folder 8","Cleveland Address October 31, 1933","October 31, 1933","1933"
"box 119, folder 9","American Institute of Banking (Cleveland) Address, (?) (no text or notes) November 1, 1933","November 1, 1933","1933"
"box 119, folder 10","Barnard Alumnae Association Address November 2, 1933","November 2, 1933","1933"
"box 119, folder 11","Pittsburgh Address (Amen Corner) November 4, 1933","November 4, 1933","1933"
"box 119, folder 12","Washington and Jefferson College Address November 4, 1933","November 4, 1933","1933"
"box 119, folder 13","Youngstown Address, (no text or notes) November 11, 1933","November 11, 1933","1933"
"box 119, folder 14","Association of National Advertisers Address November 14, 1933","November 14, 1933","1933"
"box 119, folder 15","Nebraska Bankers' Association Address November 16, 1933","November 16, 1933","1933"
"box 119, folder 16","Columbia University Address December 14, 1933","December 14, 1933","1933"
"box 119, folder 17","NBC Radio Address December 26, 1933","December 26, 1933","1933"
"box 120, folder 1","Address before the Governor's Conference on Crime September 30, 1935","September 30, 1935","1935"
"box 120, folder 2","Association of Buying Offices Address November 26, 1935","November 26, 1935","1935"
"box 120, folder 3","Barnard Alumnae Meeting Address March 4, 1936","March 4, 1936","1936"
"box 120, folder 4","Scranton Century Club Address March 13, 1936","March 13, 1936","1936"
"box 120, folder 5","Young Democrats Address, (?), (suggestions for address) April 13, 1936","April 13, 1936","1936"
"box 120, folder 6","National Association of Manufacturers Address April 24, 1936","April 24, 1936","1936"
"box 120, folder 7","New York National Economy League Address May 26, 1936","May 26, 1936","1936"
"box 120, folder 8","CBS Radio Address May 29, 1936","May 29, 1936","1936"
"box 120, folder 9","Advertising Federation of America Address July 1, 1936","July 1, 1936","1936"
"box 120, folder 10","NBC Radio Broadcast September 23, 1936","September 23, 1936","1936"
"box 120, folder 11","Association of National Advertisers Address October 9, 1936","October 9, 1936","1936"
"box 120, folder 12","National Association of Manufacturers Address December 10, 1936","December 10, 1936","1936"
"box 120, folder 13","National Federation of Sales Executives Address December 15, 1936","December 15, 1936","1936"
"box 121, folder 1","Santa Barbara Address January 4, 1937","January 4, 1937","1937"
"box 121, folder 2","CBS Bank Program Address February 26, 1937","February 26, 1937","1937"
"box 121, folder 3","American Association of Advertising Agencies Address April 30, 1937","April 30, 1937","1937"
"box 121, folder 4","National Association of Manufacturers Movie Statement April 1937","April 1937","1937"
"box 121, folder 5","Toledo Chamber of Commerce Address May 7, 1937","May 7, 1937","1937"
"box 121, folder 6","University of Toledo Address May 17, 1937","May 17, 1937","1937"
"box 121, folder 7","Station WOR Address May 13, 1937","May 13, 1937","1937"
"box 121, folder 8","National Association of Shirt and Pajama Manufacturers Address May 17, 1927","May 17, 1927","1927"
"box 121, folder 9","Illinois Bankers' Association Address May 25, 1937","May 25, 1937","1937"
"box 121, folder 10","American Defense Society Address June 14, 1937","June 14, 1937","1937"
"box 121, folder 11","Hardware Manufacturers Statistical Association Address September 16, 1937","September 16, 1937","1937"
"box 121, folder 12","Passaic Community Forum Address September 27, 1937","September 27, 1937","1937"
"box 121, folder 13","American Institute of Accountants Address October 19, 1937","October 19, 1937","1937"
"box 121, folder 14","Illinois Manufacturers' Costs Association Address October 26, 1937","October 26, 1937","1937"
"box 121, folder 15","United States Brewers' Association Address October 27, 1937","October 27, 1937","1937"
"box 121, folder 16","Boston Beacon Society Address, (no text or notes) November 6, 1937","November 6, 1937","1937"
"box 121, folder 17","Syracuse University Address November 1937","November 1937","1937"
"box 121, folder 18","Temple Beth-El Address November 10, 1937","November 10, 1937","1937"
"box 121, folder 19","Station KTMS Radio Interview November 29, 1937","November 29, 1937","1937"
"box 121, folder 20","Cleveland Advertising Club Address December 15, 1937","December 15, 1937","1937"
"box 122, folder 1","Allie S. Freed Eulogy January 14, 1938","January 14, 1938","1938"
"box 122, folder 2","Buffalo Club Address February 12, 1938","February 12, 1938","1938"
"box 122, folder 3","La Grange Legion Address February 13, 1938","February 13, 1938","1938"
"box 122, folder 4","Eastern Illinois State Teachers College Address February 14, 1938","February 14, 1938","1938"
"box 122, folder 5","Newton Community Forum Address February 20, 1938","February 20, 1938","1938"
"box 122, folder 6","Waterbury, Conn., Radio Address February 28, 1938","February 28, 1938","1938"
"box 122, folder 7","Chicago Union League Club Address March 3, 1938","March 3, 1938","1938"
"box 122, folder 8","New York City Town Hall Address March 30, 1938","March 30, 1938","1938"
"box 122, folder 9","Santa Barbara Radio Address April 26, 1938","April 26, 1938","1938"
"box 122, folder 10","Meetings with Newsweek advertisers in San Francisco and Denver April 1938","April 1938","1938"
"box 122, folder 11","Poor Richard Club Address May 10, 1938","May 10, 1938","1938"
"box 122, folder 12","Detroit Economic Club Address May 16, 1938","May 16, 1938","1938"
