"","Year","column2","date","page","month","day","month_num","date2","real_page"
"1",1959,"Sowing the Windfallis"," Jl 6","88","Jl","6","07",1959-07-06,89
"2",1959,"Trickle-Down Welfare"," Jl 13","92","Jl","13","07",1959-07-13,93
"3",1959,"Good Gulf Citizenship"," Jl 20","100","Jl","20","07",1959-07-20,101
"4",1959,"Inflation, a Moral Issue"," Jl 27","92","Jl","27","07",1959-07-27,93
"5",1959,"All or Nothing"," Ag 3","80","Ag","3","08",1959-08-03,81
"6",1959,"Japan's Super-Salesman"," Ag 10","92","Ag","10","08",1959-08-10,93
"7",1959,"The Net Gain"," Ag 17","100","Ag","17","08",1959-08-17,101
"8",1959,"A TVA in the Northwest"," Ag 24","88","Ag","24","08",1959-08-24,89
"9",1959,"The Feedback Obsession"," Ag 31","88","Ag","31","08",1959-08-31,89
"10",1959,"What For and How Long"," S 7","84","S","7","09",1959-09-07,85
"11",1959,"The Vital First Years"," S 14","124","S","14","09",1959-09-14,125
"12",1959,"The Senator Is Troubled"," S 21","132","S","21","09",1959-09-21,133
"13",1959,"Mr K, Farm Expert"," S 28","124","S","28","09",1959-09-28,125
"14",1959,"While Congress Fiddled"," O 5","92","O","5","10",1959-10-05,93
"15",1959,"Poll ‘Em and Scare ‘Em"," O 12","60","O","12","10",1959-10-12,61
"16",1959,"BritainStaysRight","O19","56","O","19","10",1959-10-19,57
"17",1959,"Lessons for Americans"," O 26","132","O","26","10",1959-10-26,133
"18",1959,"Heritage of Q'Connell"," N 2","108","N","2","11",1959-11-02,109
"19",1959,"Wohlstand Fur Alle"," N 9","128","N","9","11",1959-11-09,129
"20",1959,"Machiavelli Revisited"," N 16","124","N","16","11",1959-11-16,125
"21",1959,"Machiavelli Reconsidered"," N 23","124","N","23","11",1959-11-23,125
"22",1959,"Dilemma of the Left"," N 30","112","N","30","11",1959-11-30,113
"23",1959,"What Happened in 1948"," D 7","120","D","7","12",1959-12-07,121
"24",1959,"Retrospect and Prospect"," D 14","124","D","14","12",1959-12-14,125
"25",1959,"Gaitskell at Blackpool"," D 21","100","D","21","12",1959-12-21,101
"26",1959,"Were Those Years Dark"," D 28","68","D","28","12",1959-12-28,69
"27",1953,"Freedom award"," Mr 2","44","Mr","2","03",1953-03-02,45
"28",1953,"Multiple sclerosis appeal"," Ap 6","13","Ap","6","04",1953-04-06,14
"29",1953,"Uncle Sam's Businesses"," Ja 5","64","Ja","5","01",1953-01-05,65
"30",1953,"Reconsidering Our Power Policy"," Ja 12","80","Ja","12","01",1953-01-12,81
"31",1953,"The Cabinet its Outdated"," Ja 19","104","Ja","19","01",1953-01-19,105
"32",1953,"A Road Away From Statism"," Ja 26","112","Ja","26","01",1953-01-26,113
"33",1953,"Party of the Fourth Part"," F 2","84","F","2","02",1953-02-02,85
"34",1953,"Salvaging Ex-Presidents"," F 9","88","F","9","02",1953-02-09,89
"35",1953,"Who Elected This Congress"," F 16","104","F","16","02",1953-02-16,105
"36",1953,"Proliferation"," F 23","104","F","23","02",1953-02-23,105
"37",1953,"Scatteration"," Mr 2","96","Mr","2","03",1953-03-02,97
"38",1953,"The End of a Blind Trail"," Mr 9","92","Mr","9","03",1953-03-09,93
"39",1953,"Human Nature, Rex"," Mr 16","108","Mr","16","03",1953-03-16,109
"40",1953,"Army Over Ideology"," Mr 23","116","Mr","23","03",1953-03-23,117
"41",1953,"Laski Politician, Educator"," Mr 30","100","Mr","30","03",1953-03-30,101
"42",1953,"Domesticating Big Mo"," Ap 6","100","Ap","6","04",1953-04-06,101
"43",1953,"The Fight Against MS"," Ap 13","116; Irs","Ap","13","04",1953-04-13,NA
"44",1953,"Leader and Party Builder"," Ap 20","116","Ap","20","04",1953-04-20,117
"45",1953,"Peril in the Treaty Power"," Ap 27","116","Ap","27","04",1953-04-27,117
"46",1953,"The Courage of Its Conservatism"," My 4","104","My","4","05",1953-05-04,105
"47",1953,"Take, but Don’t Grab"," My 11","112","My","11","05",1953-05-11,113
"48",1953,"The Shackles of Victory"," My 18","120","My","18","05",1953-05-18,121
