docname	filename	year	pre	keyword	post
text103854	batch8_58_page0.txt	1942	slow down and be partially reorganized . We reached one of these points early last winter . We have reached another today . When that happens , people begin to yell at each other and a goat is usually sought out and sacrificed . Last winter the crude and flimsy	Reuther	plan featured the transition and Mr . Knudsen was supplanted by Mr . Nelson . Now the outcry is rising again . It is interesting that the same commentators are now complaining about Nelson who last year swallowed uncritically the fallacious Reuther plan . They did that because they knew
text103854	batch8_58_page0.txt	1942	sacrificed . Last winter the crude and flimsy Reuther plan featured the transition and Mr . Knudsen was supplanted by Mr . Nelson . Now the outcry is rising again . It is interesting that the same commentators are now complaining about Nelson who last year swallowed uncritically the fallacious	Reuther	plan . They did that because they knew so little about production . Out of the same ignorance they now cry out about Mr . Nelson . The temporary lag that we see is not due to the failure of Mr . Nelson . It is in the very nature
text104685	batch8_72_page0.txt	1942	DETROIT—Someone ought to do a complete chronological table of the war work of the automobile industry . Then he ought to make a similar chronological table of Mr .	Reuther's	" plan " and the press that endorsed it . Perhaps the following few items , as a starter , will suggest how the two would look side by side .
text104693	batch8_72_page0.txt	1942	What was happening in Washington in October ? A tremendous to-do over	Reuther's	plan for 500 planes of indeterminate type a month , began reaching its climax . Gullible writers said that somebody had forgotten the automobile industry . It was not making war goods , they charged . But of course it was . Two months before this furor I saw completed
text91616	batch7_285_page0.txt	1946	The arguments which we hear from both sides of the current labor-management war illustrate the lag between fact and theory . There is scarcely a single principle on which Messrs . Murray , Wilson , Fairless and	Reuther	can agree . And without a common economic language , how can there be collective bargaining ? Concepts like " ability to pay " mean all things to all men . Occasionally , we still hear talk of labor as a commodity , although that concept has been legally ,
text70629	batch7_51_page0.txt	1950	the	Reuthers	, and with junior
text72089	batch7_66_page0.txt	1950	delivered over to a	Reuther	, a Lewis ,
text69153	batch7_33_page0.txt	1951	that UAW president Walter	Reuther	
text52155	batch6_143_page0.txt	1954	Walter	Reuther	, are seeking
text52234	batch6_143_page0.txt	1954		Reuther	is ideologically an authentic
text52259	batch6_143_page0.txt	1954		Reuther	would anticipate all this by a
text52265	batch6_143_page0.txt	1954	that	Reuther	would anticipate ,
text52300	batch6_144_page0.txt	1954	the means to do that should be the major task of Republican leadership . And this should be started at once . Taft did it in 1950 in Ohio . It can be done elsewhere and what is most important , it can be done without making a compromise with	Reuther's	socialism .
text48045	batch6_96_page0.txt	1955	WALTER	REUTHER	made the happy boast last spring that the " UAW-CIO have won the guaranteed wage in the automobile industry , " and hailed it as a historic event . Harlow H . Curtice of General Motors later offered the understatement of the year . He said that the plan to
text48047	batch6_96_page0.txt	1955	In the first place , it is getting over to the public , including	Reuther's	union members , that what was won is not a guaranteed wage at all . It is merely an amount paid into a trust fund by the companies to supplement the unemployment compensation paid by the states under certain very onerous conditions .
text48059	batch6_96_page0.txt	1955	the UAW . Leaders of the CIO also claim that the finances for this drive come from their members in the state . But it is not clear that this will not be balanced by payments withheld later from the national union . Moreover , the strategy and inspiration are	Reuther's	.
text48062	batch6_96_page0.txt	1955		REUTHER	, with his back to a wall of his own construction , has already been handicapped in Cleveland , where most of his majority must be found . For in the primary a popular mayor won so large a vote that there is no contest for that office in this
text48062	batch6_96_page0.txt	1955	primary a popular mayor won so large a vote that there is no contest for that office in this election . That will no doubt mean a light vote . Moreover , the perennially popular Governor Lausche has reiterated his opposition to the bill . It may well be that	Reuther	will find his so-called GAW victory , like Byron's Dead Sea apples , " all ashes to the taste . "
text48089	batch6_97_page0.txt	1955		Reuther’s	UAW-CIO attempted
text48130	batch6_97_page0.txt	1955	of	Reuther’s	guaranteed annual
text48165	batch6_97_page0.txt	1955	imposition of laws written by	Reuther’s	
text48175	batch6_97_page0.txt	1955	For the	Reuther	formula is first to win
text50409	batch6_121_page0.txt	1955		Reuther's	demands pro -
text50440	batch6_121_page0.txt	1955	2—Another of	Reuther's	demands
text50498	batch6_121_page0.txt	1955	tial of	Reuther's	strategic minority .
text50503	batch6_121_page0.txt	1955		Reuther	, for the establishment of
text50694	batch6_126_page0.txt	1955	What Does	Reuther	Want ?
text50707	batch6_126_page0.txt	1955		Reuther	. Does he want to be the
text50723	batch6_126_page0.txt	1955		Reuther's	problems as a labor chief -
text50732	batch6_126_page0.txt	1955	cept the advanced	Reuther	ideology .
text50736	batch6_126_page0.txt	1955	In speculation concerning	Reuther's	
text50757	batch6_126_page0.txt	1955	were the	Reuther	brothers . Reuther
text50757	batch6_126_page0.txt	1955	were the Reuther brothers .	Reuther	
text50763	batch6_126_page0.txt	1955		Reuther	is a man of plans and plan -
text50800	batch6_126_page0.txt	1955	Walter	Reuther	deep in the fight .
text50812	batch6_126_page0.txt	1955		Reuther	already has made himself
text51559	batch6_133_page0.txt	1955	no larger than a	Reuther’s	hand to
text43343	batch6_40_page0.txt	1956		Reuther's	Long Arm
text43358	batch6_40_page0.txt	1956	The long list of contributors includes Walter	Reuther's	UAW for $ 4,000 , his CIO for $ 5,000 , and also the Oregon and Washington CIO's for smaller amounts . The Steelworkers chipped in $ 4,000 , and the Union of Operating Engineers , $ 5,000 . Most strange are contributions in sizable amounts from the International Ladies
text43364	batch6_40_page0.txt	1956	It is of great general interest to note that powerful unions are using methods of this sort to penetrate state after state far removed from the industrial centers in which most of their members work and live . It might well indicate how	Reuther	, et al . , are now aiming at the control of the Democratic Party and , with it , the government of smaller states . They are not only easier to capture , but are greatly overrepresented , populationwise , in the Senate . Yesterday it was Michigan .
text43364	batch6_40_page0.txt	1956	, in the Senate . Yesterday it was Michigan . Today it is Oregon , Colorado , and Washington . Tomorrow it may be the Dakotas , New Mexico , Arizona , and Wyoming . A state need not be industrial to be union-controlled . What better investment could Walter	Reuther	make than to support a cause dear to the hearts of Senators Morse , Magnuson , Jackson , Murray , and others ? Strong as the COPE will be in the next House , its influence in the Senate will be greater and will grow more rapidly .
text43746	batch6_45_page0.txt	1956	subsidiaries of the Democratic Party such as the AFL-CIO Committee on Political Education charged , without the benefit of proof , that private industry was dragging its feet while other nations were forging ahead . Hence the job should be taken over by the Federal government . Meanwhile , Walter	Reuther's	UAW was bitterly opposing the construction of an atomic-power plant by Detroit Edison and others , although the AFL-CIO legislative report said in so many words that private industry had not entered the field and developed " the needed reactors " and that " both Soviet Russia and Great Britain
