"Box","Folder","Contents"
NA,NA,"DIARIES AND TELEPHONE BOOKS"
NA,NA,"1931-1940"
NA,NA,"Scope and Contents note"
NA,NA,"Telephone books; Appointment book, 1931; holograph diary, January to June 1933; secretary's diary, January to July 1933; and"
NA,NA,"journal, 1936-1940, arranged as listed"
"1",NA,"box 1"
"1",NA,"Telephone books"
"1",NA,"box 1"
"1",NA,"Appointment book"
"1",NA,"1931"
"1",NA,"box 1"
"1",NA,"Holograph diary"
"1",NA,"January-June 1933"
"1",NA,"box 1"
"1",NA,"Diary kept by secretary"
"1",NA,"January-July 1933"
"1",NA,"box 1"
"1",NA,"Journal"
"1",NA,"1936-1940"
"1",NA," "
"1",NA,"GENERAL CORRESPONDENCE"
"1",NA,"1912-1969"
"1",NA,"Scope and Contents note"
"1",NA,"Correspondence arranged alphabetically by name of correspondent"
"2","1","box 2, folder 1"
"2","1","Aanonsen, Nils"
"2","1","1952"
"2","2","box 2, folder 2"
"2","2","Abbott, Helen Page"
"2","2","1933"
"2","3","box 2, folder 3"
"2","3","Abbott, Horatio J."
"2","3","1933"
"2","4","box 2, folder 4"
"2","4","Abeles, Joles"
"2","4","1951-1965"
"2","5","box 2, folder 5"
"2","5","Abernathy, R. A."
"2","5","1955"
"2","6","box 2, folder 6"
"2","6","Abernathy, U. A."
"2","6","1921-1927"
"2","6","box 2, folder 6"
"2","6","Abramson, M. E."
"2","6","1934"
"2","7","box 2, folder 7"
"2","7","Ackerman, Carl W."
"2","7","1932-1934"
"2","9","box 2, folder 9"
"2","9","Ackerman, William C."
"2","9","1947"
"2","10","box 2, folder 10"
"2","10","Adair, Rex"
"2","10","1955"
"2","11","box 2, folder 11"
"2","11","Adams, Alva B."
"2","11","1937"
"2","12","box 2, folder 12"
"2","12","Adams, Edgar E."
"2","12","1933"
"2","13","box 2, folder 13"
"2","13","Adams, E. J."
"2","13","1941"
"2","14","box 2, folder 14"
"2","14","Adams, Franklin P."
"2","14","1936"
"2","15","box 2, folder 15"
"2","15","Adams, Russell H."
"2","15","1943"
"2","16","box 2, folder 16"
"2","16","Adams, Samuel Hopkins"
"2","16","1939"
"2","17","box 2, folder 17"
"2","17","Adams, Sherman"
"2","17","1952"
"2","18","box 2, folder 18"
"2","18","Adams, Wayne"
"2","18","1964"
"2","19","box 2, folder 19"
"2","19","Adelson, Shirley"
"2","19","1937-1939"
"2","20","box 2, folder 20"
"2","20","Adler, Mortimer J."
"2","20","1939-1955"
"2","21","box 2, folder 21"
"2","21","Adney, E. T."
"2","21","1941"
"2","22","box 2, folder 22"
"2","22","Affleck, Benjamin Franklin"
"2","22","1931-1943"
"2","23","box 2, folder 23"
"2","23","Aiken, H. W."
"2","23","1934"
"2","24","box 2, folder 24"
"2","24","Ailshie, Margaret Cobb"
"2","24","1949-1951"
"2","25","box 2, folder 25"
"2","25","Akers, Kenneth W."
"2","25","1943-1964"
"2","26","box 2, folder 26"
"2","26","Alberts, B. A."
"2","26","1934"
"2","27","box 2, folder 27"
"2","27","Albro, M. Z."
"2","27","1934"
"2","28","box 2, folder 28"
"2","28","Alcott, G. F."
"2","28","1952"
"2","29","box 2, folder 29"
"2","29","Alderman, E. A."
"2","29","1936"
"2","30","box 2, folder 30"
"2","30","Aldrich, Winthrop W."
"2","30","1938"
"2","31","box 2, folder 31"
"2","31","Alessandroni, Mrs. Venan J."
"2","31","1962"
"2","32","box 2, folder 32"
"2","32","Alexander, H. S."
"2","32","1933"
"2","33","box 2, folder 33"
"2","33","Alexander, Harry W."
"2","33","1943"
"2","34","box 2, folder 34"
"2","34","Alexander, Lottie Gray"
"2","34","1932"
"2","35","box 2, folder 35"
"2","35","Alexander, Margaret C."
"2","35","1919"
"2","36","box 2, folder 36"
"2","36","Alexander, Will W."
"2","36","1937"
"2","37","box 2, folder 37"
"2","37","Alexandre, Emanuel"
"2","37","1934"
"2","38","box 2, folder 38"
"2","38","Alger, Bruce"
"2","38","1964"
"2","39","box 2, folder 39"
"2","39","Alger, George W."
"2","39","1930"
"2","40","box 2, folder 40"
"2","40","Allan, John J."
"2","40","1937"
"2","41","box 2, folder 41"
"2","41","Allen, Carolyn E."
"2","41","1929-1930"
"2","42","box 2, folder 42"
"2","42","Allen, Florence E."
"2","42","1944"
"2","43","box 2, folder 43"
"2","43","Allen, Frederick L."
"2","43","1937"
"2","44","box 2, folder 44"
"2","44","Allen, George E."
"2","44","1950"
"2","45","box 2, folder 45"
"2","45","Allen, H. W."
"2","45","n.d."
"2","46","box 2, folder 46"
"2","46","Allen, Helen"
"2","46","1952"
"2","47","box 2, folder 47"
"2","47","Allen, J. Weston"
"2","47","1928-1929"
"2","48","box 2, folder 48"
"2","48","Allen, Robert McDowell"
"2","48","1934"
"2","49","box 2, folder 49"
"2","49","Allen, Robert S."
"2","49","1936"
"2","50","box 2, folder 50"
"2","50","Allen, Sophie E."
"2","50","1915"
"2","51","box 2, folder 51"
"2","51","Allen, William"
"2","51","1931"
"2","52","box 2, folder 52"
"2","52","Allen, William H."
"2","52","1961"
"2","53","box 2, folder 53"
"2","53","Allin, Cephas D."
"2","53","1919-1927"
"2","54","box 2, folder 54"
"2","54","Allison, Lelah"
"2","54","1952"
"2","55","box 2, folder 55"
"2","55","Allott, Guy"
"2","55","1936-1937"
"2","56","box 2, folder 56"
"2","56","Alsop, Joseph W."
"2","56","1936"
"2","57","box 2, folder 57"
"2","57","Alston, Robert C."
"2","57","1932-1933"
"2","58","box 2, folder 58"
"2","58","Althouse, C. E."
"2","58","1933"
"2","59","box 2, folder 59"
"2","59","Altschul, Frank"
"2","59","1932-1938"
"2","60","box 2, folder 60"
"2","60","American Political Science Association"
"2","60","1932"
"2","61","box 2, folder 61"
"2","61","Ames, John D."
"2","61","1942-1949"
"2","62","box 2, folder 62"
"2","62","Amidon, Bevlah"
"2","62","1929"
"2","63","box 2, folder 63"
"2","63","Ammidon, Hoyt"
"2","63","1957-1961"
"2","64","box 2, folder 64"
"2","64","Anderson, Mrs. Alan L."
"2","64","1958"
"2","65","box 2, folder 65"
"2","65","Anderson, B. M."
"2","65","1932"
"2","66","box 2, folder 66"
"2","66","Anderson, C. Vivian"
"2","66","1951"
"2","67","box 2, folder 67"
"2","67","Anderson, Clinton P."
"2","67","1946-1962"
"2","68","box 2, folder 68"
"2","68","Anderson, Frederick D."
"2","68","1957"
"2","69","box 2, folder 69"
"2","69","Anderson, J. E."
"2","69","1938"
"2","70","box 2, folder 70"
"2","70","Anderson, Patrick"
"2","70","1966"
"2","71","box 2, folder 71"
"2","71","Anderson, Richard J."
"2","71","1963"
"2","72","box 2, folder 72"
"2","72","Anderson, Sherwood"
"2","72","1934-1936"
"2","73","box 2, folder 73"
"2","73","Anderson, Stanton D."
"2","73","1964"
"2","74","box 2, folder 74"
"2","74","Anderson, Mrs. Walter M."
"2","74","1951"
"2","75","box 2, folder 75"
"2","75","Anderson, William"
"2","75","1919-1930"
"2","76","box 2, folder 76"
"2","76","Andrews, Carl M."
"2","76","1955"
"2","77","box 2, folder 77"
"2","77","Andrews, Paul"
"2","77","1931"
"2","78","box 2, folder 78"
"2","78","Andrews, T. Coleman"
"2","78","1953"
"2","79","box 2, folder 79"
"2","79","Angell, Ernest"
"2","79","1937"
"2","80","box 2, folder 80"
"2","80","Angly, Edward"
"2","80","1951"
"2","81","box 2, folder 81"
"2","81","Angoff, Charles"
"2","81","1948"
"2","82","box 2, folder 82"
"2","82","Ankeny, Marling J."
"2","82","1961"
"2","83","box 2, folder 83"
"2","83","Anthony, Alfred W."
"2","83","1927"
"2","84","box 2, folder 84"
"2","84","Anthony, Edward"
"2","84","1954"
"2","85","box 2, folder 85"
"2","85","Anthony, Samuel"
"2","85","1957"
"3","1","box 3, folder 1"
"3","1","Antin, Bessie"
"3","1","1931"
"3","2","box 3, folder 2"
"3","2","Appleby, Paul H."
"3","2","1938"
"3","3","box 3, folder 3"
"3","3","Appleton, Robert"
"3","3","1931"
"3","4","box 3, folder 4"
"3","4","Arbiter, Harold T."
"3","4","1924"
"3","5","box 3, folder 5"
"3","5","Arbuthnot, C. C."
"3","5","1923-1925"
"3","6","box 3, folder 6"
"3","6","Archer, R. J."
"3","6","1941-1942"
"3","7","box 3, folder 7"
"3","7","Arends, L. C."
"3","7","1957"
"3","8","box 3, folder 8"
"3","8","Angraves, N. E."
"3","8","1954"
"3","9","box 3, folder 9"
"3","9","Arkell, W. C."
"3","9","1934"
"3","10","box 3, folder 10"
"3","10","Armistead, George H."
"3","10","1939-1940"
"3","11","box 3, folder 11"
"3","11","Armistead, M. W., III"
"3","11","1961"
"3","12","box 3, folder 12"
"3","12","Armitage, Charles H."
"3","12","1933"
"3","13","box 3, folder 13"
"3","13","Armstrong Cork Company"
"3","13","1938"
"3","14","box 3, folder 14"
"3","14","Armstrong, Hamilton Fish"
"3","14","1934"
"3","15","box 3, folder 15"
"3","15","Arneson, A. L."
"3","15","1934"
"3","16","box 3, folder 16"
"3","16","Arnold, O. J."
"3","16","1941"
"3","17","box 3, folder 17"
"3","17","Arnold, Thurman"
"3","17","1938"
"3","18","box 3, folder 18"
"3","18","Aronson, Moses J."
"3","18","1941-1943"
"3","19","box 3, folder 19"
"3","19","Arpin, A. L."
"3","19","1954"
"3","20","box 3, folder 20"
"3","20","Ardsdale, Henry Van"
"3","20","1933"
"3","21","box 3, folder 21"
"3","21","Arthur, Harry A."
"3","21","1937"
"3","22","box 3, folder 22"
"3","22","Artman, Joseph M."
"3","22","1931"
"3","23","box 3, folder 23"
"3","23","Ashcroft, Mrs. Charles D."
"3","23","1923"
"3","24","box 3, folder 24"
"3","24","Associated Newspapers, Inc."
"3","24","1955-1961"
"3","25","box 3, folder 25"
"3","25","Astor, Vincent, Includes letter from Helen Astor"
"3","25","1934-1960. n.d."
"3","26","box 3, folder 26"
"3","26","Atherton, P. L."
"3","26","1930"
"3","27","box 3, folder 27"
"3","27","Atkinson, Herschel C."
"3","27","1950"
"3","28","box 3, folder 28"
"3","28","Atkinson, Raymond C."
"3","28","1922-1929"
"3","29","box 3, folder 29"
"3","29","Auchincloss, Gordon"
"3","29","1932"
"3","30","box 3, folder 30"
"3","30","Auchterlonie, Helen"
"3","30","1964-1965"
"3","31","box 3, folder 31"
"3","31","Auer, Charles I."
"3","31","n.d."
"3","32","box 3, folder 32"
"3","32","Auerbach, Richard D."
"3","32","1963"
"3","33","box 3, folder 33"
"3","33","Ausen, Arne"
"3","33","1934"
"3","34","box 3, folder 34"
"3","34","Austin, Edwin C."
"3","34","1960"
"3","35","box 3, folder 35"
"3","35","Automobile Club"
"3","35","1922"
"3","36","box 3, folder 36"
"3","36","Averill, Vincent"
"3","36","1933"
"3","37","box 3, folder 37"
"3","37","Avery, Sewell"
"3","37","1942-1954"
"3","38","box 3, folder 38"
"3","38","Awalt, F. Gloyd"
"3","38","1936"
"3","39","box 3, folder 39"
"3","39","Axtell, Silas B."
"3","39","1934"
"3","40","box 3, folder 40"
"3","40","Babando, Joseph A."
"3","40","1965"
"3","41","box 3, folder 41"
"3","41","Bach, E. L."
"3","41","1936"
"3","42","box 3, folder 42"
"3","42","Bachrach, Louis Fabian"
"3","42","1960"
"3","43","box 3, folder 43"
"3","43","Baer, George P."
"3","43","1922-1936"
"3","44","box 3, folder 44"
"3","44","Bagger, Eugene S."
"3","44","1917-1941"
"3","45","box 3, folder 45"
"3","45","Baggs, William C."
"3","45","1961"
"3","46","box 3, folder 46"
"3","46","Bailey, Forrest"
"3","46","1931"
"3","47","box 3, folder 47"
"3","47","Bailey, Phillip W."
"3","47","1948"
"3","48","box 3, folder 48"
"3","48","Bair, F. H."
"3","48","1933"
"3","49","box 3, folder 49"
"3","49","Baker, Howard H."
"3","49","1963"
"3","50","box 3, folder 50"
"3","50","Baker, J. Eugene, Jr."
"3","50","1941"
"3","51","box 3, folder 51"
"3","51","Baker, James H."
"3","51","1962-1964"
"3","52","box 3, folder 52"
"3","52","Baker, Newton D."
"3","52","1929-1940"
"3","53","box 3, folder 53"
"3","53","Baker, William R., Jr."
"3","53","1943"
"3","54","box 3, folder 54"
"3","54","Bakhmeteff, Boris A."
"3","54","1941"
"3","55","box 3, folder 55"
"3","55","Balch, Albert"
"3","55","1965"
"3","56","box 3, folder 56"
"3","56","Balch, Earle H."
"3","56","1931-1938"
"3","57","box 3, folder 57"
"3","57","Baldwin, Joseph Clark, III"
"3","57","1937"
"3","58","box 3, folder 58"
"3","58","Baldwin, Raymond S."
"3","58","1948"
"3","59","box 3, folder 59"
"3","59","Baldwin, Roger N."
"3","59","1931"
"3","60","box 3, folder 60"
"3","60","Baldwin Wallace College Library"
"3","60","1951"
"3","61","box 3, folder 61"
"3","61","Ballantine, Arthur A."
"3","61","1939-1952"
"3","62","box 3, folder 62"
"3","62","Balmer, Edwin"
"3","62","1934"
"3","63","box 3, folder 63"
"3","63","Bane, Frank"
"3","63","1943"
"3","64","box 3, folder 64"
"3","64","Bang, Edward"
"3","64","1955"
"3","65","box 3, folder 65"
"3","65","Banner, Franklin"
"3","65","1937"
"3","66","box 3, folder 66"
"3","66","Banta, Edwin P."
"3","66","1939"
"3","67","box 3, folder 67"
"3","67","Banton, Joab H."
"3","67","1931"
"3","68","box 3, folder 68"
"3","68","Barbara, M."
"3","68","1941-1942"
"3","69","box 3, folder 69"
"3","69","Barber, Thomas V."
"3","69","1933"
"3","70","box 3, folder 70"
"3","70","Barbre, William T."
"3","70","1937"
"3","71","box 3, folder 71"
"3","71","Barclay, Thomas S."
"3","71","1932-1959"
"3","72","box 3, folder 72"
"3","72","Barden, C. A."
"3","72","1955"
"3","73","box 3, folder 73"
"3","73","Barger, Harry S."
"3","73","1943"
"3","74","box 3, folder 74"
"3","74","Bargeron, Carlisle"
"3","74","1936-1939"
"3","75","box 3, folder 75"
"3","75","Barker, Charles A."
"3","75","1955"
"3","76","box 3, folder 76"
"3","76","Barker, Edwin H."
"3","76","1941"
"3","77","box 3, folder 77"
"3","77","Barkhausen, H. N."
"3","77","1932-1933"
"3","78","box 3, folder 78"
"3","78","Barkley, Alben W."
"3","78","1948"
"3","79","box 3, folder 79"
"3","79","Barley, Rex"
"3","79","1965"
"3","80","box 3, folder 80"
"3","80","Barlow, Channing"
"3","80","1966"
"4","1","box 4, folder 1"
"4","1","Barnard College, Columbia University"
"4","1","1917-1955"
"4","2","box 4, folder 2"
"4","2","Barnard, Harry"
"4","2","1945-1951"
"4","3","box 4, folder 3-4"
"4","3","Barnard, John B."
"4","3","1954"
"4","5","box 4, folder 5"
"4","5","Barnard, Dr. Robert"
"4","5","1956"
"4","6","box 4, folder 6"
"4","6","Barnes, Harry Elmer"
"4","6","1936-1960"
"4","7","box 4, folder 7"
"4","7","Barnes, William R."
"4","7","1937"
"4","8","box 4, folder 8"
"4","8","Barnett, Rabbi"
"4","8","1933"
"4","9","box 4, folder 9"
"4","9","Barnum, Corwin"
"4","9","1953"
"4","10","box 4, folder 10"
"4","10","Barnum, Frank J."
"4","10","1933"
"4","11","box 4, folder 11"
"4","11","Barnum, J. Elmer"
"4","11","1932-1942"
"4","12","box 4, folder 12"
"4","12","Barnum, Mrs. T. R."
"4","12","1963"
"4","13","box 4, folder 13"
"4","13","Barony, Hobcaw"
"4","13","n.d."
"4","14","box 4, folder 14"
"4","14","Barr, Henry M."
"4","14","1940-1941"
"4","15","box 4, folder 15"
"4","15","Barr, Ralph"
