"","identifier","date","volume","issue","year"
"1","sim_newsweek-us_1937-01-23_9_4","1937-01-23",9,4,1937
"2","sim_newsweek-us_1937-02-06_9_6","1937-02-06",9,6,1937
"3","sim_newsweek-us_1937-03-27_9_13","1937-03-27",9,13,1937
"4","sim_newsweek-us_1937-04-24_9_17","1937-04-24",9,17,1937
"5","sim_newsweek-us_1937-05-15_9_20","1937-05-15",9,20,1937
"6","sim_newsweek-us_1937-06-26_9_26","1937-06-26",9,26,1937
"7","sim_newsweek-us_1937-07-03_10_1","1937-07-03",10,1,1937
"8","sim_newsweek-us_1937-08-07_10_6","1937-08-07",10,6,1937
"9","sim_newsweek-us_1937-09-27_10_13","1937-09-27",10,13,1937
"10","sim_newsweek-us_1937-10-04_10_14","1937-10-04",10,14,1937
"11","sim_newsweek-us_1937-11-22_10_21","1937-11-22",10,21,1937
"12","sim_newsweek-us_1937-12-27_10_26","1937-12-27",10,26,1937
"13","sim_newsweek-us_1938-01-31_11_5","1938-01-31",11,5,1938
"14","sim_newsweek-us_1938-02-28_11_9","1938-02-28",11,9,1938
"15","sim_newsweek-us_1938-03-07_11_10","1938-03-07",11,10,1938
"16","sim_newsweek-us_1938-04-11_11_15","1938-04-11",11,15,1938
"17","sim_newsweek-us_1938-05-23_11_21","1938-05-23",11,21,1938
"18","sim_newsweek-us_1938-06-13_11_24","1938-06-13",11,24,1938
"19","sim_newsweek-us_1938-07-11_12_2","1938-07-11",12,2,1938
"20","sim_newsweek-us_1938-08-15_12_7","1938-08-15",12,7,1938
"21","sim_newsweek-us_1938-09-05_12_10","1938-09-05",12,10,1938
"22","sim_newsweek-us_1938-10-31_12_18","1938-10-31",12,18,1938
"23","sim_newsweek-us_1938-11-14_12_20","1938-11-14",12,20,1938
"24","sim_newsweek-us_1938-12-05_12_23","1938-12-05",12,23,1938
"25","sim_newsweek-us_1939-01-09_13_2","1939-01-09",13,2,1939
"26","sim_newsweek-us_1939-02-06_13_6","1939-02-06",13,6,1939
"27","sim_newsweek-us_1939-03-13_13_11","1939-03-13",13,11,1939
"28","sim_newsweek-us_1939-04-10_13_15","1939-04-10",13,15,1939
"29","sim_newsweek-us_1939-05-08_13_19","1939-05-08",13,19,1939
"30","sim_newsweek-us_1939-06-05_13_23","1939-06-05",13,23,1939
"31","sim_newsweek-us_1939-07-17_14_3","1939-07-17",14,3,1939
"32","sim_newsweek-us_1939-08-21_14_8","1939-08-21",14,8,1939
"33","sim_newsweek-us_1939-09-04_14_10","1939-09-04",14,10,1939
"34","sim_newsweek-us_1939-10-09_14_15","1939-10-09",14,15,1939
"35","sim_newsweek-us_1939-11-27_14_22","1939-11-27",14,22,1939
"36","sim_newsweek-us_1939-12-11_14_24","1939-12-11",14,24,1939
"37","sim_newsweek-us_1940-01-22_15_4","1940-01-22",15,4,1940
"38","sim_newsweek-us_1940-02-05_15_6","1940-02-05",15,6,1940
"39","sim_newsweek-us_1940-03-11_15_11","1940-03-11",15,11,1940
"40","sim_newsweek-us_1940-04-15_15_16","1940-04-15",15,16,1940
"41","sim_newsweek-us_1940-05-20_15_21","1940-05-20",15,21,1940
"42","sim_newsweek-us_1940-06-10_15_24","1940-06-10",15,24,1940
"43","sim_newsweek-us_1940-07-29_16_5","1940-07-29",16,5,1940
"44","sim_newsweek-us_1940-08-12_16_7","1940-08-12",16,7,1940
"45","sim_newsweek-us_1940-09-09_16_11","1940-09-09",16,11,1940
"46","sim_newsweek-us_1940-10-07_16_15","1940-10-07",16,15,1940
"47","sim_newsweek-us_1940-11-11_16_20","1940-11-11",16,20,1940
"48","sim_newsweek-us_1940-12-16_16_25","1940-12-16",16,25,1940
"49","sim_newsweek-us_1941-01-13_17_2","1941-01-13",17,2,1941
"50","sim_newsweek-us_1941-02-10_17_6","1941-02-10",17,6,1941
"51","sim_newsweek-us_1941-03-10_17_10","1941-03-10",17,10,1941
"52","sim_newsweek-us_1941-04-07_17_14","1941-04-07",17,14,1941
"53","sim_newsweek-us_1941-05-26_17_21","1941-05-26",17,21,1941
"54","sim_newsweek-us_1941-06-02_17_22","1941-06-02",17,22,1941
"55","sim_newsweek-us_1941-07-14_18_2","1941-07-14",18,2,1941
"56","sim_newsweek-us_1941-08-25_18_8","1941-08-25",18,8,1941
"57","sim_newsweek-us_1941-09-22_18_12","1941-09-22",18,12,1941
"58","sim_newsweek-us_1941-10-27_18_17","1941-10-27",18,17,1941
"59","sim_newsweek-us_1941-11-24_18_21","1941-11-24",18,21,1941
"60","sim_newsweek-us_1941-12-08_18_23","1941-12-08",18,23,1941
"61","sim_newsweek-us_1942-01-12_19_2","1942-01-12",19,2,1942
"62","sim_newsweek-us_1942-02-09_19_6","1942-02-09",19,6,1942
"63","sim_newsweek-us_1942-03-02_19_9","1942-03-02",19,9,1942
"64","sim_newsweek-us_1942-04-20_19_16","1942-04-20",19,16,1942
"65","sim_newsweek-us_1942-05-11_19_19","1942-05-11",19,19,1942
"66","sim_newsweek-us_1942-06-08_19_23","1942-06-08",19,23,1942
"67","sim_newsweek-us_1942-07-13_20_2","1942-07-13",20,2,1942
"68","sim_newsweek-us_1942-08-17_20_7","1942-08-17",20,7,1942
"69","sim_newsweek-us_1942-09-21_20_12","1942-09-21",20,12,1942
"70","sim_newsweek-us_1942-10-12_20_15","1942-10-12",20,15,1942
"71","sim_newsweek-us_1942-11-30_20_22","1942-11-30",20,22,1942
"72","sim_newsweek-us_1943-01-11_21_2","1943-01-11",21,2,1943
"73","sim_newsweek-us_1943-02-15_21_7","1943-02-15",21,7,1943
"74","sim_newsweek-us_1943-03-01_21_9","1943-03-01",21,9,1943
"75","sim_newsweek-us_1943-04-19_21_16","1943-04-19",21,16,1943
"76","sim_newsweek-us_1943-05-24_21_21","1943-05-24",21,21,1943
"77","sim_newsweek-us_1943-06-28_21_26","1943-06-28",21,26,1943
"78","sim_newsweek-us_1943-07-19_22_3","1943-07-19",22,3,1943
"79","sim_newsweek-us_1943-08-02_22_5","1943-08-02",22,5,1943
"80","sim_newsweek-us_1943-09-20_22_12","1943-09-20",22,12,1943
"81","sim_newsweek-us_1943-10-25_22_17","1943-10-25",22,17,1943
"82","sim_newsweek-us_1943-11-15_22_20","1943-11-15",22,20,1943
"83","sim_newsweek-us_1943-12-20_22_25","1943-12-20",22,25,1943
"84","sim_newsweek-us_1944-01-31_23_5","1944-01-31",23,5,1944
"85","sim_newsweek-us_1944-02-07_23_6","1944-02-07",23,6,1944
"86","sim_newsweek-us_1944-03-06_23_10","1944-03-06",23,10,1944
"87","sim_newsweek-us_1944-04-03_23_14","1944-04-03",23,14,1944
"88","sim_newsweek-us_1944-05-22_23_21","1944-05-22",23,21,1944
"89","sim_newsweek-us_1944-06-19_23_25","1944-06-19",23,25,1944
"90","sim_newsweek-us_1944-07-03_24_1","1944-07-03",24,1,1944
"91","sim_newsweek-us_1944-08-21_24_8","1944-08-21",24,8,1944
"92","sim_newsweek-us_1944-09-04_24_10","1944-09-04",24,10,1944
"93","sim_newsweek-us_1944-10-02_24_14","1944-10-02",24,14,1944
"94","sim_newsweek-us_1944-11-27_24_22","1944-11-27",24,22,1944
"95","sim_newsweek-us_1944-12-04_24_23","1944-12-04",24,23,1944
"96","sim_newsweek-us_1945-01-22_25_4","1945-01-22",25,4,1945
"97","sim_newsweek-us_1945-02-19_25_8","1945-02-19",25,8,1945
"98","sim_newsweek-us_1945-03-05_25_10","1945-03-05",25,10,1945
"99","sim_newsweek-us_1945-04-09_25_15","1945-04-09",25,15,1945
"100","sim_newsweek-us_1945-05-28_25_22","1945-05-28",25,22,1945
