docname	filename	year	pre	keyword	post
text124577	batch8_263_page0.txt	1938	Political candidates and new automobiles compete for our attention these early November days . Since it is the fond belief and recurrent boast of most politicians that	business	is outmoded in its thinking , inefficient in its operation and generally in dire need of the competence , vision and enlightenment possessed by political minds , it may not be a bad idea to compare the production methods and sales technique of the two types of enterprise—business and politics .

text124587	batch8_263_page0.txt	1938	Take a look at what you can see in the operations of the two groups—politicians , on the one hand , the automobile industry , for instance , on the other . There is much that the politician could learn . But the politician does not want to learn . He wants to tell	business	how it ought to operate . He says that business cannot produce “ the more abundant life . ” He promises that he can . But as you look back over the past fifty years how would you apportion the credit for the general rise that has taken place in our standard of living ? Who would you say came closest to clearing the way toward “ the more abundant life ? ”

text124587	batch8_263_page0.txt	1938	Take a look at what you can see in the operations of the two groups—politicians , on the one hand , the automobile industry , for instance , on the other . There is much that the politician could learn . But the politician does not want to learn . He wants to tell business how it ought to operate . He says that	business	cannot produce “ the more abundant life . ” He promises that he can . But as you look back over the past fifty years how would you apportion the credit for the general rise that has taken place in our standard of living ? Who would you say came closest to clearing the way toward “ the more abundant life ? ”

text124598	batch8_263_page0.txt	1938	social justice . In foreign affairs his formula was simple : “ To keep the country out of trouble is the main object of diplomacy . ” But he believed that in a world of nations , as he knew that world twenty-five years ago , the civilized process of international cooperation was possible . He labored even in the face of a breakup of the world as he had known it to keep cooperation alive . He believed that , in spite of alarms , people were getting more out of life , politics was growing more honest and	business	, more responsible .


text124610	batch8_264_page0.txt	1938	Political candidates and new automobiles compete for our attention these early November days . Since it is the fond belief and recurrent boast of most politicians that	business	is outmoded in its thinking , inefficient in its operation and generally in dire need of the competence , vision and enlightenment possessed by political minds , it may not be a bad idea to compare the production methods and sales technique of the two types of enterprise—business and politics .


text124618	batch8_264_page0.txt	1938	Take a look at what you can see in the operations of the two groups—politicians , on the one hand , the automobile industry , for instance , on the other . There is much that the politician could learn . But the politician does not want to learn . He wants to tell	business	how it ought to operate . He says that business cannot produce “ the more abundant life . ” He promises that he can . But as you look back over the past fifty years how would you apportion the credit for the general rise that has taken place in our standard of living ? Who would you say came closest to clearing the way toward “ the more abundant life ? ”


text124618	batch8_264_page0.txt	1938	Take a look at what you can see in the operations of the two groups—politicians , on the one hand , the automobile industry , for instance , on the other . There is much that the politician could learn . But the politician does not want to learn . He wants to tell business how it ought to operate . He says that	business	cannot produce “ the more abundant life . ” He promises that he can . But as you look back over the past fifty years how would you apportion the credit for the general rise that has taken place in our standard of living ? Who would you say came closest to clearing the way toward “ the more abundant life ? ”

text124629	batch8_264_page0.txt	1938	social justice . In foreign affairs his formula was simple : “ To keep the country out of trouble is the main object of diplomacy . ” But he believed that in a world of nations , as he knew that world twenty-five years ago , the civilized process of international cooperation was possible . He labored even in the face of a breakup of the world as he had known it to keep cooperation alive . He believed that , in spite of alarms , people were getting more out of life , politics was growing more honest and	business	, more responsible .

text124667	batch8_265_page0.txt	1938	a half years of public service—his honesty , his insistence upon efficiency , his resistance to the perfunctory kind of service mere politics would achieve and , above all , his indomitable courage . But it is hard to see why a man so intelligent as he should persist in giving authority to the popular confusion that identifies the possession of wealth with the exercise of corporate power . Again and again Secretary Ickes has voiced the half-truth that a given number of individuals , having legal possession of a given proportion of the national wealth , ipso facto control	business	enterprise in America . And the answer to that half-truth has been made so many times to Mr . Ickes and ignored so many times by Mr . Ickes that it is difficult to escape the conclusion that the distortion is willful .



text124711	batch8_266_page0.txt	1938	This situation cannot be met by competitive political propaganda . Certainly the common suggestion that the government set up and operate a radio station to advertise the virtues of American government and	business	in South American countries is absurd if it is considered as a solution . We cannot outtrade Krupp by outshouting Goebbels .


text124715	batch8_266_page0.txt	1938	We are going to have to discard our antique theories , do some fast thinking and quick stepping if we intend to frustrate the economic conquest of a number of Central and South American countries by Germany . As a starter , it might be well to introduce a little more practical business ability into our State and Commerce Departments . This is not a job for diplomats and politicians who have never sold a cotton shirt or a monkey wrench or a can of tomatoes . It is a job of salesmanship , of	business	enterprise .

text127035	batch8_283_page0.txt	1938	labor , on the other . Obviously , the adjustment of these spheres of jurisdiction is a difficult and delicate matter . It cannot be achieved by political methods , by sweeping legislation , by bitter controversy . It can come only at a conference table . And management can , it seems to me , be counted upon to approach such adjustments with a full realization that a new era has dawned in American economic life . It will come , as Mr . Brown says in his foreword to this symposium , with " the distilled essence of	business	experience gained over many years , tempered by great economic forces , challenged by political movements , humbled by a new social awareness . "



