"","Year","column2","date","page1","crap","month","day","month_num","date_new","page"
"1",1959,"Sowing the Windfallis"," Jl 6"," 88",NA,"Jl",6,"07",1959-07-06,"89"
"2",1959,"Trickle-Down Welfare"," Jl 13"," 92",NA,"Jl",13,"07",1959-07-13,"93"
"3",1959,"Good Gulf Citizenship"," Jl 20"," 100",NA,"Jl",20,"07",1959-07-20,"101"
"4",1959,"Inflation, a Moral Issue"," Jl 27"," 92",NA,"Jl",27,"07",1959-07-27,"93"
"5",1959,"All or Nothing"," Ag 3"," 80",NA,"Ag",3,"08",1959-08-03,"81"
"6",1959,"Japan's Super-Salesman"," Ag 10"," 92",NA,"Ag",10,"08",1959-08-10,"93"
"7",1959,"The Net Gain"," Ag 17"," 100",NA,"Ag",17,"08",1959-08-17,"101"
"8",1959,"A TVA in the Northwest"," Ag 24"," 88",NA,"Ag",24,"08",1959-08-24,"89"
"9",1959,"The Feedback Obsession"," Ag 31"," 88",NA,"Ag",31,"08",1959-08-31,"89"
"10",1959,"What For and How Long"," S 7"," 84",NA,"S",7,"09",1959-09-07,"85"
"11",1959,"The Vital First Years"," S 14"," 124",NA,"S",14,"09",1959-09-14,"125"
"12",1959,"The Senator Is Troubled"," S 21"," 132",NA,"S",21,"09",1959-09-21,"133"
"13",1959,"Mr K, Farm Expert"," S 28"," 124",NA,"S",28,"09",1959-09-28,"125"
"14",1959,"While Congress Fiddled"," O 5"," 92",NA,"O",5,"10",1959-10-05,"93"
"15",1959,"Poll ‘Em and Scare ‘Em"," O 12"," 60",NA,"O",12,"10",1959-10-12,"61"
"16",1959,"BritainStaysRight","O19","56",NA,"O",19,"10",1959-10-19,"57"
"17",1959,"Lessons for Americans"," O 26"," 132",NA,"O",26,"10",1959-10-26,"133"
"18",1959,"Heritage of Q'Connell"," N 2"," 108",NA,"N",2,"11",1959-11-02,"109"
"19",1959,"Wohlstand Fur Alle"," N 9"," 128",NA,"N",9,"11",1959-11-09,"129"
"20",1959,"Machiavelli Revisited"," N 16"," 124",NA,"N",16,"11",1959-11-16,"125"
"21",1959,"Machiavelli Reconsidered"," N 23"," 124",NA,"N",23,"11",1959-11-23,"125"
"22",1959,"Dilemma of the Left"," N 30"," 112",NA,"N",30,"11",1959-11-30,"113"
"23",1959,"What Happened in 1948"," D 7"," 120",NA,"D",7,"12",1959-12-07,"121"
"24",1959,"Retrospect and Prospect"," D 14"," 124",NA,"D",14,"12",1959-12-14,"125"
"25",1959,"Gaitskell at Blackpool"," D 21"," 100",NA,"D",21,"12",1959-12-21,"101"
"26",1959,"Were Those Years Dark"," D 28"," 68",NA,"D",28,"12",1959-12-28,"69"
"27",1953,"Freedom award"," Mr 2"," 44",NA,"Mr",2,"03",1953-03-02,"45"
"28",1953,"Multiple sclerosis appeal"," Ap 6"," 13",NA,"Ap",6,"04",1953-04-06,"14"
"29",1953,"Uncle Sam's Businesses"," Ja 5"," 64",NA,"Ja",5,"01",1953-01-05,"65"
