,Year,column2,date,page,month,day,month_num,date2,real_page,index,bad_scan,list,URL
1,1959,Sowing the Windfallis, Jl 6,88,Jl,6,7,7/6/59,89,1,,sim_newsweek-us_1959-07-06_54_1,https://archive.org/details/sim_newsweek-us_1959-07-06_54_1/page/n89/mode/2up
2,1959,The Feedback Obsession, Ag 31,88,Ag,31,8,8/31/59,89,2,,sim_newsweek-us_1959-08-31_54_9,https://archive.org/details/sim_newsweek-us_1959-08-31_54_9/page/n89/mode/2up
3,1959,"Mr K, Farm Expert", S 28,124,S,28,9,9/28/59,125,3,,sim_newsweek-us_1959-09-28_54_13,https://archive.org/details/sim_newsweek-us_1959-09-28_54_13/page/n125/mode/2up
4,1959,Lessons for Americans, O 26,132,O,26,10,10/26/59,133,4,,sim_newsweek-us_1959-10-26_54_17,https://archive.org/details/sim_newsweek-us_1959-10-26_54_17/page/n133/mode/2up
5,1959,Dilemma of the Left, N 30,112,N,30,11,11/30/59,113,5,,sim_newsweek-us_1959-11-30_54_22,https://archive.org/details/sim_newsweek-us_1959-11-30_54_22/page/n113/mode/2up
6,1959,Retrospect and Prospect, D 14,124,D,14,12,12/14/59,125,6,,sim_newsweek-us_1959-12-14_54_24,https://archive.org/details/sim_newsweek-us_1959-12-14_54_24/page/n125/mode/2up
7,1953,Multiple sclerosis appeal, Ap 6,13,Ap,6,4,4/6/53,14,7,x,sim_newsweek-us_1953-04-06_41_14,https://archive.org/details/sim_newsweek-us_1953-04-06_41_14/page/n14/mode/2up
8,1953,A Road Away From Statism, Ja 26,112,Ja,26,1,1/26/53,113,8,,sim_newsweek-us_1953-01-26_41_4,https://archive.org/details/sim_newsweek-us_1953-01-26_41_4/page/n113/mode/2up
9,1953,Proliferation, F 23,104,F,23,2,2/23/53,105,9,,sim_newsweek-us_1953-02-23_41_8,https://archive.org/details/sim_newsweek-us_1953-02-23_41_8/page/n105/mode/2up
10,1953,Army Over Ideology, Mr 23,116,Mr,23,3,3/23/53,117,10,,sim_newsweek-us_1953-03-23_41_12,https://archive.org/details/sim_newsweek-us_1953-03-23_41_12/page/n117/mode/2up
11,1953,Domesticating Big Mo, Ap 6,100,Ap,6,4,4/6/53,101,11,,sim_newsweek-us_1953-04-06_41_14,https://archive.org/details/sim_newsweek-us_1953-04-06_41_14/page/n101/mode/2up
12,1953,How to Hide a Handout, My 25,108,My,25,5,5/25/53,109,12,,sim_newsweek-us_1953-05-25_41_21,https://archive.org/details/sim_newsweek-us_1953-05-25_41_21/page/n109/mode/2up
13,1953,1t Came to Dinner, Je 1,92,Je,1,NA,NA,93,13,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n93/mode/2up
14,1953,Revolt in Los Angeles, Je 8,108,Je,8,NA,NA,109,14,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n109/mode/2up
15,1953,Resp] endent Redundancy, Je 15,108,Je,15,NA,NA,109,15,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n109/mode/2up
