Date,OLD_DOC_ID,Notable writing,Economy,fiscal conservatism,Privatization of government functions,Statism,Business,Civil Rights,Communism,Crime - Criminal Justice,Democracy,Domestic Policy Misc,Foreign Policy,government efficiency,Journalism-Media,Labor,Religion,Supreme Court,Taxes,Vietnam,Political analysis,Conservative Politics,Conservative criticism,Dem criticism,Democratic Party politics,Eisenhower,FDR analysis - even handed,Goldwater,GOP Party politics,Johnson,John F Kennedy,Nixon,Criticism of Moley,New Deal critique,FDR_explicit_support,FDR_criticism,Criticism of FDR aides,Ad with Moley,YELLOW,Document
1964_1_13,Document name=moley_1964_1_13_1645676 (N=1),"

moley_1964_1_13_1645676: 2: 231|170 - 2: 536|356 (0)",,,,,,,,,,,,,,,,,,,,"

moley_1964_1_13_1645676: 3: 363|36 - 3: 529|212 (0)",,,,,,"

moley_1964_1_13_1645676: 3: 370|504 - 3: 526|638 (0)",,,,,,,,,,,,1964_1_13_1645676 (N=1)
1964_2_24,Document name=moley_1964_2_24_1645677 (N=1),,,,,,,,,,,,,,,,,,,,"

moley_1964_2_24_1645677: 3: 368|32 - 3: 533|125 (0)",,,,,,,,,,,,,,,,,,,1964_2_24_1645677 (N=1)
1964_3_16,Document name=moley_1964_3_16_1645678 (N=1),,,,,,,,,,,,,,,,"

moley_1964_3_16_1645678: 3: 376|228 - 3: 526|391 (0)",,,,,,,,"

moley_1964_3_16_1645678: 3: 207|544 - 3: 369|630 (0)",,,,,,,,,,,,,,,1964_3_16_1645678 (N=1)
1964_4_13,Document name=moley_1964_4_13_1645679 (N=1),,,,,,,,,,,,,,,,,,,,,,,,,,,"

moley_1964_4_13_1645679: 3: 195|373 - 3: 353|519 (0)",,,,,,,,,,,,1964_4_13_1645679 (N=1)
1964_4_20,Document name=moley_1964_4_20_1645680 (N=1),"

moley_1964_4_20_1645680: 3: 208|82 - 3: 381|349 (0)



moley_1964_4_20_1645680: 3: 210|408 - 3: 366|515 (0)",,,,,,,,,,,,,,,,,,,"

moley_1964_4_20_1645680: 3: 210|408 - 3: 366|515 (0)","

moley_1964_4_20_1645680: 3: 205|516 - 3: 366|639 (0)","

moley_1964_4_20_1645680: 3: 208|82 - 3: 381|349 (0)



moley_1964_4_20_1645680: 3: 371|462 - 3: 533|628 (0)",,,"

moley_1964_4_20_1645680: 3: 208|82 - 3: 381|349 (0)",,,,,,,,,,,,,,1964_4_20_1645680 (N=1)
1964_5_4,Document name=moley_1964_5_4_1645683 (N=1),,,,,,,,,,,"

moley_1964_5_4_1645683: 3: 200|664 - 3: 436|696 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,1964_5_4_1645683 (N=1)
1964_10_26,Document name=moley_1964_10_26_1645689 (N=1),,,,,,,,,,,,"

moley_1964_10_26_1645689: 4: 372|135 - 4: 530|318 (0)",,,,,,,,,"

moley_1964_10_26_1645689: 4: 198|212 - 4: 363|264 (0)



moley_1964_10_26_1645689: 4: 370|515 - 4: 531|625 (0)","

moley_1964_10_26_1645689: 4: 198|212 - 4: 363|264 (0)",,,,,,,,,"

moley_1964_10_26_1645689: 4: 197|557 - 4: 360|669 (0)",,,,,,,,1964_10_26_1645689 (N=1)
1964_11_9,Document name=moley_1964_11_9_1645690 (N=1),,,,,,,,,,,,,,,,,,,,,"

moley_1964_11_9_1645690: 3: 206|554 - 3: 375|657 (0)",,,,,,,,,,,,,,,,,,1964_11_9_1645690 (N=1)
1965_4_12,Document name=moley_1965_4_12_1645695 (N=1),,,,,,,,"

moley_1965_4_12_1645695: 3: 365|286 - 3: 521|392 (0)",,,,,,,,,,,"

moley_1965_4_12_1645695: 3: 213|663 - 3: 447|706 (0)",,"

moley_1965_4_12_1645695: 3: 202|21 - 3: 359|74 (0)



moley_1965_4_12_1645695: 3: 203|252 - 3: 358|335 (0)",,,,,,,,,,"

moley_1965_4_12_1645695: 3: 213|663 - 3: 447|706 (0)",,,,,,,,1965_4_12_1645695 (N=1)
1965_6_7,Document name=moley_1965_6_7_1645697 (N=1),,,,,,,,"

moley_1965_6_7_1645697: 3: 362|421 - 3: 518|571 (0)",,,,,,,,,,,"

moley_1965_6_7_1645697: 3: 190|513 - 3: 359|641 (0)",,,,,,,,,,"

moley_1965_6_7_1645697: 3: 190|513 - 3: 359|641 (0)",,,,,,,,,"

moley_1965_6_7_1645697: 3: 362|28 - 3: 519|84 (0)",1965_6_7_1645697 (N=1)
