x1,index,title,abstract,store_id,article_type,authors,copyright,document_type,entry_date,issn,issue,language,language_of_summary,pages,place_of_publication,pubdate,pubtitle,year,volume,document_url,document_features,start_page,find_a_copy,database,date,filename,filepath
1,batch1_1.pdf,A PERSONAL NOTE: THINGS OUTRACE IDEAS,"At the end of this year I shall discontinue my contributions in NEWSWEEK. For that reason, I take this occasion to inform those who have read my pieces over the years, especially the considerable number with whom I have had a friendly correspondence, that I shall permanently retain my office and base of operations here at NEWSWEEK, 444 Madison Avenue, New York, N.Y. 10022.",1879135429,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Dec 25, 1967",0028-9604,26,English,English,76,New York,"Dec 25, 1967",Newsweek,1967,70,https://www.proquest.com/magazines/personal-note/docview/1879135429/se-2?accountid=14696,Photographs,76,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=70&amp;issue=26&amp;title=Newsweek&amp;spage=76&amp;date=1967-12-25&amp;atitle=A+PERSONAL+NOTE&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-12-25,NA,NA
2,batch1_2.pdf,ROMNEY THE INCREDIBLE: AN UNCERTAIN TRUMPET,"If there were not a George Romney, Nelson Rockefeller would have to invent one. I am still willing to be convinced that the New York governor would reject a nomination if it sought him after the bloody field was strewn with the remains of the present aspirants. But even if Rockefeller does not want to be nominated, he is the authentic champion of the Eastern Establishment which cannot endure the prospect of a Republican convention without a candidate for the nomination who reflects the interests and views of that corner of the nation.",1866739513,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Dec 11, 1967",0028-9604,24,English,English,116,New York,"Dec 11, 1967",Newsweek,1967,70,https://www.proquest.com/magazines/romney-incredible/docview/1866739513/se-2?accountid=14696,Photographs,116,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=70&amp;issue=24&amp;title=Newsweek&amp;spage=116&amp;date=1967-12-11&amp;atitle=ROMNEY+THE+INCREDIBLE&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-12-11,NA,NA
3,batch1_3.pdf,A LOOK BEYOND THE WAR: NIXON'S EXPERIENCE,"Richard Nixon's contribution to the multilogue on Vietnam looks beyond enlisting support for his nomination, for he is giving his party a foreign policy fit for all seasons, an asset the GOP needs as it looks toward 1968. For this, Republicans should consider themselves deeply in his debt.",1883532825,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Nov 27, 1967",0028-9604,22,English,English,108,New York,"Nov 27, 1967",Newsweek,1967,70,https://www.proquest.com/magazines/look-beyond-war/docview/1883532825/se-2?accountid=14696,Photographs,108,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=70&amp;issue=22&amp;title=Newsweek&amp;spage=108&amp;date=1967-11-27&amp;atitle=A+LOOK+BEYOND+THE+WAR&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-11-27,NA,NA
4,batch1_4.pdf,THE GOP MAINSTREAM: OBJECTIVES IN PACIFIC,"The word ""mainstream"" was vaguely and inaccurately used by Governor Rockefeller and others to belabor Barry Goldwater in 1964. But at this moment, when rivals for the Republican Presidential nomination are expressing their views about Vietnam, it has a special relevance.",1883531846,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Nov 13, 1967",0028-9604,20,English,English,126,New York,"Nov 13, 1967",Newsweek,1967,70,https://www.proquest.com/magazines/gop-mainstream/docview/1883531846/se-2?accountid=14696,Photographs,126,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=70&amp;issue=20&amp;title=Newsweek&amp;spage=126&amp;date=1967-11-13&amp;atitle=THE+GOP+MAINSTREAM&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-11-13,NA,NA
5,batch1_5.pdf,PORTRAIT OF THE GOP: ACCENT ON ORGANIZATION,"Thirty-seven years have passed since the electorate in the Congressional elections of 1930 handed a vote of no confidence to the Republican Party. When we realize that a new generation has come of age since then, it is obvious why those people who shape public opinion have portrayed the GOP as an object of pity, scorn, contempt and ridicule.",1850824992,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Oct 30, 1967",0028-9604,18,English,English,108,New York,"Oct 30, 1967",Newsweek,1967,70,https://www.proquest.com/magazines/portrait-gop/docview/1850824992/se-2?accountid=14696,Photographs,108,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=70&amp;issue=18&amp;title=Newsweek&amp;spage=108&amp;date=1967-10-30&amp;atitle=PORTRAIT+OF+THE+GOP&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-10-30,NA,NA
6,batch1_6.pdf,THOSE ALLEGED POSTAL SUBSIDIES: THE BURDEN UPON USERS,A House bill to raise postal rates and increase the pay of postal employees (H.R. 7977) has been passed by the Post Office Committee and cleared for floor action by the Rules Committee. This bill is a hybrid. Originally there were two bills—one to comply with the President's demand for higher postal rates and the other to raise the pay of postal employees.,1882538102,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Oct 16, 1967",0028-9604,16,English,English,112,New York,"Oct 16, 1967",Newsweek,1967,70,https://www.proquest.com/magazines/those-alleged-postal-subsidies/docview/1882538102/se-2?accountid=14696,Photographs,112,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=70&amp;issue=16&amp;title=Newsweek&amp;spage=112&amp;date=1967-10-16&amp;atitle=THOSE+ALLEGED+POSTAL+SUBSIDIES&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-10-16,NA,NA
7,batch1_7.pdf,SUBSIDY OR WINDFALL: ALLOCATE RESPONSIBILITY,"Political appeal, rather than economic sense and long-term constitutional wisdom, has made the proposal to share Federal revenues with the states popular with all sorts of people. Governors in both parties favor it because it would relieve them of some of the unpleasant worry of collecting taxes.",1882531543,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Oct 2, 1967",0028-9604,14,English,English,100,New York,"Oct 2, 1967",Newsweek,1967,70,https://www.proquest.com/magazines/subsidy-windfall/docview/1882531543/se-2?accountid=14696,Photographs,100,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=70&amp;issue=14&amp;title=Newsweek&amp;spage=100&amp;date=1967-10-02&amp;atitle=SUBSIDY+OR+WINDFALL&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-10-02,NA,NA
8,batch1_8.pdf,ROCKEFELLER-REAGAN?: STRANGE BEDFELLOWS,"A leading member of the Reagan-for-President hopefuls has explained his preference in terms of ""maturity."" Ronald Reagan, he said, is more mature and sophisticated than was Barry Goldwater in 1964. But he quickly added that his people would find both Nelson Rockefeller and George Romney ""totally unacceptable.""",1850824661,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Sep 18, 1967",0028-9604,12,English,English,112,New York,"Sep 18, 1967",Newsweek,1967,70,https://www.proquest.com/magazines/rockefeller-reagan/docview/1850824661/se-2?accountid=14696,Photographs,112,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=70&amp;issue=12&amp;title=Newsweek&amp;spage=112&amp;date=1967-09-18&amp;atitle=ROCKEFELLER-REAGAN%3F&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-09-18,NA,NA
9,batch1_9.pdf,"WHAT KIND OF CITY?: HIGH UP, NOT SPRAWL","In 1911 William Jennings Bryan was on a ship bound for Jamaica. With New York 1,100 miles behind, there was a storm and the ship struck a reef. Some passengers thought of God, their souls and their sins. Others, of their queasy innards. But the Peerless Leader conducted an investigation and concluded that there-ought-tobe-a-law.",1894148719,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Aug 21, 1967",0028-9604,8,English,English,72,New York,"Aug 21, 1967",Newsweek,1967,70,https://www.proquest.com/magazines/what-kind-city/docview/1894148719/se-2?accountid=14696,Photographs,72,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=70&amp;issue=8&amp;title=Newsweek&amp;spage=72&amp;date=1967-08-21&amp;atitle=WHAT+KIND+OF+CITY%3F&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-08-21,NA,NA
10,batch1_10.pdf,"TITAN UNBOUND, II: AMERICA, THE OBSOLETE","In a piece two weeks ago I noted that a major, probably the major, long-term policy of the Soviet Union is to stay out of a great war, and, by developing a massive sea potential, to break out of its traditional landlocked isolation. That policy, created even before the death of Stalin fourteen years ago, has been binding upon all Russian leaders since.",1879135867,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Aug 7, 1967",0028-9604,6,English,English,84,New York,"Aug 7, 1967",Newsweek,1967,70,https://www.proquest.com/magazines/titan-unbound-ii/docview/1879135867/se-2?accountid=14696,Photographs,84,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=70&amp;issue=6&amp;title=Newsweek&amp;spage=84&amp;date=1967-08-07&amp;atitle=TITAN+UNBOUND%2C+II&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-08-07,NA,NA
