"","date_new","year.x","notable_writing","economy","fiscal_conservatism","privatization_of_government_functions","statism","business","civil_rights","communism","crime_criminal_justice","democracy","domestic_policy_misc","foreign_policy","government_efficiency","journalism_media","labor","religion","supreme_court","taxes","vietnam","political_analysis","conservative_politics","conservative_criticism","dem_criticism","democratic_party_politics","eisenhower","fdr_analysis_even_handed","goldwater","gop_party_politics","johnson","john_f_kennedy","nixon","criticism_of_moley","new_deal_critique","fdr_explicit_support","fdr_criticism","criticism_of_fdr_aides","ad_with_moley","yellow","document","x1","index","title","abstract","store_id","article_type","authors","copyright","document_type","entry_date","issn","issue","language","language_of_summary","pages","place_of_publication","pubdate","pubtitle","year.y","volume","document_url","document_features","start_page","find_a_copy","database"
"1",1964-01-13,1964,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1964_1_13_1645676 (N=1)",92,"batch2_92.pdf","Goldwater's Decision: POPULAR DEMAND","IF BARRY GOLDWATER had the Presidency in mind twelve years ago when he left behind the pleasant life of a successful businessman and entered the arena of politics, the evidence fails to support it. There have been many perennial seekers of the Presidency in our history, and certain rituals have developed which border on superstition.","1879112152","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Jan 13, 1964","0028-9604","2","English","English","78","New York","Jan 13, 1964","Newsweek",1964,"63","https://www.proquest.com/magazines/goldwaters-decision/docview/1879112152/se-2?accountid=14696","Photographs","78","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=63&amp;issue=2&amp;title=Newsweek&amp;spage=78&amp;date=1964-01-13&amp;atitle=Goldwater%27s+Decision&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"2",1964-02-24,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1964_2_24_1645677 (N=1)",86,"batch2_86.pdf","Frank Killory's Failure: THE BOOM","WHEN a political writer as talented as Henry J. Taylor writes a political novel it is news. Moreover, the characters he draws in ""The Big Man""* and the life he portrays are so close to us that interest quickens. An evaluation of his novel as such is beyond my capacity and my departmental responsibility.","1850807892","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Feb 24, 1964","0028-9604","8","English","English","96","New York","Feb 24, 1964","Newsweek",1964,"63","https://www.proquest.com/magazines/frank-killorys-failure/docview/1850807892/se-2?accountid=14696","Photographs","96","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=63&amp;issue=8&amp;title=Newsweek&amp;spage=96&amp;date=1964-02-24&amp;atitle=Frank+Killory%27s+Failure&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"3",1964-03-16,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1964_3_16_1645678 (N=1)",83,"batch2_83.pdf","RFK's Power Play: STRATEGIC PATRONAGE","THE robust ambition of Robert F. Kennedy to be the Democratic Vice Presidential nominee, the political assets which are claimed for him, and President Johnson's distaste for his Attorney General are political considerations of the utmost importance in these early months of 1964.","1850810334","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Mar 16, 1964","0028-9604","11","English","English","116","New York","Mar 16, 1964","Newsweek",1964,"63","https://www.proquest.com/magazines/rfks-power-play/docview/1850810334/se-2?accountid=14696","Photographs","116","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=63&amp;issue=11&amp;title=Newsweek&amp;spage=116&amp;date=1964-03-16&amp;atitle=RFK%27s+Power+Play&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"4",1964-04-13,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1964_4_13_1645679 (N=1)",79,"batch2_79.pdf","Goldwater's Managers: THE PRECEDENTS","PHOENIX—During the final weeks of the wretched New Hampshire primary campaign and since, a great deal of criticism of Senator Goldwater's management and managers has been published. Politics is like baseball. If the team is leading on Sept. 1, the manager is hailed as a genius.","1850810216","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Apr 13, 1964","0028-9604","15","English","English","100","New York","Apr 13, 1964","Newsweek",1964,"63","https://www.proquest.com/magazines/goldwaters-managers/docview/1850810216/se-2?accountid=14696","Photographs","100","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=63&amp;issue=15&amp;title=Newsweek&amp;spage=100&amp;date=1964-04-13&amp;atitle=Goldwater%27s+Managers&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"5",1964-04-20,1964,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1964_4_20_1645680 (N=1)",78,"batch2_78.pdf","The Essential South: THE EISENHOWER DECLINE","OKLAHOMA City—The emergence of a young and growing Republican Party in the hitherto Democratic South may well be the salvation of the Republican cause over the nation. Indeed, it may be essential to the preservation of a national twoparty system. This is why I have attempted to study this remarkable political change during a five weeks' trip through the South this spring and also in 1963.","1850809991","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Apr 20, 1964","0028-9604","16","English","English","122","New York","Apr 20, 1964","Newsweek",1964,"63","https://www.proquest.com/magazines/essential-south/docview/1850809991/se-2?accountid=14696","Photographs","122","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=63&amp;issue=16&amp;title=Newsweek&amp;spage=122&amp;date=1964-04-20&amp;atitle=The+Essential+South&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"6",1964-05-04,1964,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1964_5_4_1645683 (N=1)",76,"batch2_76.pdf","HIGHWAY REVOLUTION—I: BETTER SPEED","We have heard a lot about the revolution in space. We are all paying for it in taxes. Some of us use the air for travel. But down there where most of us live and work, miles under the jet on which we are riding, where little bugs move along on thin ribbons of roads, there has been an equally sensational revolution closer to our lives.","1843957862","Magazines","Moley, Raymond","© IBT Media, Inc","Article","May 4, 1964","0028-9604","18","English","English","96","New York","May 4, 1964","Newsweek",1964,"63","https://www.proquest.com/magazines/highway-revolution-i/docview/1843957862/se-2?accountid=14696","Photographs","96","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=63&amp;issue=18&amp;title=Newsweek&amp;spage=96&amp;date=1964-05-04&amp;atitle=HIGHWAY+REVOLUTION%E2%80%94I&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"7",1964-10-26,1964,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"1964_10_26_1645689 (N=1)",51,"batch2_51.pdf","NIXON'S ROLE IN 1964: RECORD OF LOYALTY","If the acclaim now given by conservative people to Richard Nixon for his campaign over the nation in support of the Goldwater-Miller ticket had been accorded him by those same people in 1960, he would now be running for re-election as President, and John F. Kennedy and Lyndon B. Johnson would be senators from their respective states.","1843960071","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Oct 26, 1964","0028-9604","17","English","English","124","New York","Oct 26, 1964","Newsweek",1964,"64","https://www.proquest.com/magazines/nixons-role-1964/docview/1843960071/se-2?accountid=14696","Photographs","124","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=64&amp;issue=17&amp;title=Newsweek&amp;spage=124&amp;date=1964-10-26&amp;atitle=NIXON%27S+ROLE+IN+1964&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"8",1964-11-09,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1964_11_9_1645690 (N=1)",49,"batch2_49.pdf","HE WON OVER DEFEAT: HOOVER'S HUMILITY","The most vital test of a man's character is not how he behaves after success, but how he sustains defeat. The tributes which have appeared on all sides since the passing of Herbert Hoover have noted the massive public service which he contributed to his country and the world since he left the White House in March 1933.","1843959321","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Nov 9, 1964","0028-9604","19","English","English","108","New York","Nov 9, 1964","Newsweek",1964,"64","https://www.proquest.com/magazines/he-won-over-defeat/docview/1843959321/se-2?accountid=14696","Photographs","108","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=64&amp;issue=19&amp;title=Newsweek&amp;spage=108&amp;date=1964-11-09&amp;atitle=HE+WON+OVER+DEFEAT&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"9",1965-04-12,1965,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"1965_4_12_1645695 (N=1)",27,"batch2_27.pdf","NIXON ON VIETNAM: RISK INEVITABLE","In an off-the-record speech before a private group in New York, Richard Nixon analyzed the American position in Vietnam with such precision and force that many who heard him persuaded him to commit it to writing.","1843939723","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Apr 12, 1965","0028-9604","15","English","English","120","New York","Apr 12, 1965","Newsweek",1965,"65","https://www.proquest.com/magazines/nixon-on-vietnam/docview/1843939723/se-2?accountid=14696","Photographs","120","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=65&amp;issue=15&amp;title=Newsweek&amp;spage=120&amp;date=1965-04-12&amp;atitle=NIXON+ON+VIETNAM&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"10",1965-06-07,1965,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"1965_6_7_1645697 (N=1)",19,"batch2_19.pdf","LBJ AND HIS CRITICS: PRIORITY FOR ACTION","President Johnson's strong actions in Vietnam and in the Dominican Republic deserve the understanding and support of every American who cherishes his country's traditions and faces the hard facts of the presentday world. Most of the President's critics either ignore or do not know the realities of international life, or choose to risk our security and that of other free nations in the pursuit of only an illusion of peace.","1843933544","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Jun 7, 1965","0028-9604","23","English","English","88","New York","Jun 7, 1965","Newsweek",1965,"65","https://www.proquest.com/magazines/lbj-his-critics/docview/1843933544/se-2?accountid=14696","Photographs","88","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=65&amp;issue=23&amp;title=Newsweek&amp;spage=88&amp;date=1965-06-07&amp;atitle=LBJ+AND+HIS+CRITICS&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
