"","date","year","title","abstract","authors","filename","filepath","index","issn","pages","document_url","find_a_copy"
"1",1969-07-14,1969,"A Commentator Retires, With Certain Grave Forebodings","With the filing of this piece I terminate my years as a journalist. They began 36 years ago when I resigned from the Roosevelt Administration to undertake the editorship of Today, a new weekly magazine, In doing so I was realizing an ambition I had conceived years...","Moley, Raymond","156173724_1_page0.txt","./moley_lat_txt/156173724_1_page0.txt",156173724,"0458-3035","b9","https://www.proquest.com/historical-newspapers/commentator-retires-with-certain-grave/docview/156173724/se-2?accountid=14696","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=04583035&amp;volume=&amp;issue=&amp;title=Los+Angeles+Times+%281923-1995%29&amp;spage=B9&amp;date=1969-07-14&amp;atitle=A+Commentator+Retires%2C+With+Certain+Grave+Forebodings&amp;au=Moley%2C+Raymond&amp;id=doi:"
"2",1969-07-07,1969,"Costly Federal Landholding","Two months ago in a piece under this byline titled """"Land Poor America,"""" I called attention to the very considerable cost to taxpayers of the vast holdings of land and mineral rights locked up by the federal government in the name of conservation.","Moley, Raymond","156172292_1_page0.txt","./moley_lat_txt/156172292_1_page0.txt",156172292,"0458-3035","a9","https://www.proquest.com/historical-newspapers/costly-federal-landholding/docview/156172292/se-2?accountid=14696","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=04583035&amp;volume=&amp;issue=&amp;title=Los+Angeles+Times+%281923-1995%29&amp;spage=A9&amp;date=1969-07-07&amp;atitle=Costly+Federal+Landholding&amp;au=Moley%2C+Raymond&amp;id=doi:"
"3",1969-07-01,1969,"Alarming Soviet Sea Power","At the moment, our nuclear and, more specifically, our missile capability absorb the attention of the President, the Congress and the press. This is quite understandable because the prospect of attack and response through the great air spaces suggests a disaster from...","Moley, Raymond","156234050_1_page0.txt","./moley_lat_txt/156234050_1_page0.txt",156234050,"0458-3035","b9","https://www.proquest.com/historical-newspapers/alarming-soviet-sea-power/docview/156234050/se-2?accountid=14696","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=04583035&amp;volume=&amp;issue=&amp;title=Los+Angeles+Times+%281923-1995%29&amp;spage=B9&amp;date=1969-07-01&amp;atitle=Alarming+Soviet+Sea+Power&amp;au=Moley%2C+Raymond&amp;id=doi:"
"4",1969-06-23,1969,"Persian Gulf Pressure-Point","It is somewhat early to calculate the effect upon the economies of the Western nations and Japan of the immense oil discoveries in northern Alaska and Canada and the projected sea routes from those sources to the East and West. That was the subject of my piece a week ago.","Moley, Raymond","156237787_1_page0.txt","./moley_lat_txt/156237787_1_page0.txt",156237787,"0458-3035","a11","https://www.proquest.com/historical-newspapers/persian-gulf-pressure-point/docview/156237787/se-2?accountid=14696","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=04583035&amp;volume=&amp;issue=&amp;title=Los+Angeles+Times+%281923-1995%29&amp;spage=A11&amp;date=1969-06-23&amp;atitle=Persian+Gulf+Pressure-Point&amp;au=Moley%2C+Raymond&amp;id=doi:"
"5",1969-06-16,1969,"Arctic Sea Route","The proposal of the Humble Oil and Refining Co. and associated companies to spend millions to create a sea route from the Alaskan and Canadian oil fields to the Atlantic Ocean should ignite the interest of every observer of foreign affairs.","Moley, Raymond","156237138_1_page0.txt","./moley_lat_txt/156237138_1_page0.txt",156237138,"0458-3035","a9","https://www.proquest.com/historical-newspapers/arctic-sea-route/docview/156237138/se-2?accountid=14696","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=04583035&amp;volume=&amp;issue=&amp;title=Los+Angeles+Times+%281923-1995%29&amp;spage=A9&amp;date=1969-06-16&amp;atitle=Arctic+Sea+Route&amp;au=Moley%2C+Raymond&amp;id=doi:"
"6",1969-06-09,1969,"Vital Salt-Water Arteries","Since the President of the United States has so many diplomatic irons in the fire, what he says at one time on any one subject must fall short of a complete statement of both immediate and ultimate objectives. This was true of Mr. Nixon's address on Vietnam on May 14.","Moley, Raymond","156202930_1_page0.txt","./moley_lat_txt/156202930_1_page0.txt",156202930,"0458-3035","c11","https://www.proquest.com/historical-newspapers/vital-salt-water-arteries/docview/156202930/se-2?accountid=14696","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=04583035&amp;volume=&amp;issue=&amp;title=Los+Angeles+Times+%281923-1995%29&amp;spage=C11&amp;date=1969-06-09&amp;atitle=Vital+Salt-Water+Arteries&amp;au=Moley%2C+Raymond&amp;id=doi:"
"7",1969-06-02,1969,"The Relevance of Adm. Mahan","History has a way of reciting the fortunes of nations in terms of great commanders and statesmen who, from time to time, have dominated the forces that determined the ebb and flow of world affairs. But more often than not, there were students removed from the vicissitudes of...","Moley, Raymond","156303476_1_page0.txt","./moley_lat_txt/156303476_1_page0.txt",156303476,"0458-3035","a9","https://www.proquest.com/historical-newspapers/relevance-adm-mahan/docview/156303476/se-2?accountid=14696","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=04583035&amp;volume=&amp;issue=&amp;title=Los+Angeles+Times+%281923-1995%29&amp;spage=A9&amp;date=1969-06-02&amp;atitle=The+Relevance+of+Adm.+Mahan&amp;au=Moley%2C+Raymond&amp;id=doi:"
"8",1969-05-26,1969,"College Students Have a Valid Complaint on Teaching Setup","Most of the cases of student unrest go back a good many years. A bit of history about Columbia wvill provide an excellent example.","Moley, Raymond","156189397_1_page0.txt","./moley_lat_txt/156189397_1_page0.txt",156189397,"0458-3035","b9","https://www.proquest.com/historical-newspapers/college-students-have-valid-complaint-on-teaching/docview/156189397/se-2?accountid=14696","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=04583035&amp;volume=&amp;issue=&amp;title=Los+Angeles+Times+%281923-1995%29&amp;spage=B9&amp;date=1969-05-26&amp;atitle=College+Students+Have+a+Valid+Complaint+on+Teaching+Setup&amp;au=Moley%2C+Raymond&amp;id=doi:"
"9",1969-05-19,1969,"Failure of the Faculties","In the past two years I have, in composing these weekly pieces, hesitated to add to the torrent of comment about the campus ordeals. One reason for this restraint has been my isolation in the high tower of journalism where one sees so many and knows so few.","Moley, Raymond","156108829_1_page0.txt","./moley_lat_txt/156108829_1_page0.txt",156108829,"0458-3035","a9","https://www.proquest.com/historical-newspapers/failure-faculties/docview/156108829/se-2?accountid=14696","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=04583035&amp;volume=&amp;issue=&amp;title=Los+Angeles+Times+%281923-1995%29&amp;spage=A9&amp;date=1969-05-19&amp;atitle=Failure+of+the+Faculties&amp;au=Moley%2C+Raymond&amp;id=doi:"
"10",1969-05-12,1969,"U.S. Finance: The Bigger the Surplus, the Bigger the Debt","Americans who read only the headlines complacently believe that President Nixon's revision of the Johnson budget figures gives the government a nice surplus of receipts over expenditures for fiscal 1970. And thus that the threat of inflation may well be measurably...","Moley, Raymond","156220294_1_page0.txt","./moley_lat_txt/156220294_1_page0.txt",156220294,"0458-3035","a11","https://www.proquest.com/historical-newspapers/u-s-finance-bigger-surplus-debt/docview/156220294/se-2?accountid=14696","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=04583035&amp;volume=&amp;issue=&amp;title=Los+Angeles+Times+%281923-1995%29&amp;spage=A11&amp;date=1969-05-12&amp;atitle=U.S.+Finance%3A+The+Bigger+the+Surplus%2C+the+Bigger+the+Debt&amp;au=Moley%2C+Raymond&amp;id=doi:"
