Title,Subtitle,Author,Publication,SourceType,Publisher,Volume,Issue,PubDate,AlphaDate,StartPage,EndPage,PageRange,ISSN,EISSN,ISBN,Language,DocumentUrl,DOI
Inflation Sprints Across Canada Spurred by Lag in Productivity,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,9/11/1967,11-Sep-67,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155820592?accountid=14696&bdid=91914&_bd=Nibopk%2Bss%2BiuVg2siu5D7eW1G%2Bc%3D,
McCarthy vis-a-vis La Follette,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,2/26/1968,26-Feb-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155824553?accountid=14696&bdid=91914&_bd=lqU9GKyGFZ8IZwvuYPM4%2FMlsx9Q%3D,
Two-Party System's Future,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,11/4/1968,4-Nov-68,B7,,b7,4583035,,,ENG,https://www.proquest.com/docview/156128083?accountid=14696&bdid=91914&_bd=r5BWP7U63oVAJYK%2B3nKjm4uesgg%3D,
The Relevance of Adm. Mahan,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/2/1969,2-Jun-69,A9,,a9,4583035,,,ENG,https://www.proquest.com/docview/156303476?accountid=14696&bdid=91914&_bd=dx7vHZtsOv4xiN14PIxIbftWhQ4%3D,
Vital Salt-Water Arteries,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/9/1969,9-Jun-69,C11,,c11,4583035,,,ENG,https://www.proquest.com/docview/156202930?accountid=14696&bdid=91914&_bd=X9HFjGmbyyHiO8aSSELGGv3uHc4%3D,
GOP Pros Support Bliss,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/16/1968,16-Dec-68,B7,,b7,4583035,,,ENG,https://www.proquest.com/docview/155990746?accountid=14696&bdid=91914&_bd=7s9vzrix4MCDEiJKoz9sFNI7R9E%3D,
And If the Democrats Deadlock?,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,5/29/1968,29-May-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155882831?accountid=14696&bdid=91914&_bd=fOLPqIwmweeGcpDOpetIgkINhvw%3D,
Our Captive Presidents,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,8/14/1968,14-Aug-68,B5,,b5,4583035,,,ENG,https://www.proquest.com/docview/156017299?accountid=14696&bdid=91914&_bd=xzDN0%2FC%2F2mv6vprJvUMjxjvsg%2BY%3D,
Our Wayward Universities,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,11/6/1968,6-Nov-68,G6,,g6,4583035,,,ENG,https://www.proquest.com/docview/156019473?accountid=14696&bdid=91914&_bd=1JptRJ88FN46POGVmLOhEWeeonM%3D,
President Doesn't Rule,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,2/11/1969,11-Feb-69,A9,,a9,4583035,,,ENG,https://www.proquest.com/docview/156091677?accountid=14696&bdid=91914&_bd=dEOEC7lXpdchC9U68c2na%2FmI9OM%3D,
