"","filename","year","date","mentions","politician"
"1","batch1_31_page0.txt",1966,1966-11-21,2,"Nixon"
"2","batch1_35_page0.txt",1966,1966-10-24,5,"Nixon"
"3","batch1_3_page0.txt",1967,1967-11-27,6,"Nixon"
"4","batch1_5_page0.txt",1967,1967-10-30,2,"Nixon"
"5","batch1_63_page0.txt",1966,1966-03-14,2,"Nixon"
"6","batch1_8_page0.txt",1967,1967-09-18,4,"Nixon"
"7","batch2_101_page0.txt",1963,1963-11-11,3,"Nixon"
"8","batch2_107_page0.txt",1963,1963-09-30,6,"Nixon"
"9","batch2_124_page0.txt",1963,1963-06-03,2,"Nixon"
"10","batch2_157_page0.txt",1962,1962-10-15,5,"Nixon"
"11","batch2_172_page0.txt",1962,1962-07-02,6,"Nixon"
"12","batch2_176_page0.txt",1962,1962-06-04,10,"Nixon"
"13","batch2_184_page0.txt",1962,1962-04-02,10,"Nixon"
"14","batch2_191_page0.txt",1962,1962-02-12,5,"Nixon"
"15","batch2_194_page0.txt",1962,1962-01-22,2,"Nixon"
"16","batch2_222_page0.txt",1961,1961-07-10,18,"Nixon"
"17","batch2_248_page0.txt",1961,1961-01-09,4,"Nixon"
"18","batch2_254_page0.txt",1960,1960-11-28,16,"Nixon"
"19","batch2_256_page0.txt",1960,1960-11-14,3,"Nixon"
"20","batch2_27_page0.txt",1965,1965-04-12,7,"Nixon"
"21","batch2_46_page0.txt",1964,1964-11-30,3,"Nixon"
"22","batch2_51_page0.txt",1964,1964-10-26,7,"Nixon"
"23","batch2_63_page0.txt",1964,1964-08-03,2,"Nixon"
"24","batch2_69_page0.txt",1964,1964-06-22,2,"Nixon"
"25","batch2_72_page0.txt",1964,1964-06-01,3,"Nixon"
"26","batch3_10_page0.txt",1960,1960-09-05,8,"Nixon"
"27","batch3_13_page0.txt",1960,1960-08-15,3,"Nixon"
"28","batch3_20_page0.txt",1960,1960-06-27,3,"Nixon"
"29","batch3_21_page0.txt",1960,1960-06-20,2,"Nixon"
"30","batch3_24_page0.txt",1960,1960-05-30,4,"Nixon"
"31","batch3_25_page0.txt",1960,1960-05-23,3,"Nixon"
"32","batch3_26_page0.txt",1960,1960-05-16,5,"Nixon"
"33","batch3_27_page0.txt",1960,1960-05-09,4,"Nixon"
"34","batch3_28_page0.txt",1960,1960-05-02,4,"Nixon"
"35","batch3_40_page0.txt",1960,1960-02-08,8,"Nixon"
"36","batch3_5_page0.txt",1960,1960-10-10,5,"Nixon"
"37","batch3_64_page0.txt",1959,1959-08-17,7,"Nixon"
"38","batch4_8_page0.txt",1959,1959-06-15,2,"Nixon"
"39","batch6_103_page0.txt",1955,1955-09-19,9,"Nixon"
"40","batch6_131_page0.txt",1955,1955-02-21,4,"Nixon"
"41","batch6_15_page0.txt",1957,1957-06-10,3,"Nixon"
"42","batch6_187_page0.txt",1954,1954-01-11,5,"Nixon"
"43","batch6_77_page0.txt",1956,1956-03-26,9,"Nixon"
"44","batch7_45_page0.txt",1950,1950-11-13,2,"Nixon"
"45","batch7_57_page0.txt",1950,1950-08-28,7,"Nixon"
"46","batch7_58_page0.txt",1950,1950-08-21,9,"Nixon"
"47","batch7_76_page0.txt",1950,1950-04-17,3,"Nixon"
"48","batch1_55_page0.txt",1966,1966-05-09,2,"Goldwater"
"49","batch1_8_page0.txt",1967,1967-09-18,2,"Goldwater"
"50","batch2_101_page0.txt",1963,1963-11-11,2,"Goldwater"
"51","batch2_106_page0.txt",1963,1963-10-07,12,"Goldwater"
"52","batch2_114_page0.txt",1963,1963-08-12,4,"Goldwater"
"53","batch2_116_page0.txt",1963,1963-07-29,10,"Goldwater"
"54","batch2_117_page0.txt",1963,1963-07-22,2,"Goldwater"
"55","batch2_12_page0.txt",1965,1965-07-26,2,"Goldwater"
"56","batch2_167_page0.txt",1962,1962-08-06,2,"Goldwater"
"57","batch2_168_page0.txt",1962,1962-07-30,5,"Goldwater"
"58","batch2_188_page0.txt",1962,1962-03-05,2,"Goldwater"
"59","batch2_194_page0.txt",1962,1962-01-22,2,"Goldwater"
"60","batch2_222_page0.txt",1961,1961-07-10,2,"Goldwater"
"61","batch2_2_page0.txt",1965,1965-10-04,2,"Goldwater"
"62","batch2_39_page0.txt",1965,1965-01-18,3,"Goldwater"
"63","batch2_40_page0.txt",1965,1965-01-11,2,"Goldwater"
"64","batch2_44_page0.txt",1964,1964-12-14,2,"Goldwater"
"65","batch2_46_page0.txt",1964,1964-11-30,3,"Goldwater"
"66","batch2_48_page0.txt",1964,1964-11-16,4,"Goldwater"
"67","batch2_51_page0.txt",1964,1964-10-26,3,"Goldwater"
"68","batch2_52_page0.txt",1964,1964-10-19,4,"Goldwater"
"69","batch2_53_page0.txt",1964,1964-10-12,6,"Goldwater"
"70","batch2_56_page0.txt",1964,1964-09-21,3,"Goldwater"
"71","batch2_59_page0.txt",1964,1964-08-31,7,"Goldwater"
"72","batch2_60_page0.txt",1964,1964-08-24,8,"Goldwater"
"73","batch2_61_page0.txt",1964,1964-08-17,5,"Goldwater"
"74","batch2_63_page0.txt",1964,1964-08-03,6,"Goldwater"
"75","batch2_64_page0.txt",1964,1964-07-27,6,"Goldwater"
"76","batch2_66_page0.txt",1964,1964-07-13,4,"Goldwater"
"77","batch2_69_page0.txt",1964,1964-06-22,7,"Goldwater"
"78","batch2_72_page0.txt",1964,1964-06-01,6,"Goldwater"
"79","batch2_79_page0.txt",1964,1964-04-13,6,"Goldwater"
"80","batch2_92_page0.txt",1964,1964-01-13,4,"Goldwater"
"81","batch2_93_page0.txt",1964,1964-01-06,2,"Goldwater"
"82","batch2_99_page0.txt",1963,1963-11-25,12,"Goldwater"
"83","batch3_13_page0.txt",1960,1960-08-15,7,"Goldwater"
"84","batch3_20_page0.txt",1960,1960-06-27,2,"Goldwater"
"85","batch3_31_page0.txt",1960,1960-04-11,2,"Goldwater"
"86","batch4_44_page0.txt",1958,1958-10-13,9,"Goldwater"
"87","batch5_20_page0.txt",1958,1958-04-28,2,"Goldwater"
"88","batch5_25_page0.txt",1958,1958-03-24,5,"Goldwater"
"89","batch5_37_page0.txt",1957,1957-12-30,2,"Goldwater"
"90","batch6_24_page0.txt",1957,1957-04-08,2,"Goldwater"
"91","batch6_4_page0.txt",1957,1957-09-23,7,"Goldwater"
"92","batch1_1_page0.txt",1967,1967-12-25,2,"Roosevelt"
"93","batch1_21_page0.txt",1967,1967-02-20,2,"Roosevelt"
"94","batch1_34_page0.txt",1966,1966-10-31,2,"Roosevelt"
"95","batch1_37_page0.txt",1966,1966-10-10,2,"Roosevelt"
"96","batch1_39_page0.txt",1966,1966-08-29,7,"Roosevelt"
"97","batch1_4_page0.txt",1967,1967-11-13,2,"Roosevelt"
"98","batch2_101_page0.txt",1963,1963-11-11,3,"Roosevelt"
"99","batch2_109_page0.txt",1963,1963-09-16,3,"Roosevelt"
"100","batch2_10_page0.txt",1965,1965-08-09,2,"Roosevelt"
"101","batch2_139_page0.txt",1963,1963-02-18,3,"Roosevelt"
"102","batch2_164_page0.txt",1962,1962-08-27,3,"Roosevelt"
"103","batch2_165_page0.txt",1962,1962-08-20,2,"Roosevelt"
"104","batch2_204_page0.txt",1961,1961-11-13,2,"Roosevelt"
"105","batch2_205_page0.txt",1961,1961-11-06,2,"Roosevelt"
"106","batch2_211_page0.txt",1961,1961-09-25,2,"Roosevelt"
"107","batch2_246_page0.txt",1961,1961-01-23,2,"Roosevelt"
"108","batch2_33_page0.txt",1965,1965-03-01,6,"Roosevelt"
"109","batch2_37_page0.txt",1965,1965-02-01,6,"Roosevelt"
"110","batch2_44_page0.txt",1964,1964-12-14,2,"Roosevelt"
"111","batch2_49_page0.txt",1964,1964-11-09,2,"Roosevelt"
"112","batch2_56_page0.txt",1964,1964-09-21,2,"Roosevelt"
"113","batch2_60_page0.txt",1964,1964-08-24,5,"Roosevelt"
"114","batch2_79_page0.txt",1964,1964-04-13,2,"Roosevelt"
"115","batch2_82_page0.txt",1964,1964-03-23,4,"Roosevelt"
"116","batch2_88_page0.txt",1964,1964-02-10,3,"Roosevelt"
"117","batch2_90_page0.txt",1964,1964-01-27,2,"Roosevelt"
"118","batch2_94_page0.txt",1963,1963-12-30,2,"Roosevelt"
"119","batch2_9_page0.txt",1965,1965-08-16,4,"Roosevelt"
"120","batch5_16_page0.txt",1958,1958-05-26,2,"Roosevelt"
"121","batch5_41_page0.txt",1957,1957-12-02,2,"Roosevelt"
"122","batch6_129_page0.txt",1955,1955-03-07,6,"Roosevelt"
"123","batch6_141_page0.txt",1954,1954-12-13,4,"Roosevelt"
"124","batch6_153_page0.txt",1954,1954-09-20,2,"Roosevelt"
"125","batch6_158_page0.txt",1954,1954-08-16,8,"Roosevelt"
"126","batch6_173_page0.txt",1954,1954-04-26,6,"Roosevelt"
"127","batch6_194_page0.txt",1953,1953-11-23,3,"Roosevelt"
"128","batch6_210_page0.txt",1953,1953-08-03,2,"Roosevelt"
"129","batch6_223_page0.txt",1953,1953-05-04,2,"Roosevelt"
"130","batch6_224_page0.txt",1953,1953-04-27,3,"Roosevelt"
"131","batch6_247_page0.txt",1952,1952-11-17,2,"Roosevelt"
"132","batch6_268_page0.txt",1952,1952-06-16,2,"Roosevelt"
"133","batch6_275_page0.txt",1952,1952-04-21,2,"Roosevelt"
"134","batch6_285_page0.txt",1952,1952-02-18,2,"Roosevelt"
"135","batch6_288_page0.txt",1952,1952-01-28,3,"Roosevelt"
"136","batch6_291_page0.txt",1952,1952-01-07,5,"Roosevelt"
"137","batch6_292_page0.txt",1951,1951-12-31,2,"Roosevelt"
"138","batch6_293_page0.txt",1951,1951-12-24,3,"Roosevelt"
"139","batch6_302_page0.txt",1951,1951-10-22,2,"Roosevelt"
"140","batch6_3_page0.txt",1957,1957-09-30,8,"Roosevelt"
"141","batch6_57_page0.txt",1956,1956-08-13,2,"Roosevelt"
"142","batch6_59_page0.txt",1956,1956-07-30,2,"Roosevelt"
"143","batch7_10_page0.txt",1951,1951-07-23,3,"Roosevelt"
"144","batch7_148_page0.txt",1948,1948-11-15,3,"Roosevelt"
"145","batch7_149_page0.txt",1948,1948-10-25,2,"Roosevelt"
"146","batch7_154_page0.txt",1948,1948-09-20,4,"Roosevelt"
"147","batch7_155_page0.txt",1948,1948-09-13,10,"Roosevelt"
"148","batch7_156_page0.txt",1948,1948-09-06,6,"Roosevelt"
"149","batch7_157_page0.txt",1948,1948-08-30,5,"Roosevelt"
"150","batch7_158_page0.txt",1948,1948-08-23,7,"Roosevelt"
"151","batch7_162_page0.txt",1948,1948-07-26,3,"Roosevelt"
"152","batch7_176_page0.txt",1948,1948-04-12,3,"Roosevelt"
"153","batch7_181_page0.txt",1948,1948-03-08,2,"Roosevelt"
"154","batch7_192_page0.txt",1947,1947-12-15,2,"Roosevelt"
"155","batch7_204_page0.txt",1947,1947-09-08,2,"Roosevelt"
"156","batch7_213_page0.txt",1947,1947-06-30,4,"Roosevelt"
"157","batch7_216_page0.txt",1947,1947-06-09,3,"Roosevelt"
"158","batch7_218_page0.txt",1947,1947-05-26,2,"Roosevelt"
"159","batch7_219_page0.txt",1947,1947-05-19,3,"Roosevelt"
"160","batch7_236_page0.txt",1947,1947-01-20,4,"Roosevelt"
"161","batch7_253_page0.txt",1946,1946-09-23,3,"Roosevelt"
"162","batch7_254_page0.txt",1946,1946-09-16,3,"Roosevelt"
"163","batch7_257_page0.txt",1946,1946-08-26,3,"Roosevelt"
"164","batch7_258_page0.txt",1946,1946-08-19,2,"Roosevelt"
"165","batch7_262_page0.txt",1946,1946-07-22,2,"Roosevelt"
"166","batch7_276_page0.txt",1946,1946-04-15,3,"Roosevelt"
"167","batch7_283_page0.txt",1946,1946-02-25,2,"Roosevelt"
"168","batch7_291_page0.txt",1945,1945-12-31,3,"Roosevelt"
"169","batch7_297_page0.txt",1945,1945-11-19,3,"Roosevelt"
"170","batch7_298_page0.txt",1945,1945-11-12,2,"Roosevelt"
"171","batch7_306_page0.txt",1945,1945-09-17,2,"Roosevelt"
"172","batch7_320_page0.txt",1945,1945-06-04,2,"Roosevelt"
"173","batch7_325_page0.txt",1945,1945-04-30,4,"Roosevelt"
"174","batch7_326_page0.txt",1945,1945-04-23,11,"Roosevelt"
"175","batch7_330_page0.txt",1945,1945-03-26,2,"Roosevelt"
"176","batch7_342_page0.txt",1945,1945-01-01,2,"Roosevelt"
"177","batch7_347_page0.txt",1944,1944-11-27,2,"Roosevelt"
"178","batch7_349_page0.txt",1944,1944-11-06,3,"Roosevelt"
"179","batch7_350_page0.txt",1944,1944-10-23,6,"Roosevelt"
"180","batch7_351_page0.txt",1944,1944-10-16,2,"Roosevelt"
"181","batch7_353_page0.txt",1944,1944-10-02,2,"Roosevelt"
"182","batch7_356_page0.txt",1944,1944-09-11,2,"Roosevelt"
"183","batch7_361_page0.txt",1944,1944-08-07,3,"Roosevelt"
"184","batch7_363_page0.txt",1944,1944-07-24,5,"Roosevelt"
"185","batch7_369_page0.txt",1944,1944-06-05,2,"Roosevelt"
"186","batch7_375_page0.txt",1944,1944-04-24,2,"Roosevelt"
"187","batch7_376_page0.txt",1944,1944-04-17,3,"Roosevelt"
"188","batch7_381_page0.txt",1944,1944-03-13,2,"Roosevelt"
"189","batch7_382_page0.txt",1944,1944-03-06,2,"Roosevelt"
"190","batch7_387_page0.txt",1944,1944-01-31,2,"Roosevelt"
"191","batch7_42_page0.txt",1950,1950-12-04,2,"Roosevelt"
"192","batch7_45_page0.txt",1950,1950-11-13,2,"Roosevelt"
"193","batch7_51_page0.txt",1950,1950-10-09,2,"Roosevelt"
"194","batch7_58_page0.txt",1950,1950-08-21,4,"Roosevelt"
