"","date","Title.x","n","entryDate","year1","Title.y","Abstract","StoreId","filename1","filename"
"1",1944-06-18,"The Texas Revolt",2,"Jun 18, 1944",1944,"The Texas Revolt","There is a very notable precedent to show how powerful a weapon the Democrats of Texas and Mississippi have forged in their opposition to Washington donination. That precedent is what happened in South Dakota In 1912.",165527666,"165527666_1","165527666_1.pdf"
"2",1944-06-18,"The Texas Revolt",2,"Jun 18, 1944",1944,"The Texas Revolt","There is a very notable precedent to show how powerful a weapon the Democrats of Texas and Mississippi have forged in their opposition to Washington domination. That precedent is what happened in South Dakota in 1912.",165514797,"165514797_1","165514797_1.pdf"
"3",1945-05-08,"THE GHOSTS GO WEST",2,"May 8, 1945",1945,"THE GHOSTS GO WEST","The return to France of those ex-rulers of unhappy days, whom Pertinax called the """"gravediggers,"""" is one of the ominous signs of postwar troubles. The ghosts who have turned their faces to the west represent every shade of prewar politics and...",165616738,"165616738_1","165616738_1.pdf"
"4",1945-05-08,"THE GHOSTS GO WEST",2,"May 8, 1945",1945,"THE GHOSTS GO WEST","The return to France of those ex-rulers of unhappy days, whom Pertinax called the 'gravediggers,"""" is one of the ominous signs of postwar troubles. The ghosts who have turned their faces to the west represent every shade of prewar politics and...",165566348,"165566348_1","165566348_1.pdf"
"5",1957-07-04,"A VISION OF TRUTH'",2,"Jul 4, 1957",1957,"A VISION OF TRUTH'","Arthur Miller's lawyer had good cause to say, after the Supreme Court delivered itself of the Watkins decision, that the case fitted his client """"like a glove.""""",167186496,"167186496_1","167186496_1.pdf"
"6",1957-07-04,"A VISION OF TRUTH'",2,"Jul 4, 1957",1957,"A VISION OF TRUTH'","Arthur Miller's lawyer had good cause to say, after the Supreme Court delivered itself of the Watkins decision, that the case fitted his client """"like a glove.""""",167112773,"167112773_1","167112773_1.pdf"
"7",1957-07-23,"Enforced Unionism and Political Freedom",2,"Jul 23, 1957",1957,"Enforced Unionism and Political Freedom","When the Supreme Court returns in the autumn and resumes its work of shearing away the remaining powers and authority of the States, it may find a problem which will require considerable ingenuity to...",167120318,"167120318_1","167120318_1.pdf"
"8",1957-07-23,"Enforced Unionism and Political Freedom",2,"Jul 23, 1957",1957,"Enforced Unionism and Political Freedom","When the Supreme Court returns in the autumn and resumes its work of shearing away the remaining powers and authority of the States, it may find a problem which will require considerable ingenuity to...",167103352,"167103352_1","167103352_1.pdf"
"9",1959-02-24,"Union Local Supports Private Segregated School in Virginia",2,"Feb 24, 1959",1959,"Union Local Supports Private Segregated School in Virginia","When a citizens' committee in Front Royal, Warren County, Va., established a foundation to support a private school to maintain a segregated school, after federal court orders to integrate the...",167439871,"167439871_1","167439871_1.pdf"
"10",1959-02-24,"Union Local Supports Private Segregated School in Virginia",2,"Feb 24, 1959",1959,"Union Local Supports Private Segregated School in Virginia","When a citizens' committee in Front Royal, Warren County, Va., established a foundation to support a private school to maintain a segregated school, after federal court orders to integrate the...",167411890,"167411890_1","167411890_1.pdf"
"11",1959-03-15,"Amendment Limiting Presidential Terms to Two Has Sound Bases",2,"Mar 15, 1959",1959,"Amendment Limiting Presidential Terms to Two Has Sound Bases","I can see no reason, except making publicity, why former President Truman and others are talking about repealing the 22nd Amendment to the Constitution, which limits a President to two terms.",167442065,"167442065_1","167442065_1.pdf"
"12",1959-03-15,"Amendment Limiting Presidential Terms to Two Has Sound Bases",2,"Mar 15, 1959",1959,"Amendment Limiting Presidential Terms to Two Has Sound Bases","I can see no reason, except making publicity, why former President Truman and others are taking about repealing the 22nd Amendment to the Constitution, which limits a President to two terms.",167441839,"167441839_1","167441839_1.pdf"
"13",1968-11-06,"Our Wayward Universities",2,"Nov 6, 1968",1968,"Our Wayward Universities","  There have been many classical of the lost ideal of the university. It was the place, in a busy society pursuing multitudinous purposes, where a relatively small number of mature intellects might study, do research, think and draw to themselves young learners who might succeed their elder mentors or go out into the world with...",156069256,"156069256_1","156069256_1.pdf"
"14",1968-11-06,"Our Wayward Universities",2,"Nov 6, 1968",1968,"Our Wayward Universities","  There have been many classical depictions of the lost ideal of the university. It was the place, in a busy society pursuing multitudinous purposes, where a relatively small number of mature intellects might study, do research, think and draw to themselves young learners who might succeed their elder mentors or go out into the world with...",156019473,"156019473_1","156019473_1.pdf"
"15",1969-03-31,"The Voice of the Nation",2,"Mar 31, 1969",1969,"The Voice of the Nation","The hoodlums, hippies and the cold-blooded academic revolutionists seem to have succeeded far beyond their lurid dreams. For they have not only disrupted our great system of higher education and frustrated our college and university administrators but have seeming-...",156134247,"156134247_1","156134247_1.pdf"
"16",1969-03-31,"The Voice of the Nation",2,"Mar 31, 1969",1969,"The Voice of the Nation","The hoodlums, hippies and the cold-blooded academic revolutionists seem to have succeeded far beyond their lurid dreams. For they have not only disrupted our great system of higher education and frustrated our college and university administrators but have seeming-...",156120937,"156120937_1","156120937_1.pdf"
