year,date,title,abstract,filename
1957,1957-09-23,The Issue In Arizona: THE NEW MACHINE,"Phoenix—In 1958, Arizona will be a major center of political interest, just as Ohio was in 1950. For the campaign for the re-election of Sen. Barry Goldwater, like that of Senator Taft seven years ago, brings into sharp focus the issue between traditional conservatism and the collectivist aims of the political machines of the big unions.",batch6_4_page0.txt
1958,1958-03-24,The Test in Arizona: THE HANDICAP,"PHOENIX—This year Arizona and California will be centers of great national political interest. For in the campaigns there will be two of the most notable senators in Washington, Barry M. Goldwater and William F. Knowland—the former running for reelection, and the latter for governor.",batch5_25_page0.txt
1958,1958-10-13,The Battle in Arizona: BUSY COPE,"Phoenix—Probably the most clearcut campaign in the nation between two philosophies of government is raging in this state. The Republican candidates for the most important offices are not ""modern"" Republicans. They are conservative in the best sense of the word.",batch4_44_page0.txt
1960,1960-08-15,A Party United: GOLDWATER'S REMINDER,"THE Republican convention ended in a peace which truly passes all understanding. No one could have expected such harmony. There are few precedents in history. Even in 1860 Governor Seward, who had the prize snatched from him despite his big advantage, left Chicago believing that his party had nominated an uncouth prairie lawyer.",batch3_13_page0.txt
1962,1962-07-30,Party Unity and Strength: AUXILIARY GROUPS,Two weeks ago I commented on the new National Republican Citizens Committee and said that Senator Goldwater's objections were based upon reconcilable points of difference. I then received a friendly letter from the senator restating his disagreement.,batch2_168_page0.txt
1963,1963-07-29,Goldwater on Extremists: THE SENATOR AGREES,"GOVERNOR Rockefeller's attack upon extremists was immediately interpreted in some sections of the press as a pointed criticism of Senator Goldwater. The governor later, in response to press questioning, said that ""while I have great respect for Barry's patriotism, his dedication to political life ...",batch2_116_page0.txt
1963,1963-08-12,The Young Republicans: THE GROUPS,IN SEVERAL articles I have pointed out that the future of the Republican Party and of truly conservative principles lies with the younger generation. In the House of Representatives three or four dozen members whose ages range from 30 to 55 have shown a marked capacity to work together.,batch2_114_page0.txt
1963,1963-10-07,Goldwater's Education: RESOURCEFUL MIND,"IN THE press and in the talks which I have had with the ""anybodybut-Goldwater"" Republicans I note a sudden change in the criticisms of the Arizona senator. There is no longer a harping on the charge that he is an ""extremist."" Over the past six weeks Goldwater has in printed interviews and many press conferences stated his views on a great range of national and international issues.",batch2_106_page0.txt
1963,1963-11-25,Tamper With an Image?: ANOTHER FRONTIER,IN RECENT weeks some admirers of Sen. Barry Goldwater have been complaining that their favorite has been too free with offhand opinions on large issues. Liberal Republicans hope that these comments of his may prevent his nomination. And Democrats are using them in behalf of Mr. Kennedy's re-election.,batch2_99_page0.txt
1964,1964-01-13,Goldwater's Decision: POPULAR DEMAND,"IF BARRY GOLDWATER had the Presidency in mind twelve years ago when he left behind the pleasant life of a successful businessman and entered the arena of politics, the evidence fails to support it. There have been many perennial seekers of the Presidency in our history, and certain rituals have developed which border on superstition.",batch2_92_page0.txt
1964,1964-04-13,Goldwater's Managers: THE PRECEDENTS,"PHOENIX—During the final weeks of the wretched New Hampshire primary campaign and since, a great deal of criticism of Senator Goldwater's management and managers has been published. Politics is like baseball. If the team is leading on Sept. 1, the manager is hailed as a genius.",batch2_79_page0.txt
1964,1964-06-01,AFTER OREGON—WHAT?: ROCKEFELLER MONEY,"This department has had nothing to say about Presidential politics since the NEWSWEEK issue of April 20. There has been nothing to say beyond speculation in the context of various primaries. These meant very little except that various possibilities for the GOP nomination were striving to nominate someone other than Goldwater, the leading contender.",batch2_72_page0.txt
1964,1964-06-22,AFTER THE PRIMARIES: WHAT MAINSTREAM?,"The hysterical outcries of many politicians and pundits during the first days after the California primary were genuinely amusing. Perhaps the distemper which afflicted these people was due to their loss of faith in their own infallibility and influence. For after they had hammered Gold-water for more than two years with verbal artillery, a sufficient number of Republicans, by their primary votes and in their selection of delegates, seem to have made the nomination of the Arizona senator inevitable.",batch2_69_page0.txt
