date,author,subject,recipient,title,filename,type,notes,notes2,file,old_date
1949-09-17,Barry Goldwater,Objects to Moley's Newsweek article on the Central Arizona Project; challenges him on how the U.S. will feed a future population of 200 million,Raymond Moley,NA,NA,Letter,Earliest letter in this batch; signed as Member,,Part 2,1949-09-17
1957-01-24,Barry Goldwater,Encloses his remarks/amendment on the Civil Rights Bill regarding the right to work as a civil liberty,Raymond Moley,NA,NA,Letter,,,Part 2,1957-01-24
1957-01-28,Raymond Moley,Reports placing Goldwater's statement in his syndicated column; praises Goldwater's Senate record; expresses worry the GOP under Eisenhower will alienate western conservatives,Barry Goldwater,NA,NA,Letter,,,Part 2,1957-01-28
1957-04-11,Barry Goldwater,Thanks Moley for exposing flaws in the Gore committee report on lobbying; encloses Congressional Record pages on union political spending (Senator Schoeppel remarks),Raymond Moley,NA,NA,Letter,Enclosure: Congressional Record excerpt,,Part 2,1957-04-11
1957-05-03,Raymond Moley,Requests information on the UAW's 'Special Citizenship Fund' and 'contracting out' practices for a forthcoming Newsweek piece,Barry Goldwater,NA,NA,Letter,"Marked """"Personal""""",,Part 2,1957-05-03
1957-05-27,Barry Goldwater,Offers to send Moley a copy of the book behind an enclosed pamphlet on labor union legal immunities,Raymond Moley,NA,NA,Letter,Enclosure: American Enterprise Association pamphlet,,Part 2,1957-05-27
1957-09-23,Newsweek_Perspective_column,"Phoenix—In 1958, Arizona will be a major center of political interest, just as Ohio was in 1950. For the campaign for the re-election of Sen. Barry Goldwater, like that of Senator Taft seven years ago, brings into sharp focus the issue between traditional conservatism and the collectivist aims of the political machines of the big unions.",NA,The Issue In Arizona: THE NEW MACHINE,batch6_4_page0.txt,NA,NA,NA,NA,NA
1957-10-21,Barry Goldwater,Thanks Moley for supportive statements made in Phoenix and for a Newsweek article about his activities,Raymond Moley,NA,NA,Letter,,,Part 2,1957-10-21
1958-03-24,Newsweek_Perspective_column,"PHOENIX—This year Arizona and California will be centers of great national political interest. For in the campaigns there will be two of the most notable senators in Washington, Barry M. Goldwater and William F. Knowland—the former running for reelection, and the latter for governor.",NA,The Test in Arizona: THE HANDICAP,batch5_25_page0.txt,NA,NA,NA,NA,NA
1958-10-13,Newsweek_Perspective_column,"Phoenix—Probably the most clearcut campaign in the nation between two philosophies of government is raging in this state. The Republican candidates for the most important offices are not ""modern"" Republicans. They are conservative in the best sense of the word.",NA,The Battle in Arizona: BUSY COPE,batch4_44_page0.txt,NA,NA,NA,NA,NA
1960-04-05,Barry Goldwater,Responds to a Hazlitt column on Sylvester Petro's critique of the Landrum-Griffin labor law; argues the law is not a 'backward step' despite its limits,Raymond Moley,NA,NA,Letter,Three-page letter,,Part 2,1960-04-05
1960-04-28,Raymond Moley,Encloses charts he prepared for a speech being circulated by the Vice President (Nixon); comments that the two-party system is 'dying',Barry Goldwater,NA,NA,Letter,"Marked """"Personal""""",,Part 2,1960-04-28
1960-05-02,Barry Goldwater,Praises Moley's charts as consistent with his own message to Nixon and the GOP; predicts Nixon will be badly beaten if he runs as a 'me-tooer',Raymond Moley,NA,NA,Letter,,,Part 2,1960-05-02
1960-05-26,Raymond Moley,"Reports delivering the chart-illustrated speech in California and Phoenix; Nixon distributing 100,000 copies; also replies belatedly to Goldwater's April 5 letter on the Petro/Hazlitt article",Barry Goldwater,NA,NA,Letter,,,Part 2,1960-05-26
1960-06-21,Raymond Moley,"Apologizes for a printing error that altered a word in his Newsweek column about Goldwater; recounts a conversation with Nixon covering school construction and medical care for the aged; previews upcoming columns contrasting British Labour moderates (Gaitskell, Crosland) with American liberals",Barry Goldwater,NA,NA,Letter,Two-page letter,,Part 3,1960-06-21
1960-06-23,Barry Goldwater,Tells Moley not to worry about the changed word; suspects the error may have been intentional; criticizes declining objectivity in journalism generally; praises Moley's column on Democratic vs. Republican voter loyalty,Raymond Moley,NA,NA,Letter,,,Part 3,1960-06-23
1960-06-26,Patsy Hill Goodrich (Mrs. W. A. Goodrich Jr.),Thanks Moley for his Houston Chronicle article on Houston conservatives; requests permission to reprint it for local precinct voters,Raymond Moley,NA,NA,Letter,Third party; unrelated to Goldwater,,Part 2,1960-06-26
1960-06-29,Raymond Moley,"Grants permission to reprint his column, suggesting she also seek the Houston Chronicle's permission",Mrs. W. A. Goodrich Jr.,NA,NA,Letter,Third party; unrelated to Goldwater,,Part 2,1960-06-29
1960-06-29,Raymond Moley,"Thanks Goldwater for his June 23 letter and agreement on 'irreconcilables'; discusses Nixon's positions on the Connally amendment, school construction, and medical care; advises Goldwater to remain in the Senate as an independent conservative 'catalyst' rather than seek the Vice Presidency",Barry Goldwater,NA,NA,Letter,,,Part 3,1960-06-29
1960-08-01,Barry Goldwater (byline),"Published Newsweek reader-columnist piece, 'How to Win in '60: No Mollycoddling,' arguing the GOP must run as unapologetic conservatives",Newsweek readers,NA,NA,Enclosure/Publication,Printed Newsweek page; Goldwater as guest columnist,,Part 2,1960-08-01
1960-08-15,Newsweek_Perspective_column,"THE Republican convention ended in a peace which truly passes all understanding. No one could have expected such harmony. There are few precedents in history. Even in 1860 Governor Seward, who had the prize snatched from him despite his big advantage, left Chicago believing that his party had nominated an uncouth prairie lawyer.",NA,A Party United: GOLDWATER'S REMINDER,batch3_13_page0.txt,NA,NA,NA,NA,NA
1962-01-16,Barry Goldwater,Congratulates Moley on his article in the January 22 Newsweek,Raymond Moley,NA,NA,Telegram,Prompted Moley's Jan 19 1962 reply re: splinter parties,,Part 1,1962-01-16
1962-01-19,Raymond Moley,"Splinter parties and the two-party system; announces new book on conservative political philosophy, encloses chapter outline",Barry Goldwater,NA,NA,Letter,,,Part 1,1962-01-19
1962-07-30,Newsweek_Perspective_column,Two weeks ago I commented on the new National Republican Citizens Committee and said that Senator Goldwater's objections were based upon reconcilable points of difference. I then received a friendly letter from the senator restating his disagreement.,NA,Party Unity and Strength: AUXILIARY GROUPS,batch2_168_page0.txt,NA,NA,NA,NA,NA
1962-08-08,Raymond Moley,Encloses upcoming Newsweek piece citing Seymour Harris's book; criticizes Kennedy/Dillon economic record,Barry Goldwater,NA,NA,Letter,,,Part 1,1962-08-08
1962-08-16,Barry Goldwater,Critique of New Deal economic performance (1933-1940); objects to reliance on GNP as an economic measure,Raymond Moley,NA,NA,Letter,,,Part 1,1962-08-16
1962-09-11,Barry Goldwater,Praises Moley's column 'The GOP's Young Men',Raymond Moley,NA,NA,Letter,,,Part 1,1962-09-11
1962-09-18,Raymond Moley,"Update on paperback book sales (17,000 copies); departure for California speaking tour",Barry Goldwater,NA,NA,Letter,,,Part 1,1962-09-18
1962-10-17,Raymond Moley,Wishes Goldwater well after reported indisposition; discusses post-election direction of Republican Party and review of Moley's book in ADVANCE magazine,Barry Goldwater,NA,NA,Letter,,,Part 1,1962-10-17
1963-01-15,Raymond Moley,Plans to meet in Washington Jan 23-24; spring driving trip to Arizona with wife Frances,Barry Goldwater,NA,NA,Letter,,,Part 1,1963-01-15
1963-01-18,Barry Goldwater,Arranges meeting via secretary Mrs. Coerver during Moley's Washington visit,Raymond Moley,NA,NA,Letter,,,Part 1,1963-01-18
1963-02-07,Barry Goldwater,Thanks Moley for book on John Lincoln; recalls visiting Mrs. Lincoln at Chautauqua,Raymond Moley,NA,NA,Letter,,,Part 1,1963-02-07
1963-07-08,Raymond Moley,Introduces Richard L. Guiterman's case regarding correction of his Air Force Reserve military records,Barry Goldwater,NA,NA,Letter,"Marked """"Personal""""",,Part 1,1963-07-08
1963-07-12,Raymond Moley,Follow-up on Guiterman matter; clarifies he is not partisan in the case and does not want his friendship with Goldwater presumed upon,Barry Goldwater,NA,NA,Letter,,,Part 1,1963-07-12
1963-07-19,Barry Goldwater,"Updates on Guiterman case: called to Air Force headquarters, records to be corrected but no promotion; also praises Moley's column",Raymond Moley,NA,NA,Letter,,,Part 1,1963-07-19
1963-07-23,Carl V. Schott (Dept. of the Air Force),Guiterman's application forwarded to Air Force Board for Correction of Military Records; no decision date yet,Barry Goldwater,NA,NA,Letter,Third party (Air Force),not Moley/Goldwater but part of same file,Part 1,1963-07-23
1963-07-23,Raymond Moley,Relays quoted excerpt of Goldwater's July 19 letter regarding the records correction case,Richard L. Guiterman,NA,NA,Letter,Addressed to Guiterman,not Goldwater directly,Part 1,1963-07-23
1963-07-25,Barry Goldwater,Further update on Guiterman's case before Air Force Board for Correction of Military Records,Raymond Moley,NA,NA,Letter,,,Part 1,1963-07-25
1963-07-29,Newsweek_Perspective_column,"GOVERNOR Rockefeller's attack upon extremists was immediately interpreted in some sections of the press as a pointed criticism of Senator Goldwater. The governor later, in response to press questioning, said that ""while I have great respect for Barry's patriotism, his dedication to political life ...",NA,Goldwater on Extremists: THE SENATOR AGREES,batch2_116_page0.txt,NA,NA,NA,NA,NA
1963-08-12,Newsweek_Perspective_column,IN SEVERAL articles I have pointed out that the future of the Republican Party and of truly conservative principles lies with the younger generation. In the House of Representatives three or four dozen members whose ages range from 30 to 55 have shown a marked capacity to work together.,NA,The Young Republicans: THE GROUPS,batch2_114_page0.txt,NA,NA,NA,NA,NA
1963-08-26,Raymond Moley,Requests an autographed photo of Goldwater (and one for wife Frances) for his office 'statesmen's corner',Barry Goldwater,NA,NA,Letter,,,Part 1,1963-08-26
