docname	filename	year	pre	keyword	post
text928	batch1_13_page0.txt	1967	In February of this year a group of Americans known as the American-African Affairs Association arranged a visit to Rhodesia by three responsible observers . These were René Wormser of the New York bar , Prof . William D . Jacobs of the University of Maryland and James J . Kilpatrick of * The Richmond News Leader * . Their report , which was published May 16 in the *	National Review	* , is an account of their observations and conclusions as well as a history of British-Rhodesian relations .
text5107	batch1_78_page0.txt	1965	Help for parents is analyzed , along with a general review of the problems of higher education , in a new book , " Crisis in College Finance ? " by Roger A .	Freeman	of the Hoover Institution at Stanford University ( 243 pages . Institute for Social Science Research , Washington , D.C . $ 5 ) .
text5246	batch2_2_page0.txt	1965	New York City a considerable number of Goldwater voters will vote for John V . Lindsay for mayor . He is and has been at least a nominal Republican . Those who voted for Goldwater not only because he was the Republican candidate but because they were dedicated to his views are the concern of this article . Their problem in facing a choice is complex . They do not like Lindsay's liberal views and his affiliation with the Liberal Party . Should they vote—as a protest against both the Democrat Abraham Beame and the liberal Lindsay—for William F .	Buckley	Jr . ? Or should they vote for Lindsay because he offers a better chance to improve the government of New York City ?
text5247	batch2_2_page0.txt	1965	* *	BUCKLEY	ATTRACTIVE * *
text5249	batch2_2_page0.txt	1965	This course has certain attractions .	Buckley	is an eloquent , interesting and provocative young man . One need not subscribe to his extreme oversimplification of national issues to realize that he is reminding us of tested and tried American values which have been too generally obscured in recent years . Buckley is also an inspiration to thousands of young people who must grapple with the bitter harvest of this generation's indiscretions and errors . For that reason I am glad he is preaching his gospel in a city that has need of such a reminder . I say this despite my conviction , often publicly expressed
text5249	batch2_2_page0.txt	1965	This course has certain attractions . Buckley is an eloquent , interesting and provocative young man . One need not subscribe to his extreme oversimplification of national issues to realize that he is reminding us of tested and tried American values which have been too generally obscured in recent years .	Buckley	is also an inspiration to thousands of young people who must grapple with the bitter harvest of this generation's indiscretions and errors . For that reason I am glad he is preaching his gospel in a city that has need of such a reminder . I say this despite my conviction , often publicly expressed , that a splinter Conservative Party in New York is undesirable .
text5250	batch2_2_page0.txt	1965	Politically , New York State is sui generis among American states , largely because of the vast and variegated population of New York City and its special and peculiar interests . The conservative who lives here is compelled to accept the liberal tinge in its Republican office-holders and in its laws and customs . The Conservative Party cannot cure that , but merely contributes to the success of Democratic candidates , since	Buckley	cannot be elected .
text13587	batch2_129_page0.txt	1963		chambers of commerce	and other
text15764	batch2_166_page0.txt	1962	Labor's " How to Win " stimulated efforts by other organizations to train volunteers in practical politics . The United States	Chamber of Commerce	produced its well-known " Action Course in Practical Politics , " composed of small texts and leaders ' manuals . The latest figures show that 250,000 have taken the course in 1,800 communities under the sponsorship of local chambers and companies .
text17562	batch2_188_page0.txt	1962	The most liberal were , alphabetically : Anfuso ,	Buckley	, Celler , Friedel , Healey , Johnson of California , Karsten , Kastenmeier , Keogh , King of Utah , McCormack , McDowell , Multer , O’Hara of Michigan , Powell , Rabaut , Santangelo , Smith of Iowa , Ullman , and Wickersham—all Democrats .
text18494	batch2_203_page0.txt	1961	shortly after William F .	Buckley	Jr .
text19769	batch2_217_page0.txt	1961	Society ( 810	Dupont	Circle Building ,
text21325	batch2_234_page0.txt	1961	The perils that threaten this growth of conservatism will come , not from its liberal opposition but from those who in the name of conservatism would bring discredit by igniting passions against their neighbors , besmirching good Americans as friends and dupes of Communism , and by adopting methods of organization which should be alien in this country . One such threat is the	John Birch Society	and the utterances and activities of its founder , Robert Welch , and some of the leaders in the group . I have watched the growth of this society with the deepest regret and misgivings especially because so many sincere people have become members of it and risk their good names through association with its more radical spokesmen . Those who are devoted to sound conservative principles owe it to themselves and their true objectives to repudiate the John Birch Society and methods as I do here .
text21325	batch2_234_page0.txt	1961	and by adopting methods of organization which should be alien in this country . One such threat is the John Birch Society and the utterances and activities of its founder , Robert Welch , and some of the leaders in the group . I have watched the growth of this society with the deepest regret and misgivings especially because so many sincere people have become members of it and risk their good names through association with its more radical spokesmen . Those who are devoted to sound conservative principles owe it to themselves and their true objectives to repudiate the	John Birch Society	and methods as I do here .
