"","Year","column2","date","page","month","month_num","date2","real_page","day"
"1",1953,"Unfair and Vicious, But","",NA,NA,NA,NA,NA,NA
"2",1953,"The Incredible Dr","White",NA,"White","White",NA,NA,NA
"3",1953,"Good—by, Mr","Ruark",NA,"Ruark","Ruark",NA,NA,NA
"4",1955,"F","D",NA,"D","D",NA,NA,NA
"5",1955,"UN and the U","S",NA,"S","S",NA,NA,NA
"6",1955,"0 31: 8",NA,NA,NA,NA,NA,NA,NA
"7",1955,"","The Ford Foundation",NA,"The","The",NA,NA,NA
"8",1957,"Mear","ingless Report",NA,"ingless","ingless",NA,NA,NA
"9",1957,"Robbing Peter tp Pay","",NA,NA,NA,NA,NA,NA
"10",1957,"Visits S","C",NA,"C","C",NA,NA,NA
"11",1957,"The Leader Above All","",NA,NA,NA,NA,NA,NA
"12",1959,"Japan's Party","Politics",NA,"Politics","Politics",NA,NA,NA
"13",1957,"Announcement of upcoming Byrd articles, Ag 5: 100",NA,NA,NA,NA,NA,NA,NA
