"","filename","category","explanation"
"1","1956-08-28_166992768_1_page0.txt","other","No categories met the 3-mention threshold."
"2","1956-08-31_166992300_1_page0.txt","economy","Economy: 4 mentions of economic policy/conditions."
"3","1956-09-04_166989848_1_page0.txt","business;economy","Business: 8 mentions of companies. Economy: 4 mentions of trade/investment policy."
"4","1956-09-05_166996171_1_page0.txt","labor","Labor: 10 mentions of unions/labor organizations."
"5","1956-09-07_167016888_1_page0.txt","business;economy","Business: 3 mentions of companies/chamber of commerce. Economy: 11 mentions of trade/monetary policy."
"6","1956-09-11_167036433_1_page0.txt","economy","Economy: 13 mentions of taxes/spending/debt."
"7","1956-09-15_167014181_1_page0.txt","economy;labor","Economy: 4 mentions of prosperity/economic matters. Labor: 4 mentions of labor unions."
"8","1956-09-18_167011196_1_page0.txt","other","No categories met the 3-mention threshold."
"9","1956-09-21_167021069_1_page0.txt","labor","Labor: 6 mentions of unions/labor."
"10","1956-09-24_166996599_1_page0.txt","other","No categories met the 3-mention threshold."
"11","1956-09-26_167002293_1_page0.txt","business;labor","Business: 5 mentions of businessmen/community. Labor: 6 mentions of labor unions."
"12","1956-09-29_166981483_1_page0.txt","business;economy;labor","Business: 11 mentions of business/industry. Economy: 7 mentions of tariffs/wage differential. Labor: 10 mentions of CIO/workers."
"13","1956-10-02_167003681_1_page0.txt","other","No categories met the 3-mention threshold."
"14","1956-10-04_167015295_1_page0.txt","other","No categories met the 3-mention threshold."
"15","1956-10-06_166998763_1_page0.txt","labor","Labor: 3 mentions of AFL CIO/labor."
"16","1956-10-08_167016859_1_page0.txt","economy","Economy: 4 mentions of appropriations/taxpayers."
"17","1956-10-09_167023665_1_page0.txt","business","Business: 10 mentions of industries/business."
"18","1956-10-12_166981548_1_page0.txt","other","No categories met the 3-mention threshold."
"19","1956-10-13_167046648_1_page0.txt","other","No categories met the 3-mention threshold."
"20","1956-10-16_167027617_1_page0.txt","labor","Labor: 3 mentions of CIO/AFL."
"21","1956-10-18_167040314_1_page0.txt","business","Business: 3 mentions of foundation/trust."
"22","1956-10-20_167038525_1_page0.txt","other","No categories met the 3-mention threshold."
"23","1956-10-23_167022818_1_page0.txt","business;economy;labor","Business: 6 mentions of business/industry. Economy: 3 mentions of trade/economic. Labor: 3 mentions of labor/workers."
"24","1956-10-27_167015426_1_page0.txt","other","No categories met the 3-mention threshold."
"25","1956-10-31_167008470_1_page0.txt","business;labor","Business: 9 mentions of corporations/private enterprise. Labor: 10 mentions of unions/UAW."
"26","1956-11-02_167062796_1_page0.txt","economy","Economy: 13 mentions of trade/credit/money/inflation/recession."
"27","1956-11-06_167070736_1_page0.txt","other","No categories met the 3-mention threshold."
"28","1956-11-09_167008316_1_page0.txt","other","No categories met the 3-mention threshold."
"29","1956-11-10_166980142_1_page0.txt","other","No categories met the 3-mention threshold."
"30","1956-11-13_167052081_1_page0.txt","other","No categories met the 3-mention threshold."
"31","1956-11-17_167080687_1_page0.txt","other","No categories met the 3-mention threshold."
"32","1956-11-20_167074206_1_page0.txt","business;labor","Business: 5 mentions of business/industry. Labor: 5 mentions of unionism/labor."
"33","1956-11-22_167062881_1_page0.txt","labor","Labor: 9 mentions of unions/CIO/AFL."
"34","1956-11-23_167025776_1_page0.txt","other","No categories met the 3-mention threshold."
"35","1956-11-27_167054824_1_page0.txt","business;economy","Business: 4 mentions of companies/investors. Economy: 4 mentions of financing/money/taxpayers."
"36","1956-11-29_167015571_1_page0.txt","economy;labor","Economy: 21 mentions of taxpayers/spending/revenue/inflation. Labor: 3 mentions of unions/labor."
"37","1956-11-30_167046802_1_page0.txt","business;economy","Business: 8 mentions of business/private enterprise. Economy: 4 mentions of economy/cost/taxpayer."
"38","1956-12-07_167005914_1_page0.txt","business;labor","Business: 9 mentions of corporations/trade associations. Labor: 10 mentions of unions/UAW."
"39","1956-12-12_167107864_1_page0.txt","other","No categories met the 3-mention threshold."
"40","1956-12-14_166991089_1_page0.txt","other","No categories met the 3-mention threshold."
"41","1956-12-18_167049731_1_page0.txt","economy;labor","Economy: 13 mentions of income/prosperity/unemployment. Labor: 3 mentions of AFL CIO/labor statistics."
"42","1956-12-20_167045451_1_page0.txt","other","No categories met the 3-mention threshold."
"43","1956-12-22_167097904_1_page0.txt","other","No categories met the 3-mention threshold."
"44","1956-12-26_167013872_1_page0.txt","labor","Labor: 4 mentions of workers."
"45","1956-12-27_166981449_1_page0.txt","other","No categories met the 3-mention threshold."
