"","filename","category","explanation"
"1","1956-01-04_166874618_1_page0.txt","economy","4 economic forecasts, 3 GDP mentions"
"2","1956-01-05_166899746_1_page0.txt","economy","2 consumer installment credit, 3 Federal Reserve mentions"
"3","1956-01-10_166876075_1_page0.txt","economy","3 installment credit, 1 Federal Reserve Board, 2 economic situations"
"4","1956-01-13_166912641_1_page0.txt","labor classification","2 labor bosses, 1 Walter Reuther, 1 union membership, 1 agriculture (policy)"
"5","1956-01-18_166873052_1_page0.txt","other","No categories met the 2-mention threshold."
"6","1956-01-19_166874249_1_page0.txt","other","No categories met the 2-mention threshold."
"7","1956-01-27_166884915_1_page0.txt","labor classification","3 CIO-PAC mentions, 1 labor victories, 1 labor statesmen"
"8","1956-01-31_166876244_1_page0.txt","economy","2 economical mentions, 1 taxpayers"
"9","1956-02-02_166888107_1_page0.txt","business","3 Idaho Power Co., 1 private enterprise, 1 construction firm"
"10","1956-02-07_166907655_1_page0.txt","economy","3 federal aid, 1 tax resources, 1 federal funds, 1 relative income"
"11","1956-02-10_166881514_1_page0.txt","other","No categories met the 2-mention threshold."
"12","1956-02-16_166896688_1_page0.txt","other","No categories met the 2-mention threshold."
"13","1956-02-17_166922034_1_page0.txt","business;economy","3 aluminum industry, 3 companies, 2 economic factors"
"14","1956-02-21_166906514_1_page0.txt","other","No categories met the 2-mention threshold."
"15","1956-02-28_166911519_1_page0.txt","economy","2 financial doubts, 2 revenues, 1 farmers could pay, 1 increase production"
"16","1956-03-01_166888260_1_page0.txt","business","3 business administration, 2 consumer behavior, 1 marketing experts"
"17","1956-03-07_166905237_1_page0.txt","other","No categories met the 2-mention threshold."
"18","1956-03-09_166917090_1_page0.txt","other","No categories met the 2-mention threshold."
"19","1956-03-15_166889978_1_page0.txt","business","3 big business, 2 small businesses, 2 department of commerce"
"20","1956-03-16_166891660_1_page0.txt","business","2 public power vs private power, 1 Idaho Power Co."
"21","1956-03-20_166937059_1_page0.txt","business","3 antitrust laws, 1 General Motors, 1 Bethlehem Steel, 1 Youngstown Sheet & Tube"
"22","1956-03-26_166904773_1_page0.txt","economy","3 national economy, 1 national product, 1 farm gross national product"
"23","1956-03-27_166923452_1_page0.txt","business;labor classification","3 unions, 2 strike, 2 Westinghouse, 1 economy"
"24","1956-03-29_166909981_1_page0.txt","other","No categories met the 2-mention threshold."
"25","1956-04-03_166935666_1_page0.txt","labor classification","4 union shop, 2 union membership, 2 right-to-work"
"26","1956-04-10_166951384_1_page0.txt","other","No categories met the 2-mention threshold."
"27","1956-04-13_166915845_1_page0.txt","labor classification","4 labor leaders, 1 AFL, 1 CIO"
"28","1956-04-17_166910108_1_page0.txt","other","No categories met the 2-mention threshold."
"29","1956-04-19_166931315_1_page0.txt","other","No categories met the 2-mention threshold."
"30","1956-04-25_166936535_1_page0.txt","other","No categories met the 2-mention threshold."
"31","1956-05-04_166942067_1_page0.txt","economy","3 spending, 2 tax cuts, 2 fiscal year"
"32","1956-05-08_166912917_1_page0.txt","business","4 insurance companies, 3 atomic power, 1 civilian industry"
"33","1956-05-15_166921781_1_page0.txt","economy","2 social security, 2 unfunded accrued liability, 1 financial"
"34","1956-05-18_166972318_1_page0.txt","labor classification","2 Walter, Victor and Roy Reuther, 1 thousand of workers, 1 corral obedient congressmen"
"35","1956-05-23_166967752_1_page0.txt","economy","3 hidden debt, 2 public debt, 1 unfunded accrued liability, 1 taxpayers"
"36","1956-05-24_166952012_1_page0.txt","other","No categories met the 2-mention threshold."
"37","1956-05-29_166942378_1_page0.txt","labor classification","5 union, 3 compulsory unionism, 2 right-to-work laws"
"38","1956-05-31_166955164_1_page0.txt","other","No categories met the 2-mention threshold."
"39","1956-06-06_166953689_1_page0.txt","labor classification","2 organized labor, 1 labor policies, 1 business leaders (political contributions)"
"40","1956-06-07_166972889_1_page0.txt","economy","4 Reconstruction Finance Corp (RFC), 3 credit, 2 banks, 2 government credit"
"41","1956-06-12_166965487_1_page0.txt","labor classification","4 Committee on Political Education (COPE), 1 labor unions, 1 rank and file of labor"
"42","1956-06-13_166981229_1_page0.txt","economy","2 public money, 1 housing units, 1 housing act, 1 general welfare"
"43","1956-06-14_166942731_1_page0.txt","labor classification","2 American Labor Party, 1 union"
"44","1956-06-19_166927499_1_page0.txt","business","2 Idaho Power Co., 1 private investors money, 1 competition, 1 coal industry"
"45","1956-06-21_166961475_1_page0.txt","other","No categories met the 2-mention threshold."
"46","1956-06-26_166936987_1_page0.txt","other","No categories met the 2-mention threshold."
"47","1956-07-02_166987194_1_page0.txt","economy;labor classification","2 AFL-CIO, 1 labor, 4 economic policy/issues, 2 easy credit, 2 minimum wage, 2 housing, 2 education, 2 resource development, 2 social security, 2 health insurance, 2 agricultural program, 2 price supports, 2 cheap credit, 2 food allotment, 2 private monopoly (power), 2 right-to-work laws"
"48","1956-07-03_166977307_1_page0.txt","labor classification","2 AFL and CIO, 2 union, 1 labor leaders, 1 labor movement"
"49","1956-07-05_166973311_1_page0.txt","other","No categories met the 2-mention threshold."
"50","1956-07-11_166959354_1_page0.txt","business;economy","3 economy, 3 business, 2 government spending, 2 monetary policy, 2 tax reduction, 1 unemployment"
"51","1956-07-17_166984053_1_page0.txt","labor classification","2 AFL-CIO, 2 socialist (preemption), 1 union"
"52","1956-07-20_166968775_1_page0.txt","business;labor classification","8 businessmen/business, 2 salesmanship, 2 labor movement"
"53","1956-07-25_166961624_1_page0.txt","economy;labor classification","2 tariff, 2 free trade, 2 international trade, 2 AFL, 2 CIO, 2 unions"
"54","1956-07-26_166959488_1_page0.txt","labor classification","2 labor union, 2 organized labor, 1 manpower, 1 union workers"
"55","1956-07-30_166962149_1_page0.txt","economy","2 federal aid, 2 federal money, 1 subsidies, 1 federal expenditures"
"56","1956-08-07_166977911_1_page0.txt","other","No categories met the 2-mention threshold."
"57","1956-08-09_167000759_1_page0.txt","labor classification","2 bosses of political labor, 1 Ed Crump"
"58","1956-08-11_166987545_1_page0.txt","economy","3 spending, 2 taxes, 2 fiscal year, 1 appropriations, 1 soil bank, 1 highway program, 1 social security, 1 tax money"
"59","1956-08-14_166967202_1_page0.txt","labor classification","2 labor, 1 political arms of labor"
"60","1956-08-17_166972775_1_page0.txt","other","No categories met the 2-mention threshold."
"61","1956-08-20_167030467_1_page0.txt","other","No categories met the 2-mention threshold."
"62","1956-08-21_167026995_1_page0.txt","labor classification","4 labor, 4 AFL-CIO Committee on Political Education (COPE), 2 union"
"63","1956-08-22_167024006_1_page0.txt","labor classification","4 labor unions, 4 AFL-CIO Committee on Political Education (COPE)"
"64","1956-08-28_166992768_1_page0.txt","other","No categories met the 2-mention threshold."
"65","1956-08-31_166992300_1_page0.txt","economy","2 free economy, 2 farmers, 2 labor relations, 2 business cycle"
"66","1956-09-04_166989848_1_page0.txt","business;economy","4 American oil companies, 2 property, 2 international contract, 1 private aid"
"67","1956-09-05_166996171_1_page0.txt","labor classification","6 AFL-CIO, 2 union, 2 labor people, 2 labor leader"
