"","filename","category","explanation"
"1","1956-01-04_166874618_1_page0.txt","economy","Gross national product and Agriculture mentioned multiple times."
"2","1956-01-05_166899746_1_page0.txt","economy","Mentions consumer installment credit and the Federal Reserve."
"3","1956-01-10_166876075_1_page0.txt","economy;politics","Mentions installment credit, a presidential year, and candidates."
"4","1956-01-13_166912641_1_page0.txt","politics;LABOR","Mentions political parties, candidates, and labor bosses blocking nominations."
"5","1956-01-18_166873052_1_page0.txt","other",NA
"6","1956-01-19_166874249_1_page0.txt","other",NA
"7","1956-01-27_166884915_1_page0.txt","politics;LABOR","Mentions the 1956 election, the CIO-PAC, and labor party administration."
"8","1956-01-31_166876244_1_page0.txt","politics","Mentions the nomination, candidates, and political parties."
"9","1956-02-02_166888107_1_page0.txt","politics","Mentions the issue in Congress and Democratic politicians."
"10","1956-02-07_166907655_1_page0.txt","other",NA
"11","1956-02-10_166881514_1_page0.txt","politics","Discusses primary contests, potential candidates, and convention tactics."
"12","1956-02-16_166896688_1_page0.txt","other",NA
"13","1956-02-17_166922034_1_page0.txt","business","Mentions aluminum industry investments and production patterns."
"14","1956-02-21_166906514_1_page0.txt","politics","Discusses attacks on a president, a vice-presidential candidate, and the democratic party"
"15","1956-02-28_166911519_1_page0.txt","other",NA
"16","1956-03-01_166888260_1_page0.txt","business","Mentions the Ford Foundation, business administration, and marketing experiments."
"17","1956-03-07_166905237_1_page0.txt","politics","Discusses potential candidates, state chairmen, and the election."
"18","1956-03-09_166917090_1_page0.txt","politics","Discusses traditions, candidates, and the political party."
"19","1956-03-15_166889978_1_page0.txt","business;politics","Discusses big business, small business, and democratic politicians."
"20","1956-03-16_166891660_1_page0.txt","politics","Mentions a secretary, candidates, and political parties."
"21","1956-03-20_166937059_1_page0.txt","business","Mentions antitrust law and corporation size."
"22","1956-03-26_166904773_1_page0.txt","economy;politics","Farm statistics, presidential campaigns and politicians mentioned several times."
"23","1956-03-27_166923452_1_page0.txt","LABOR","Mentions a strike, unions, and a new federation."
"24","1956-03-29_166909981_1_page0.txt","politics","Discusses electing the president, vice president, and politicians resist efforts."
"25","1956-04-03_166935666_1_page0.txt","LABOR","Mentions the union shop and railway labor act"
"26","1956-04-10_166951384_1_page0.txt","other",NA
"27","1956-04-13_166915845_1_page0.txt","politics;LABOR","Mentions political wisemen in the labor movement and labor leaders in politics."
"28","1956-04-17_166910108_1_page0.txt","other",NA
"29","1956-04-19_166931315_1_page0.txt","politics","Discusses primary votes, elections, and seasoned politicians."
"30","1956-04-25_166936535_1_page0.txt","politics","Mentions democratic leaders and a presidents health."
"31","1956-05-04_166942067_1_page0.txt","economy;politics","Expensive programs, a presidential election, and record tax payments."
"32","1956-05-08_166912917_1_page0.txt","business","Insurance companies, potential danger of the new generation of power, Electric company is mentioned."
"33","1956-05-15_166921781_1_page0.txt","economy","Mentions OAS and the amount that the government would owe."
"34","1956-05-18_166972318_1_page0.txt","politics","Mentioned president, democratic statement and  voters."
"35","1956-05-23_166967752_1_page0.txt","economy","Mentions debts, taxpayers and the federal government."
"36","1956-05-24_166952012_1_page0.txt","other",NA
"37","1956-05-29_166942378_1_page0.txt","LABOR;politics","Mentions organized labor to elect a Congressmen and senators and election year."
"38","1956-05-31_166955164_1_page0.txt","other",NA
"39","1956-06-06_166953689_1_page0.txt","politics","Mentions the election of senator, and candidates."
"40","1956-06-07_166972889_1_page0.txt","business","Mentions loan to business and to railroads."
"41","1956-06-12_166965487_1_page0.txt","politics","Mentions candidates and Republican and Democratic district"
"42","1956-06-13_166981229_1_page0.txt","other",NA
"43","1956-06-14_166942731_1_page0.txt","politics","Mentioned leader of tammany hall, and democratic national committee."
"44","1956-06-19_166927499_1_page0.txt","politics","Talked about politicians and election."
"45","1956-06-21_166961475_1_page0.txt","politics","Partisan source is charging, presidents and doctors is political propaganda."
"46","1956-06-26_166936987_1_page0.txt","politics","Discusses the Democratic National Committee, the presidential campaign, and candidates."
"47","1956-07-02_166987194_1_page0.txt","politics;LABOR","The democratic party is mentioned several times and AFL-CIO are pushing."
"48","1956-07-03_166977307_1_page0.txt","politics;LABOR","AFL-CIO, and Union leaders are mentioned with respect to candidates"
"49","1956-07-05_166973311_1_page0.txt","politics","Congress and powell amendment mentioned several times"
"50","1956-07-11_166959354_1_page0.txt","economy;politics","Secretary, and  Humphrey said in economic term."
"51","1956-07-17_166984053_1_page0.txt","politics","There is a discussion about states edition laws."
"52","1956-07-20_166968775_1_page0.txt","politics;business","Candidates for the democratic nomination mentioned, also talking about businessmen."
"53","1956-07-25_166961624_1_page0.txt","LABOR;business","Mention labor, and business  is very important."
"54","1956-07-26_166959488_1_page0.txt","politics","The article mention election with a  potential senate."
"55","1956-07-30_166962149_1_page0.txt","economy;politics","Senate and millions discussed"
"56","1956-08-07_166977911_1_page0.txt","politics","Discusses an election, pollsters, and candidate health."
"57","1956-08-09_166917090_1_page0.txt","politics","Nomination, candidate  and politician are mentioned."
"58","1956-08-11_166987545_1_page0.txt","economy;politics","Congress, administration and taxpayers mentioned several times."
"59","1956-08-14_166967202_1_page0.txt","politics","Talked about election, Catholic vote and candidates."
"60","1956-08-17_166972775_1_page0.txt","politics","Candidate, voters mentioned several times."
"61","1956-08-20_167030467_1_page0.txt","politics","Mentions parties and the election."
"62","1956-08-21_166967752_1_page0.txt","LABOR;politics","Mention polticial elections several times also union power."
"63","1956-08-22_167024006_1_page0.txt","politics","Mention election to senator and democratic national committee."
"64","1956-08-28_166992768_1_page0.txt","politics","Mention a president and his  running mate by an overwhelming support."
"65","1956-08-31_166992300_1_page0.txt","politics","Mentioned president and election to come and congress is involved."
"66","1956-09-04_166989848_1_page0.txt","politics","The great issue in this matter it is the violation of the international convention of 1888 which is about politics and policy"
"67","1956-09-05_166996171_1_page0.txt","LABOR;politics","Discussion about Union target Congress."
"68","1956-09-07_167005237_1_page0.txt","politics","Mentioned political party and candidates."
"69","1956-09-11_167036433_1_page0.txt","economy;politics","1 billions dollars mentioned and also congress is involved."
"70","1956-09-15_167014181_1_page0.txt","politics;LABOR","The name eisonhower and mention labor union in politics."
"71","1956-09-18_167011196_1_page0.txt","politics","It is all related to party and election."
"72","1956-09-21_166927499_1_page0.txt","economy;politics","Mentioned the farm politics and president"
"73","1956-09-24_166996599_1_page0.txt","politics","The reaction of republican and it also mention the  candidates"
"74","1956-09-26_167002293_1_page0.txt","politics;LABOR","labor unions has a lot of role in election."
"75","1956-09-29_166909981_1_page0.txt","politics","Congress and White house  and all are for this proposition"
"76","1956-10-02_167003681_1_page0.txt","politics","Presidents appeal."
"77","1956-10-04_167015295_1_page0.txt","politics","It is a campaign issue about president health."
"78","1956-10-06_166998763_1_page0.txt","politics","In this campaign, there  are lots to lose for president and the economy ."
"79","1956-10-08_167016859_1_page0.txt","politics","Candidate adlal stevenson's policy mentined."
"80","1956-10-09_167023665_1_page0.txt","politics","Election a republican, the president."
"81","1956-10-12_166981548_1_page0.txt","politics","President decision making."
"82","1956-10-13_167046648_1_page0.txt","voter_turnout;politics","Vote that they prefer and election"
"83","1956-10-16_167027617_1_page0.txt","politics","Many state elections mentined."
"84","1956-10-18_167040314_1_page0.txt","politics","Republicans party mention, candidiate it is mostly a  political letter"
"85","1956-10-20_167038525_1_page0.txt","politics","Discussion to gain more, if the is election, candidates"
"86","1956-10-23_167022818_1_page0.txt","politics","To influence the public with action is a vote."
"87","1956-10-27_167015426_1_page0.txt","politics","Senate voting"
"88","1956-10-31_167008470_1_page0.txt","LABOR;politics","There is arestriction about activities."
"89","1956-11-02_167062796_1_page0.txt","politics","Candidate and elction time mentioned several times."
"90","1956-11-06_167070736_1_page0.txt","politics","Most the article it is to promote the the candidates before the action start."
"91","1956-11-09_167008316_1_page0.txt","politics","The present event about the soviet empire crumbled with history lesson."
"92","1956-11-10_166980142_1_page0.txt","politics","The lesson it is about after an election  and to make the president  to be more stronger"
"93","1956-11-13_167052081_1_page0.txt","politics","Mention the election result after a  loss to  the president"
"94","1956-11-17_167080687_1_page0.txt","business","There are several business  , they make and see."
"95","1956-11-20_167074206_1_page0.txt","politics","It is party affiliation, candidate to president in all the matter."
"96","1956-11-22_167062881_1_page0.txt","LABOR;politics","Union people and they labor."
"97","1956-11-23_167025776_1_page0.txt","politics","Election year  for all kind of the news.."
"98","1956-11-27_167054824_1_page0.txt","politics","In this story it is the plan of the election that will change to be effective"
"99","1956-11-29_167015571_1_page0.txt","economy;politics","All the expense are more to spent for taxes , to make the election to be more expensive ."
"100","1956-11-30_167046802_1_page0.txt","business","The story is business, if  all this activity will give to the better job"
"101","1956-12-07_167005914_1_page0.txt","LABOR","Mentions violation from the part  time"
"102","1956-12-12_167107864_1_page0.txt","voter_turnout","People did not show for the election"
"103","1956-12-14_166991089_1_page0.txt","politics","The power  the make the election is a story."
"104","1956-12-18_167049731_1_page0.txt","economy","What could  get from new trade"
"105","1956-12-20_167045451_1_page0.txt","voter_turnout","Voters make election , not to easy to make the situation be better for  each voters."
"106","1956-12-22_167097904_1_page0.txt","politics","Candidate the election come by and to make every thing easy."
"107","1956-12-26_167013872_1_page0.txt","LABOR","The workers who has more value."
"108","1956-12-27_166981449_1_page0.txt","politics","Science in a political position."
