"","filename","category","explanation"
"1","1956-01-04_166874618_1_page0.txt","other",NA
"2","1956-01-05_166899746_1_page0.txt","other",NA
"3","1956-01-10_166876075_1_page0.txt","politics","3 mentions of presidential year, candidate, and party"
"4","1956-01-13_166912641_1_page0.txt","politics","Multiple mentions of candidate, party, nomination, primary, and political campaigns"
"5","1956-01-18_166873052_1_page0.txt","other",NA
"6","1956-01-19_166874249_1_page0.txt","other",NA
"7","1956-01-27_166884915_1_page0.txt","politics","Multiple mentions of election, candidacy, political party, ballots, and votes"
"8","1956-01-31_166876244_1_page0.txt","politics","Multiple mentions of nomination, candidates, political party, election, and campaigns"
"9","1956-02-02_166888107_1_page0.txt","politics","3 mentions of elections, voters, and political warfare"
"10","1956-02-07_166907655_1_page0.txt","other",NA
"11","1956-02-10_166881514_1_page0.txt","politics","Multiple mentions of nomination, candidate, primary, campaign, and political party"
"12","1956-02-16_166896688_1_page0.txt","other",NA
"13","1956-02-17_166922034_1_page0.txt","other",NA
"14","1956-02-21_166906514_1_page0.txt","politics","Multiple mentions of candidate, president, election, campaign, and political party"
"15","1956-02-28_166911519_1_page0.txt","politics","3 mentions of seeking votes, president, and politicians"
"16","1956-03-01_166888260_1_page0.txt","other",NA
"17","1956-03-07_166905237_1_page0.txt","politics","Multiple mentions of candidate, nomination, polls, election, and political strategies"
"18","1956-03-09_166917090_1_page0.txt","politics","Multiple mentions of nomination, candidate, election, polls, and political party"
"19","1956-03-15_166889978_1_page0.txt","politics","3 mentions of votes, candidates, political party, and election campaigns"
"20","1956-03-16_166891660_1_page0.txt","politics","Multiple mentions of candidate, campaign, election, and political party"
"21","1956-03-20_166937059_1_page0.txt","other",NA
"22","1956-03-26_166904773_1_page0.txt","politics","3 mentions of primary campaigns, candidates, votes, and politicians"
"23","1956-03-27_166923452_1_page0.txt","other",NA
"24","1956-03-29_166909981_1_page0.txt","politics","Multiple mentions of electing, president, vice president, votes, and political party"
"25","1956-04-03_166935666_1_page0.txt","other",NA
"26","1956-04-10_166951384_1_page0.txt","other",NA
"27","1956-04-13_166915845_1_page0.txt","politics","Multiple mentions of political, candidates, nomination, primary, and campaign"
"28","1956-04-17_166910108_1_page0.txt","politics","3 mentions of politics, senators, congressmen, and party"
"29","1956-04-19_166931315_1_page0.txt","politics","Multiple mentions of vote, election, primary, republican, and democratic"
"30","1956-04-25_166936535_1_page0.txt","politics","3 mentions of political, president, and party"
"31","1956-05-04_166942067_1_page0.txt","politics","Multiple mentions of elections, parties, votes, politicians, and political strategy"
"32","1956-05-08_166912917_1_page0.txt","other",NA
