"","filename","category","explanation"
"1","1956-01-04_166874618_1_page0.txt","other",NA
"2","1956-01-05_166899746_1_page0.txt","other",NA
"3","1956-01-10_166876075_1_page0.txt","politics","3 mentions of presidential year; 1 candidate mention"
"4","1956-01-13_166912641_1_page0.txt","politics","4 mentions of candidate; 3 mentions of party; 1 mention of primary"
"5","1956-01-18_166873052_1_page0.txt","other",NA
"6","1956-01-19_166874249_1_page0.txt","other",NA
"7","1956-01-27_166884915_1_page0.txt","politics","3 mentions of election; 4 mentions of political; 2 mentions of votes"
"8","1956-01-31_166876244_1_page0.txt","politics","6 mentions of candidate; 3 mentions of campaign; 2 mentions of election"
"9","1956-02-02_166888107_1_page0.txt","politics","2 mentions of election; 1 mention of voters; 1 mention of political"
"10","1956-02-07_166907655_1_page0.txt","politics","2 mentions of politics/politically"
"11","1956-02-10_166881514_1_page0.txt","politics","4 mentions of kefauver; 3 mentions of nixon; 2 mentions of nomination"
"12","1956-02-16_166896688_1_page0.txt","other",NA
"13","1956-02-17_166922034_1_page0.txt","politics","1 mention of politicians; 1 mention of political life"
"14","1956-02-21_166906514_1_page0.txt","politics","2 mentions of candidate; 1 mention of election; 1 mention of president"
"15","1956-02-28_166911519_1_page0.txt","other",NA
"16","1956-03-01_166888260_1_page0.txt","other",NA
"17","1956-03-07_166905237_1_page0.txt","politics","9 mentions of nixon; 7 mentions of candidate; 3 mentions of nomination"
"18","1956-03-09_166917090_1_page0.txt","politics","8 mentions of nixon; 5 mentions of president; 5 mentions of nomination"
"19","1956-03-15_166889978_1_page0.txt","politics","2 mentions of votes; 2 mentions of politicians; 1 mention of candidates"
"20","1956-03-16_166891660_1_page0.txt","politics","4 mentions of mckay; 3 mentions of campaigner; 3 mentions of morse"
"21","1956-03-20_166937059_1_page0.txt","other",NA
"22","1956-03-26_166904773_1_page0.txt","politics","1 mention of presidential primary campaigns; 1 mention of candidates; 1 mention of votes"
"23","1956-03-27_166923452_1_page0.txt","other",NA
"24","1956-03-29_166909981_1_page0.txt","politics","5 mentions of vote; 2 mentions of electing; 3 mentions of party"
"25","1956-04-03_166935666_1_page0.txt","other",NA
"26","1956-04-10_166951384_1_page0.txt","politics","2 mentions of political parties"
"27","1956-04-13_166915845_1_page0.txt","politics","4 mentions of candidate; 3 mentions of harriman; 2 mentions of stevenson"
"28","1956-04-17_166910108_1_page0.txt","politics","1 mention of politics; 1 mention of party; 1 mention of presidency"
"29","1956-04-19_166931315_1_page0.txt","politics","13 mentions of vote; 3 mentions of eisenhower; 2 mentions of primary votes"
