"","filename","category","explanation"
"1","1956-01-04_166874618_1_page0.txt","other",NA
"2","1956-01-05_166899746_1_page0.txt","other",NA
"3","1956-01-10_166876075_1_page0.txt","other",NA
"4","1956-01-13_166912641_1_page0.txt","other",NA
"5","1956-01-18_166873052_1_page0.txt","other",NA
"6","1956-01-19_166874249_1_page0.txt","other",NA
"7","1956-01-27_166884915_1_page0.txt","voter_turnout","6 mentions of specific voter participation, get-out-the-vote efforts"
"8","1956-01-31_166876244_1_page0.txt","voter_turnout","3 mentions of voter participation and turnout levels"
"9","1956-02-02_166888107_1_page0.txt","other",NA
"10","1956-02-07_166907655_1_page0.txt","other",NA
"11","1956-02-10_166881514_1_page0.txt","other",NA
"12","1956-02-16_166896688_1_page0.txt","other",NA
"13","1956-02-17_166922034_1_page0.txt","other",NA
"14","1956-02-21_166906514_1_page0.txt","other",NA
"15","1956-02-28_166911519_1_page0.txt","other",NA
"16","1956-03-01_166888260_1_page0.txt","other",NA
"17","1956-03-07_166905237_1_page0.txt","voter_turnout","3 mentions of specific details about voter participation"
"18","1956-03-09_166917090_1_page0.txt","voter_turnout","3 mentions of specific details about voter participation"
"19","1956-03-15_166889978_1_page0.txt","other",NA
"20","1956-03-16_166891660_1_page0.txt","other",NA
"21","1956-03-20_166937059_1_page0.txt","other",NA
"22","1956-03-26_166904773_1_page0.txt","other",NA
"23","1956-03-27_166923452_1_page0.txt","other",NA
"24","1956-03-29_166909981_1_page0.txt","voter_turnout","3 mentions of specific details about voter participation"
"25","1956-04-03_166935666_1_page0.txt","other",NA
"26","1956-04-10_166951384_1_page0.txt","other",NA
"27","1956-04-13_166915845_1_page0.txt","other",NA
"28","1956-04-17_166910108_1_page0.txt","other",NA
"29","1956-04-19_166931315_1_page0.txt","voter_turnout","13 mentions of specific voter participation and turnout rates"
"30","1956-04-25_166936535_1_page0.txt","other",NA
"31","1956-05-04_166942067_1_page0.txt","other",NA
"32","1956-05-08_166912917_1_page0.txt","other",NA
"33","1956-05-15_166921781_1_page0.txt","other",NA
"34","1956-05-18_166972318_1_page0.txt","voter_turnout","5 mentions of turnout rates and efforts to get people to vote"
"35","1956-05-23_166967752_1_page0.txt","other",NA
"36","1956-05-24_166952012_1_page0.txt","other",NA
"37","1956-05-29_166942378_1_page0.txt","voter_turnout","3 mentions of efforts to get people to vote"
"38","1956-05-31_166955164_1_page0.txt","other",NA
"39","1956-06-06_166953689_1_page0.txt","voter_turnout","3 mentions of specific voter participation and voter appeal"
"40","1956-06-07_166972889_1_page0.txt","other",NA
