changed_july24,jan7_category1,jan7_category2,july24_category1,july24_category2,changed_oct20,Oct20_category1,Oct20_category2,july24_correct,july24_human_comments,filename,oct_20explanation,july24_explanation,jan7_explanation
same,economy,NA,economy,NA,same,economy,NA,YES,,1956-01-04_166874618_1_page0.txt,Gross national product and Agriculture mentioned multiple times.,economic forecasts filled the mail;final economic problem,"4 economic forecasts, 3 GDP mentions"
same,economy,NA,economy,NA,same,economy,NA,YES,,1956-01-05_166899746_1_page0.txt,Mentions consumer installment credit and the Federal Reserve.,american economic association;economic problems,"2 consumer installment credit, 3 Federal Reserve mentions"
different,economy,NA,politics,economy,same,economy,politics,YES,,1956-01-10_166876075_1_page0.txt,"Mentions installment credit, a presidential year, and candidates.",presidential year mentioned;installment credit,"3 installment credit, 1 Federal Reserve Board, 2 economic situations"
different,labor classification,NA,politics,NA,different,politics,LABOR,YES,,1956-01-13_166912641_1_page0.txt,"Mentions political parties, candidates, and labor bosses blocking nominations.",mentions of the democratic party and candidates indicate an upcoming election.,"2 labor bosses, 1 Walter Reuther, 1 union membership, 1 agriculture (policy)"
same,other,NA,other,NA,same,other,NA,YES,,1956-01-18_166873052_1_page0.txt,NA,NA,No categories met the 2-mention threshold.
same,other,NA,other,NA,same,other,NA,YES,,1956-01-19_166874249_1_page0.txt,NA,NA,No categories met the 2-mention threshold.
different,labor classification,NA,politics,voter_turnout,different,politics,LABOR,YES+,I would also say economy as it discusses inflation a lot and a woman's knowledge of the correlation between labor and prices of goods in the home,1956-01-27_166884915_1_page0.txt,"Mentions the 1956 election, the CIO-PAC, and labor party administration.",Women of the nation may decide the 1956 election;correlate the ballot box with the breadbox,"3 CIO-PAC mentions, 1 labor victories, 1 labor statesmen"
different,economy,NA,politics,NA,different,politics,NA,YES,,1956-01-31_166876244_1_page0.txt,"Mentions the nomination, candidates, and political parties.","running into a presidential year, election","2 economical mentions, 1 taxpayers"
different,business,NA,politics,NA,different,politics,NA,YES+,business also; discusses Dam project and the industry of electricity farming and the political interest in it,1956-02-02_166888107_1_page0.txt,Mentions the issue in Congress and Democratic politicians.,"state wide elections in idaho, political warfare","3 Idaho Power Co., 1 private enterprise, 1 construction firm"
different,economy,NA,politics,NA,different,other,NA,YES+,"economy also, as they discuss taxation",1956-02-07_166907655_1_page0.txt,NA,"politically minded congress, congress will pass any such bureaucratic formula","3 federal aid, 1 tax resources, 1 federal funds, 1 relative income"
different,other,NA,politics,NA,different,politics,NA,YES,,1956-02-10_166881514_1_page0.txt,"Discusses primary contests, potential candidates, and convention tactics.","primary contests, nomination",No categories met the 2-mention threshold.
same,other,NA,other,NA,same,other,NA,YES,,1956-02-16_166896688_1_page0.txt,NA,NA,No categories met the 2-mention threshold.
same,business,economy,business,NA,same,business,NA,YES,,1956-02-17_166922034_1_page0.txt,Mentions aluminum industry investments and production patterns.,aluminum industry mentioned multiple times,"3 aluminum industry, 3 companies, 2 economic factors"
different,other,NA,politics,NA,different,politics,NA,YES,,1956-02-21_166906514_1_page0.txt,"Discusses attacks on a president, a vice-presidential candidate, and the democratic party","the 1956 election, presidential candidate",No categories met the 2-mention threshold.
different,economy,NA,politics,NA,different,other,NA,YES+,"Business also, discuss Upper Colorado Reclamation project and financial dealings and implications of it. Example of intersection between enterprise-sized business and politics",1956-02-28_166911519_1_page0.txt,NA,"political deals, politicians are spending tax money","2 financial doubts, 2 revenues, 1 farmers could pay, 1 increase production"
