changed_july24,jan7_category,july24_category1,july24_category2,changed_oct20,Oct20_category1,Oct20_category2,july24_correct,july24_human_comments,filename,jan7_explanation,oct_20explanation,july24_explanation
different,other,economy,NA,different,economy,NA,YES,,1956-01-04_166874618_1_page0.txt,NA,Gross national product and Agriculture mentioned multiple times.,economic forecasts filled the mail;final economic problem
different,other,economy,NA,different,economy,NA,YES,,1956-01-05_166899746_1_page0.txt,NA,Mentions consumer installment credit and the Federal Reserve.,american economic association;economic problems
different,other,politics,economy,different,economy,politics,YES,,1956-01-10_166876075_1_page0.txt,NA,"Mentions installment credit, a presidential year, and candidates.",presidential year mentioned;installment credit
different,other,politics,NA,different,politics,LABOR,YES,,1956-01-13_166912641_1_page0.txt,NA,"Mentions political parties, candidates, and labor bosses blocking nominations.",mentions of the democratic party and candidates indicate an upcoming election.
different,voter_turnout,other,NA,different,other,NA,YES,,1956-01-18_166873052_1_page0.txt,2 mentions of voters/vote,NA,NA
same,other,other,NA,same,other,NA,YES,,1956-01-19_166874249_1_page0.txt,NA,NA,NA
different,voter_turnout,politics,voter_turnout,different,politics,LABOR,YES+,I would also say economy as it discusses inflation a lot and a woman's knowledge of the correlation between labor and prices of goods in the home,1956-01-27_166884915_1_page0.txt,"2 mentions of participation, 1 ballot box, 1 voting, 1 demographic breakdowns","Mentions the 1956 election, the CIO-PAC, and labor party administration.",Women of the nation may decide the 1956 election;correlate the ballot box with the breadbox
different,voter_turnout,politics,NA,different,politics,NA,YES,,1956-01-31_166876244_1_page0.txt,"1 mention of votes, 1 amount of people participating","Mentions the nomination, candidates, and political parties.","running into a presidential year, election"
different,other,politics,NA,different,politics,NA,YES+,business also; discusses Dam project and the industry of electricity farming and the political interest in it,1956-02-02_166888107_1_page0.txt,NA,Mentions the issue in Congress and Democratic politicians.,"state wide elections in idaho, political warfare"
different,other,politics,NA,same,other,NA,YES+,"economy also, as they discuss taxation",1956-02-07_166907655_1_page0.txt,NA,NA,"politically minded congress, congress will pass any such bureaucratic formula"
different,other,politics,NA,different,politics,NA,YES,,1956-02-10_166881514_1_page0.txt,NA,"Discusses primary contests, potential candidates, and convention tactics.","primary contests, nomination"
same,other,other,NA,same,other,NA,YES,,1956-02-16_166896688_1_page0.txt,NA,NA,NA
different,other,business,NA,different,business,NA,YES,,1956-02-17_166922034_1_page0.txt,NA,Mentions aluminum industry investments and production patterns.,aluminum industry mentioned multiple times
different,other,politics,NA,different,politics,NA,YES,,1956-02-21_166906514_1_page0.txt,NA,"Discusses attacks on a president, a vice-presidential candidate, and the democratic party","the 1956 election, presidential candidate"
different,other,politics,NA,same,other,NA,YES+,"Business also, discuss Upper Colorado Reclamation project and financial dealings and implications of it. Example of intersection between enterprise-sized business and politics",1956-02-28_166911519_1_page0.txt,NA,NA,"political deals, politicians are spending tax money"
different,other,business,NA,different,business,NA,YES,,1956-03-01_166888260_1_page0.txt,NA,"Mentions the Ford Foundation, business administration, and marketing experiments.",research on business administration
different,voter_turnout,politics,NA,different,politics,NA,YES,,1956-03-07_166905237_1_page0.txt,"3 mentions of votes, 1 polls","Discusses potential candidates, state chairmen, and the election.","political opinion, presidential candidate"
different,voter_turnout,politics,NA,different,politics,NA,YES,,1956-03-09_166917090_1_page0.txt,"2 mentions of votes, 1 polls","Discusses traditions, candidates, and the political party.","nomination for vice president, presidential candidate"
different,voter_turnout,politics,business,different,business,politics,YES,,1956-03-15_166889978_1_page0.txt,2 mentions of votes,"Discusses big business, small business, and democratic politicians.","bid for votes, small business"
different,other,politics,NA,different,politics,NA,YES?,could also be business as they briefly discuss natural resource industry but that is more of a policy constraint so I am unsure,1956-03-16_166891660_1_page0.txt,NA,"Mentions a secretary, candidates, and political parties.","coming campaign, fighting morse with sufficient vigor and knowledge"
different,other,business,NA,different,business,NA,YES,,1956-03-20_166937059_1_page0.txt,NA,Mentions antitrust law and corporation size.,antitrust law mentioned
different,other,politics,NA,different,economy,politics,YES+,Definitely also business or economy as it directly discusses the reelationship and impact of politics on farmers and the agricultural industry is a huge financial powerhouse in America,1956-03-26_166904773_1_page0.txt,NA,"Farm statistics, presidential campaigns and politicians mentioned several times.","presldential primary campaigns, bid as a price for votes"
different,other,business,NA,different,LABOR,NA,YES,,1956-03-27_166923452_1_page0.txt,NA,"Mentions a strike, unions, and a new federation.",internal weakness of the merger
different,voter_turnout,politics,NA,different,politics,NA,YES,"""""Liberal (nusiance) party"""" made me LOL",1956-03-29_166909981_1_page0.txt,"2 mentions of votes, 1 popular vote, 1 demographic breakdown","Discusses electing the president, vice president, and politicians resist efforts.","electing the president and vice president, political decision"
different,other,business,NA,different,LABOR,NA,YES,,1956-04-03_166935666_1_page0.txt,NA,Mentions the union shop and railway labor act,unionshop amendment
same,other,other,NA,same,other,NA,YES,,1956-04-10_166951384_1_page0.txt,NA,NA,NA
different,other,politics,NA,different,politics,LABOR,YES?,Not sure if business includes discussion of the labor movement but if that is the case than definitely also business,1956-04-13_166915845_1_page0.txt,NA,Mentions political wisemen in the labor movement and labor leaders in politics.,"political wise men in  the labor movement are  quietly discounting stevenson kefauver and harriman, to the political party"
different,other,politics,NA,same,other,NA,YES,,1956-04-17_166910108_1_page0.txt,NA,NA,"collegestudentstotakemoreinterestinpolitics, thissurveyresultsshowsthatwomensstudentsweresomewhatmorepoorlyinformedthanthemen"
