date,year,filename,category,explanation
1950-01-02,1950,166034899,other,No categories met the 3-mention threshold.
1950-01-04,1950,166072701,other,No categories met the 3-mention threshold.
1950-01-08,1950,166077202,other,No categories met the 3-mention threshold.
1950-01-11,1950,166062566,other,No categories met the 3-mention threshold.
1950-01-12,1950,166036521,other,No categories met the 3-mention threshold.
1950-01-13,1950,166058503,other,No categories met the 3-mention threshold.
1950-01-17,1950,166027441,other,No categories met the 3-mention threshold.
1950-01-20,1950,166014493,other,No categories met the 3-mention threshold.
1950-01-24,1950,166011572,other,No categories met the 3-mention threshold.
1950-02-01,1950,166026163,LABOR,Contains 3 mentions of union and collective bargaining.
1950-02-09,1950,166074634,other,No categories met the 3-mention threshold.
1950-02-14,1950,166061109,other,No categories met the 3-mention threshold.
1950-02-15,1950,166095503,other,No categories met the 3-mention threshold.
1950-02-16,1950,166024926,other,No categories met the 3-mention threshold.
1950-02-22,1950,166048263,other,No categories met the 3-mention threshold.
1950-03-02,1950,166038051,other,No categories met the 3-mention threshold.
1950-03-07,1950,166102216,other,No categories met the 3-mention threshold.
1950-03-10,1950,166092254,other,No categories met the 3-mention threshold.
1950-03-13,1950,166059969,other,No categories met the 3-mention threshold.
1950-03-15,1950,166084807,other,No categories met the 3-mention threshold.
1950-03-21,1950,166037832,other,No categories met the 3-mention threshold.
1950-03-28,1950,166107090,other,No categories met the 3-mention threshold.
1950-03-29,1950,166104089,other,No categories met the 3-mention threshold.
1950-03-30,1950,166074785,other,No categories met the 3-mention threshold.
1950-04-04,1950,166065621,other,No categories met the 3-mention threshold.
1950-04-05,1950,166077470,other,No categories met the 3-mention threshold.
1950-04-11,1950,166058966,other,No categories met the 3-mention threshold.
1950-04-12,1950,166056509,other,No categories met the 3-mention threshold.
1950-04-14,1950,166080754,other,No categories met the 3-mention threshold.
1950-04-18,1950,166058935,other,No categories met the 3-mention threshold.
1950-04-19,1950,166077779,other,No categories met the 3-mention threshold.
1950-04-20,1950,166064427,LABOR,Contains 3 mentions of union/strike or collective bargaining.
1950-04-21,1950,166043310,other,No categories met the 3-mention threshold.
1950-04-26,1950,166060284,other,No categories met the 3-mention threshold.
1950-04-27,1950,166096832,other,No categories met the 3-mention threshold.
1950-05-02,1950,166062898,other,No categories met the 3-mention threshold.
1950-05-03,1950,166092670,other,No categories met the 3-mention threshold.
1950-05-05,1950,166101990,other,No categories met the 3-mention threshold.
1950-05-10,1950,166087196,other,No categories met the 3-mention threshold.
1950-05-14,1950,166054161,other,No categories met the 3-mention threshold.
1950-05-15,1950,166090347,other,No categories met the 3-mention threshold.
1950-05-17,1950,166125636,other,No categories met the 3-mention threshold.
1950-05-18,1950,166033836,other,No categories met the 3-mention threshold.
1950-05-24,1950,166076083,other,No categories met the 3-mention threshold.
1950-05-26,1950,166085548,LABOR,3 mentions of work stoppages/labor disputes/strikes and Wagner Act.
1950-05-30,1950,166062037,other,No categories met the 3-mention threshold.
1950-05-31,1950,166063934,other,No categories met the 3-mention threshold.
1950-06-01,1950,166090332,LABOR,Contains 3 mentions of labor unions and employment/disputes.
1950-06-02,1950,166102545,other,No categories met the 3-mention threshold.
1950-06-07,1950,166116840,other,No categories met the 3-mention threshold.
1950-06-08,1950,166112917,other,No categories met the 3-mention threshold.
1950-06-13,1950,166123703,other,No categories met the 3-mention threshold.
1950-06-14,1950,166087283,LABOR,Contains 3 mentions of union organizations/political arms.
1950-06-16,1950,166078782,other,No categories met the 3-mention threshold.
1950-06-19,1950,166087897,other,No categories met the 3-mention threshold.
1950-06-21,1950,166117897,other,No categories met the 3-mention threshold.
1950-06-23,1950,166116389,other,No categories met the 3-mention threshold.
1950-06-27,1950,166107625,other,No categories met the 3-mention threshold.
1950-06-28,1950,166101673,other,No categories met the 3-mention threshold.
1950-07-04,1950,166112253,other,No categories met the 3-mention threshold.
1950-07-07,1950,166118294,other,No categories met the 3-mention threshold.
1950-07-10,1950,166069292,other,No categories met the 3-mention threshold.
1950-07-12,1950,166066365,other,No categories met the 3-mention threshold.
1950-07-13,1950,166133550,other,No categories met the 3-mention threshold.
1950-07-24,1950,166073332,other,No categories met the 3-mention threshold.
1950-07-25,1950,166109742,other,No categories met the 3-mention threshold.
1950-07-26,1950,166067560,other,No categories met the 3-mention threshold.
1950-08-07,1950,166122858,other,No categories met the 3-mention threshold.
1950-08-09,1950,166158231,LABOR,Contains 4 mentions of strikes/stoppages and union leaders.
1950-08-10,1950,166154166,other,No categories met the 3-mention threshold.
