"","filename","category","explanation"
"1","1956-01-04_166874618_1_page0.txt","economy","economic forecasts filled the mail;final economic problem"
"2","1956-01-05_166899746_1_page0.txt","economy","americaneconomicassociation;economic problems"
"3","1956-01-10_166876075_1_page0.txt","politics;economy","presidential year mentioned;installment credit"
"4","1956-01-13_166912641_1_page0.txt","politics","mentions of the democratic party and candidates indicate an upcoming election."
"5","1956-01-18_166873052_1_page0.txt","other",NA
"6","1956-01-19_166874249_1_page0.txt","other",NA
"7","1956-01-27_166884915_1_page0.txt","politics;voter_turnout","Women of the nation may decide the 1956 election;correlate the ballot box with the breadbox"
"8","1956-01-31_166876244_1_page0.txt","politics","running into a presidential year, election"
"9","1956-02-02_166888107_1_page0.txt","politics","statewideelections in idaho, political warfare"
"10","1956-02-07_166907655_1_page0.txt","politics","politically minded congress, congress will pass any such bureaucratic formula"
"11","1956-02-10_166881514_1_page0.txt","politics","primary contests, nomination"
"12","1956-02-16_166896688_1_page0.txt","other",NA
"13","1956-02-17_166922034_1_page0.txt","business","aluminum industry mentioned multiple times"
"14","1956-02-21_166906514_1_page0.txt","politics","the 1956 election, presidential candidate"
"15","1956-02-28_166911519_1_page0.txt","politics","political deals, politicians are spending tax money"
"16","1956-03-01_166888260_1_page0.txt","business","research on business administration"
"17","1956-03-07_166905237_1_page0.txt","politics","political opinion, presidential candidate"
"18","1956-03-09_166917090_1_page0.txt","politics","nomination for vice president, presidential candidate"
"19","1956-03-15_166889978_1_page0.txt","politics;business","bid for votes, small business"
"20","1956-03-16_166891660_1_page0.txt","politics","coming campaign, fighting morse with sufficient vigor and knowledge"
"21","1956-03-20_166937059_1_page0.txt","business","antitrust law mentioned"
"22","1956-03-26_166904773_1_page0.txt","politics","presldential primary campaigns, bidasapriceforvotes"
"23","1956-03-27_166923452_1_page0.txt","business","internal weakness of the merger"
"24","1956-03-29_166909981_1_page0.txt","politics","electing the president and vice president, political decision"
"25","1956-04-03_166935666_1_page0.txt","business","unionshop amendment"
"26","1956-04-10_166951384_1_page0.txt","other",NA
"27","1956-04-13_166915845_1_page0.txt","politics","political wisemen inthelabormovement arequietlydiscountingstevensonkefauverandharriman, to the political party"
"28","1956-04-17_166910108_1_page0.txt","politics","collegestudentstotakemoreinterestinpolitics, thissurveyresultsshowsthatwomensstudentsweresomewhatmorepoorlyinformedthanthemen"
"29","1956-04-19_166931315_1_page0.txt","politics","theimportanceofthefarmvoteandconsequentlythefarmrevoltaregreatlyexaggerated, inpresidentsreelectionproblemsthatwouldaffecttheresultingoutcomeoftheelection"
"30","1956-04-25_166936535_1_page0.txt","politics","thedemocraticleaderswillpersistinmakingattacksuponthehealthpreservingroutinewhichthepresidentsdoctorshaveprescribed, thatthispresidentwillbeahighriskforthevotingpopulation"
"31","1956-05-04_166942067_1_page0.txt","politics","maybeaskingourselveswhetherwecanreallyaffordpresidentialelections, bothpartiesarerecklesslybiddingforourvoteswithourmoney"
"32","1956-05-08_166912917_1_page0.txt","business","providing insurane uptop 500000000.00 against atomic reactor accident that may spread inurious materials over a wide area"
"33","1956-05-15_166921781_1_page0.txt","other",NA
"34","1956-05-18_166972318_1_page0.txt","politics","aregravelyburdeningthepatiencenottosaythesenseofhumorofthepeoplewhohearorreadabouttheirspeeches, thisveryindifferencemaybeaperiltotherepublicanparty"
"35","1956-05-23_166967752_1_page0.txt","other",NA
"36","1956-05-24_166952012_1_page0.txt","other",NA
"37","1956-05-29_166942378_1_page0.txt","business","rejoiceandtogoalloutineffortandexpensethiselectionyeartoelectprolaborcongressmenandsenators"
"38","1956-05-31_166955164_1_page0.txt","other",NA
"39","1956-06-06_166953689_1_page0.txt","politics","inthecomingelection, Republican affection"
"40","1956-06-07_166972889_1_page0.txt","business","major builder of a great city and as public administor"
"41","1956-06-12_166965487_1_page0.txt","politics","willtheregophavecontrolofthehouse, witheisenhowerontheticket"
"42","1956-06-13_166981229_1_page0.txt","other",NA
"43","1956-06-14_166942731_1_page0.txt","politics","whocontrivedthenominationofaverellharrimanforthegovernorshipofnewyorkandnowseemstobemanagingtheharrimandrivetonominatethenewyorkgovernorforthepresidency"
"44","1956-06-19_166927499_1_page0.txt","politics","In this session there was unbelievable logrolling. A current example is contained in a report of a deal."
"45","1956-06-21_166961475_1_page0.txt","politics","thiscampaign, inrecentyearsimagineitisthentherewillbeanelection."
"46","1956-06-26_166904773_1_page0.txt","politics","democraticleaderstocommentonphysicafitnessofthecandidates, asthiswillbeafactortheelection"
"47","1956-07-02_166987194_1_page0.txt","politics","thoseDemocratswhobelieveinaconservativeapproachtopublicproblemsshouldbegintopack, foritmaywellbethatbeforeanotherpresidentialyearcomeseverythingbutthenameofthedemocraticpartywillhavegone"
"48","1956-07-03_166977307_1_page0.txt","politics","The aio, the merger of the aofl and ci, questions if they will endorse any presidential candidate"
"49","1956-07-05_166973311_1_page0.txt","politics","ifthatprovestobetrue, the presidentandcongressmightwelladoptthecoursewhichwouldhavebeenbetterinanyevent"
"50","1956-07-11_166959354_1_page0.txt","economy","tax cuts scheduled to take place, shifts in monetary policy and tax reduction"
"51","1956-07-17_166984053_1_page0.txt","politics","thereare47suchstatelawssmithhasnowpreparedandintroducedabillhr3tomodifythesocalledpreemptiondoctrine, topermitconcurrentjurisdiction, intheprotectionofthestateanditscitizen"
"52","1956-07-20_166968775_1_page0.txt","politics","businessmencannotbetrustedinpublicoffice, apparentlyinheritedmoneyqualifiesamanforthemanagementofgreataffairsearnedmoneydoesnot"
"53","1956-07-25_166961624_1_page0.txt","politics","thatbyauthorityoftraditionthecandidateforpresidentshouldchoosethecandidateforvicepresident, perhapssomeamateurtoldhimsoorperhapsdewey"
"54","1956-07-26_166959488_1_page0.txt","politics","thisyearwitheisenhower"
"55","1956-07-30_166962149_1_page0.txt","politics","whatthiscongress, taxpayerschoicethereforeislimited."
"56","1956-08-07_166977911_1_page0.txt","politics","isasmatterofcoldpoliticsitspromotionbydemocratsandothersofsomewhatdoubtfulrepublicanismwouldfatallyimpairit"
