changed,category1,july24_category1,category2,july24_category2,july24_correct,july24_human_comments,filename,explanation,july24_explanation
same,economy,economy,NA,NA,YES,,1956-01-04_166874618_1_page0.txt,Gross national product and Agriculture mentioned multiple times.,economic forecasts filled the mail;final economic problem
same,economy,economy,NA,NA,YES,,1956-01-05_166899746_1_page0.txt,Mentions consumer installment credit and the Federal Reserve.,american economic association;economic problems
different,economy,politics,politics,economy,YES,,1956-01-10_166876075_1_page0.txt,"Mentions installment credit, a presidential year, and candidates.",presidential year mentioned;installment credit
same,politics,politics,LABOR,NA,YES,,1956-01-13_166912641_1_page0.txt,"Mentions political parties, candidates, and labor bosses blocking nominations.",mentions of the democratic party and candidates indicate an upcoming election.
same,other,other,NA,NA,YES,,1956-01-18_166873052_1_page0.txt,NA,NA
same,other,other,NA,NA,YES,,1956-01-19_166874249_1_page0.txt,NA,NA
same,politics,politics,LABOR,voter_turnout,YES+,I would also say economy as it discusses inflation a lot and a woman's knowledge of the correlation between labor and prices of goods in the home,1956-01-27_166884915_1_page0.txt,"Mentions the 1956 election, the CIO-PAC, and labor party administration.",Women of the nation may decide the 1956 election;correlate the ballot box with the breadbox
same,politics,politics,NA,NA,YES,,1956-01-31_166876244_1_page0.txt,"Mentions the nomination, candidates, and political parties.","running into a presidential year, election"
same,politics,politics,NA,NA,YES+,business also; discusses Dam project and the industry of electricity farming and the political interest in it,1956-02-02_166888107_1_page0.txt,Mentions the issue in Congress and Democratic politicians.,"state wide elections in idaho, political warfare"
different,other,politics,NA,NA,YES+,"economy also, as they discuss taxation",1956-02-07_166907655_1_page0.txt,NA,"politically minded congress, congress will pass any such bureaucratic formula"
same,politics,politics,NA,NA,YES,,1956-02-10_166881514_1_page0.txt,"Discusses primary contests, potential candidates, and convention tactics.","primary contests, nomination"
same,other,other,NA,NA,YES,,1956-02-16_166896688_1_page0.txt,NA,NA
same,business,business,NA,NA,YES,,1956-02-17_166922034_1_page0.txt,Mentions aluminum industry investments and production patterns.,aluminum industry mentioned multiple times
same,politics,politics,NA,NA,YES,,1956-02-21_166906514_1_page0.txt,"Discusses attacks on a president, a vice-presidential candidate, and the democratic party","the 1956 election, presidential candidate"
