filename,category,explanation,july24_category,july24_explanation,july24_correct,july24_human_comments,changed
1956-01-04_166874618_1_page0.txt,economy,Gross national product and Agriculture mentioned multiple times.,economy,economic forecasts filled the mail;final economic problem,YES,,same
1956-01-05_166899746_1_page0.txt,economy,Mentions consumer installment credit and the Federal Reserve.,economy,american economic association;economic problems,YES,,same
1956-01-10_166876075_1_page0.txt,economy;politics,"Mentions installment credit, a presidential year, and candidates.",politics;economy,presidential year mentioned;installment credit,YES,,different
1956-01-13_166912641_1_page0.txt,politics;LABOR,"Mentions political parties, candidates, and labor bosses blocking nominations.",politics,mentions of the democratic party and candidates indicate an upcoming election.,YES,,different
1956-01-18_166873052_1_page0.txt,other,NA,other,NA,YES,,same
1956-01-19_166874249_1_page0.txt,other,NA,other,NA,YES,,same
1956-01-27_166884915_1_page0.txt,politics;LABOR,"Mentions the 1956 election, the CIO-PAC, and labor party administration.",politics;voter_turnout,Women of the nation may decide the 1956 election;correlate the ballot box with the breadbox,YES+,I would also say economy as it discusses inflation a lot and a woman's knowledge of the correlation between labor and prices of goods in the home,different
1956-01-31_166876244_1_page0.txt,politics,"Mentions the nomination, candidates, and political parties.",politics,"running into a presidential year, election",YES,,same
1956-02-02_166888107_1_page0.txt,politics,Mentions the issue in Congress and Democratic politicians.,politics,"state wide elections in idaho, political warfare",YES+,business also; discusses Dam project and the industry of electricity farming and the political interest in it,same
1956-02-07_166907655_1_page0.txt,other,NA,politics,"politically minded congress, congress will pass any such bureaucratic formula",YES+,"economy also, as they discuss taxation",different
1956-02-10_166881514_1_page0.txt,politics,"Discusses primary contests, potential candidates, and convention tactics.",politics,"primary contests, nomination",YES,,same
1956-02-16_166896688_1_page0.txt,other,NA,other,NA,YES,,same
1956-02-17_166922034_1_page0.txt,business,Mentions aluminum industry investments and production patterns.,business,aluminum industry mentioned multiple times,YES,,same
1956-02-21_166906514_1_page0.txt,politics,"Discusses attacks on a president, a vice-presidential candidate, and the democratic party",politics,"the 1956 election, presidential candidate",YES,,same
1956-02-28_166911519_1_page0.txt,other,NA,politics,"political deals, politicians are spending tax money",YES+,"Business also, discuss Upper Colorado Reclamation project and financial dealings and implications of it. Example of intersection between enterprise-sized business and politics",different
1956-03-01_166888260_1_page0.txt,business,"Mentions the Ford Foundation, business administration, and marketing experiments.",business,research on business administration,YES,,same
1956-03-07_166905237_1_page0.txt,politics,"Discusses potential candidates, state chairmen, and the election.",politics,"political opinion, presidential candidate",YES,,same
1956-03-09_166917090_1_page0.txt,politics,"Discusses traditions, candidates, and the political party.",politics,"nomination for vice president, presidential candidate",YES,,same
1956-03-15_166889978_1_page0.txt,business;politics,"Discusses big business, small business, and democratic politicians.",politics;business,"bid for votes, small business",YES,,different
1956-03-16_166891660_1_page0.txt,politics,"Mentions a secretary, candidates, and political parties.",politics,"coming campaign, fighting morse with sufficient vigor and knowledge",YES?,could also be business as they briefly discuss natural resource industry but that is more of a policy constraint so I am unsure,same
1956-03-20_166937059_1_page0.txt,business,Mentions antitrust law and corporation size.,business,antitrust law mentioned,YES,,same
1956-03-26_166904773_1_page0.txt,economy;politics,"Farm statistics, presidential campaigns and politicians mentioned several times.",politics,"presldential primary campaigns, bid as a price for votes",YES+,Definitely also business or economy as it directly discusses the reelationship and impact of politics on farmers and the agricultural industry is a huge financial powerhouse in America,different
1956-03-27_166923452_1_page0.txt,LABOR,"Mentions a strike, unions, and a new federation.",business,internal weakness of the merger,YES,,different
1956-03-29_166909981_1_page0.txt,politics,"Discusses electing the president, vice president, and politicians resist efforts.",politics,"electing the president and vice president, political decision",YES,"""""Liberal (nusiance) party"""" made me LOL",same
1956-04-03_166935666_1_page0.txt,LABOR,Mentions the union shop and railway labor act,business,unionshop amendment,YES,,different
1956-04-10_166951384_1_page0.txt,other,NA,other,NA,YES,,same
1956-04-13_166915845_1_page0.txt,politics;LABOR,Mentions political wisemen in the labor movement and labor leaders in politics.,politics,"political wise men in  the labor movement are  quietly discounting stevenson kefauver and harriman, to the political party",YES?,Not sure if business includes discussion of the labor movement but if that is the case than definitely also business,different
1956-04-17_166910108_1_page0.txt,other,NA,politics,"collegestudentstotakemoreinterestinpolitics, thissurveyresultsshowsthatwomensstudentsweresomewhatmorepoorlyinformedthanthemen",YES,,different
1956-04-19_166931315_1_page0.txt,politics,"Discusses primary votes, elections, and seasoned politicians.",politics,"theimportanceofthefarmvoteandconsequentlythefarmrevoltaregreatlyexaggerated, inpresidentsreelectionproblemsthatwouldaffecttheresultingoutcomeoftheelection",YES+,Definitely also business or economy as it directly discusses the reelationship and impact of politics on farmers and the agricultural industry is a huge financial powerhouse in America,same
1956-04-25_166936535_1_page0.txt,politics,Mentions democratic leaders and a presidents health.,politics,"thedemocraticleaderswillpersistinmakingattacksuponthehealthpreservingroutinewhichthepresidentsdoctorshaveprescribed, thatthispresidentwillbeahighriskforthevotingpopulation",YES?,Talks about presidents but president's health and not so much politics,same
1956-05-04_166942067_1_page0.txt,economy;politics,"Expensive programs, a presidential election, and record tax payments.",politics,"maybeaskingourselveswhetherwecanreallyaffordpresidentialelections, bothpartiesarerecklesslybiddingforourvoteswithourmoney",YES,,different
