"","adjective","noun","frequency","articles"
"1","Federal","government",399,206
"2","RAYMOND","MOLEY",331,331
"3","American","people",239,148
"4","Federal","power",231,82
"5","many","years",220,171
"6","Republican","party",216,104
"7","Democratic","party",203,101
"8","political","party",192,107
"9","political","government",187,111
"10","new","government",186,107
"11","political","power",186,109
"12","past","years",181,152
"13","many","people",176,117
"14","other","government",173,116
"15","other","people",167,117
"16","long","time",161,136
"17","last","week",156,132
"18","public","opinion",156,101
"19","foreign","policy",154,91
"20","national","party",151,75
"21","new","years",151,103
"22","public","power",151,73
"23","Federal","state",150,67
"24","Federal","aid",149,43
"25","political","years",146,94
"26","such","government",146,96
"27","political","people",143,88
"28","national","government",138,93
"29","Federal","years",136,83
"30","new","people",136,100
"31","Democratic","Party",135,79
"32","public","government",135,77
"33","own","government",132,82
"34","great","government",130,90
"35","great","people",129,96
"36","great","years",129,98
"37","many","government",128,95
"38","American","government",126,83
"39","great","power",126,86
"40","other","years",126,98
"41","American","years",124,79
"42","Federal","money",124,66
"43","last","year",124,96
"44","more","government",124,76
"45","new","power",120,73
"46","other","power",120,72
"47","more","years",119,83
"48","third","term",118,39
"49","American","war",117,55
"50","few","years",116,96
"51","political","life",116,84
"52","Federal","states",115,51
"53","political","leaders",114,84
"54","such","power",114,68
"55","new","party",113,66
"56","private","government",113,63
"57","same","time",113,98
"58","electric","power",112,54
"59","public","people",111,75
"60","national","people",110,71
"61","other","states",110,83
"62","political","time",110,76
"63","private","power",110,54
"64","good","government",109,68
"65","many","party",108,65
"66","other","hand",108,98
"67","public","years",105,81
"68","new","state",101,67
"69","next","year",101,83
"70","such","years",101,80
"71","political","man",98,61
"72","political","state",98,63
"73","public","life",95,64
"74","economic","government",94,58
"75","economic","life",94,64
"76","Republican","candidates",93,60
"77","other","party",92,61
"78","other","state",92,67
"79","own","party",92,55
"80","more","people",89,67
"81","new","business",89,53
"82","private","companies",89,44
"83","economic","war",88,42
"84","such","people",88,68
"85","great","time",87,72
"86","American","country",86,50
"87","new","year",86,64
"88","political","year",86,61
"89","private","business",86,52
"90","foreign","affairs",85,59
"91","public","office",85,59
"92","great","deal",84,69
"93","political","war",83,41
"94","American","policy",82,45
"95","last","years",82,60
"96","local","government",82,38
"97","American","labor",81,40
"98","great","war",81,59
"99","public","business",81,53
"100","such","war",81,51
"101","Republican","state",80,44
"102","national","state",80,55
"103","other","things",80,66
"104","political","labor",80,48
"105","many","states",79,61
"106","political","business",79,53
"107","American","men",78,51
"108","present","government",78,55
"109","Federal","companies",77,27
"110","foreign","trade",77,31
"111","other","war",77,58
"112","political","states",77,42
"113","economic","people",76,46
"114","economic","system",76,45
"115","great","party",76,57
"116","national","years",76,59
"117","other","time",76,64
"118","American","power",75,53
"119","Federal","law",75,41
"120","new","Administration",75,49
"121","new","time",75,64
"122","new","war",75,50
"123","other","business",75,55
"124","private","enterprise",75,49
"125","such","business",75,54
"126","such","time",75,62
"127","many","state",74,50
"128","new","money",74,52
"129","other","nations",74,52
"130","political","parties",74,51
"131","American","industry",73,46
"132","large","part",73,68
"133","political","men",73,46
"134","public","man",73,55
"135","common","sense",72,57
"136","good","years",72,57
"137","last","government",72,51
"138","own","war",72,37
"139","own","years",72,57
"140","such","party",72,48
"141","American","time",71,51
"142","American","world",71,42
"143","Federal","bill",71,33
"144","Republican","candidate",71,44
"145","public","policy",71,47
"146","Federal","year",70,43
"147","economic","power",70,50
"148","great","state",70,52
"149","great","year",70,53
"150","public","party",70,39
"151","American","fact",69,48
"152","Federal","people",69,47
"153","Federal","school",69,18
"154","Republican","people",69,50
"155","many","time",69,59
"156","national","power",69,49
"157","new","country",69,58
"158","other","men",69,57
"159","political","country",69,51
"160","public","interest",69,58
"161","economic","years",68,48
"162","more","year",68,51
"163","other","year",68,56
"164","social","security",68,38
"165","Republican","leaders",67,51
"166","many","war",67,48
"167","more","power",67,53
"168","new","life",67,46
"169","new","men",67,46
"170","Democratic","candidate",66,51
"171","Presidential","candidate",66,43
"172","great","business",66,56
"173","American","business",65,45
"174","Democratic","people",65,44
"175","new","world",65,52
"176","national","policy",64,41
"177","new","industry",64,42
"178","other","Administration",64,46
"179","other","country",64,44
"180","political","policy",64,41
"181","great","country",63,51
"182","political","action",63,42
"183","political","campaign",63,47
"184","economic","policy",62,34
"185","many","power",62,42
"186","national","income",62,29
"187","new","policy",62,43
"188","own","people",62,47
"189","American","life",61,55
"190","Democratic","leaders",61,43
"191","great","man",61,50
"192","high","government",61,43
"193","past","year",61,56
"194","political","candidate",61,38
"195","political","politics",61,40
"196","such","state",61,44
"197","Democratic","state",60,34
"198","many","business",60,49
"199","many","men",60,43
"200","own","power",60,48
