filename,date,year,title,full_text,biz_category,biz_explanation,voter_category,voter_explanation,politics_category,politics_explanation,correct_y_n
1956-01-04_166874618_1_page0.txt,1956-01-04,1956,THE PERILOUS PERSISTENCE TO GO ON LIVING,"Among the many, many economic forecasts that have filled the mail these last two weeks I found a special fascination in an essay by Julius Hirsch contained in a book edited by him entitled ""New Horizons in Business."" My interest was aroused for several reasons. In the first place, I have known Hirsch for several years, and his long-term predictions have been remarkably accurate. Also, I found it more interesting to consider the long-term trends rather than the course of events in 1956. Finally, there was an element in the Hirsch essay that awakened my risibilities from a numbness induced by bad weather, New Year's crowds, traffic, and the other burdens we bear in the so-called holiday season. It seems that the basic research on this important subject of what is in store for us over the next 20 years was done for the Rock of Ages Corp. and for the benefit of the memorial industry. The major product of this industry is, lest you have not guessed it, that final economic problem that faces all of us—the tombstone or marker, or whatever else reminds the ruminative wanderer that we once lived here among men. I imagine that this industry summoned the economist because of the perilous persistence of people to live much, much longer lives. Indeed, it is the one industry which will, at least for many years to come, feel no Since Hirsch made his original study in 1952 there has been substantial proof that his calculations were remarkably correct. His chart showing ""gross national product"" and ""per capita disposable personal income"" almost exactly predicted the slight dip which we experienced at the end of 1954 and the beginning effect of the great war baby boom of the 1940s. Moreover, the style seems to be toward smaller markers with less verbiage such as poetry inscribed thereon. The marker people are also apparently (I have no statistics to prove this) alive to the competition of those great savers of space, the crematories. But here I am, half through with a New Year's piece without any predictions. of 1955. Then it takes off for higher altitudes until sometime around 1970. Altogether, he expects the gross national product to double in the coming 20 years, with real per capita income rising about two-thirds and consumption almost doubling. The work week, he anticipates, will drop to 35 hours. There will be changing consumption demands, with the percentage spent on shoes, clothing and food falling by about 28%, but a great compensating increase in consumer durables and services. In agriculture the prospective change is revolutionary. Agricultural production was approximately 8% in excess of needs in 1955. The total output in order to supply the 40% increase needed in the next 20 years would have to rise only 32%. This means, according to N. Koffsky of the Department of Agriculture (quoted by Hirsch), that there should be a reduction of 20% in the number of farms over the next 20 years. How the politicians can meet this terrific economic fact by finding the money to keep uneconomic farms and farmers going with subsidies is difficult to say. Moreover, how the Department of the Interior can justify bringing new land into cultivation by very expensive irrigation projects in the arid West is also difficult to forecast. It would seem that the future looks bright for all of us unless we are farmers. And if any of them expect to survive, they had better look to their efficiency.",business;economy,"13 economy mentions, 3+ business mentions.",other,NA,other,NA,
1956-01-05_166899746_1_page0.txt,1956-01-05,1956,A WARNING ON CREDIT,"A WARNING ON CREDIT BY RAYMOND MOLEY Speaking before a joint meeting of the American Economic Association and the American Finance As-sociation, Allan Sproul, president of the Federal Reserve Bank of New York, offered a greatly needed warning against an excess of consumer installment credit. In doing this he has voiced from a post of high authority a fear that has possessed some of us less informed in the economic problems involved. He has stated the limitations imposed by law upon the power of the Federal Reserve System to check the excesses to which a thoughtless public has in the past been subject, and of which it seems once more to be the victim. I have noted with wonderment and no little concern the many new directions into which installment selling has moved. The purchase of an automobile in these days is in most cases a necessity. But when a dealer, as was recently reported in the press, developed a plan by which the purchaser ""bought"" a new car every year with a constantly diminishing equity in his ""property,"" I wondered whether either the dealer or the industry or the ""buyer"" really knew what they were doing. * I noted with apprehensive amusement the story of a New Yorker who bought via installments a saxophone and some lessons thereon to be enjoyed by his 75year-old father. But the idea of going to a movie and paying later in installments really seemed to be the ultimate. I have been reluctant to express my doubts heretofore, partly because I fear that my old-fashioned ideas about what used to be called ""tick"" are outmoded, and I cannot exchange jargon with the ""new"" economists. I have also some of the tenderness of the Scotchman at a gay party. It seems that after the pleasant round of refreshments and conversation had gone on for some time, a memher of the party exclaimed that the man sitting next to him was dead. The man on the other side of the corpse said (substitute your own Scottish dialect): ""Ah, weel. I knew it all the time, but who am I to break up a gay party?"" Also, when I have mentioned my worry to an economist, especially one who is working for an industry thriving on installment sales, I have been told that there are ""built-in"" protections and that the Federal Reserve is the basic factor in these restraints. * But now, a real master of the law and practice of the Federal Reserve System has said it, and here it is from Allan Sproul: ""Thackeray says in 'Vanity Fair': 'Everybody must have observed how well those live who are comfortably and thoroughly in debt; how they deny themselves nothing; how jolly and easy they are in their minds.' ""Well, I am not jolly and easy in my mind. I am disturbed by the present situation in consumer installment credit, just as I was concerned, under different conditions and for different reasons, about stock market credit until the board of governors was given power to establish, and to vary, margin requirements. I am disturbed not by the total amount of consumer credit but by the fact or the indication that successive relaxation of terms has been largely responsible for keeping the ball in the air. ★ ""This is a process which cannot go on indefinitely, and when it ceases there will come a time when repayment of old debt will catch up with new extensions of credit. The special stimulus of a rapidly increasing net supply of consumer credit, which has contributed so much to the record production and distribution of consumer durable goods during the past year, will then be gone, at least temporarily. ""Will it then become clear that we drove our productive capacity to unsustainable limits—for the present—by borrowing consumer demand from the future?"" Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.",business;economy,"10+ economy mentions, 3+ business operation mentions.",other,NA,other,NA,
1956-01-10_166876075_1_page0.txt,1956-01-10,1956,CAUTIOUS ACCENT ON CAR CREDIT,"CAUTIOUS ACCENT ON CAR CREDIT The automobile industry is very wise in putting its prediction of sales in 1956 at a figure substantially below that of last year. It is, in fact, strange that there have not been more positive signs of a hesitation in that market before this. At the moment there is little question about a hardening of sales resistance. There is also a growing realization on the part of the public, which is only partially shared by the economists, that the rise in installment credit during the year 1955 was at a rate that can hardly be expected to continue without danger. The Federal Reserve Board reports that of the $5,233,000,000 increase in installment credit in the year, ending last November, $3,786,000,000 was for automobiles. Moreover, last November was the 10th straight month in which installment credit reached a new record level, and the 11th straight month in which automobile credit hit a new high. BY RAYMOND MOLEY The increase of $5,233,000,000 in installment credit represented a sizable 19% of the total outstanding. In short, a great deal of 1955 prosperity was în credit expansion. It is this rate of rise that should put some accent on caution. For with all of us, as with each of us, the danger is not in debt as such, but the extent to which our debt increases faster than our income. There are other factors in the automobile industry which may explain a temporary slowing up-factors which have to do with alterations in the so-called automobile year, or model year. One fact, however, has not been stressed which above all is important with regard not only to the automobile industry but all business. It is the fact that we are running into a Presidential year. Some of us are old enough to remember that it was axiomatic in the long years of Republican ascendancy that a Presidential year was a time when business looked and listened more than usual. It was a waiting period. Everybody expected it and everybody prepared for it. But since 1925 we have not had one of those ""normal"" years. There was the depression; then the war; and then 1948 and 1952. This begins to look like 1904 or 1924. It is accentuated at the moment by two factors—the uncertainty concerning the identity of the Republican candidate, and the depressed condition of some farmers. There are features, to be sure, which distinguish the present economic situation from the past, especially the years which I mentioned above. But the underlying situation is the same. It is confidence that makes for good times, and we may have to accept some hesitancy in order that we may assure ourselves of stability. THE BOOK REPORT BY ROBERT R. KIRSCH More than any other ancient people, the Hittites owe their place in history to the comparatively new science of archaeology. As recently as 1880, based on their mention in the Bible, the Hittites were considered a minor Canaanite tribe. Recent scholarship and archeological finds have combined to elevate the Hittites as an important historical people, with a high degree of civilization. Between 2000 and 1200 BC the Hittite kings ruled a great part of Asia Minor, their conquests achieved by superior strategy and weapons (including the effective light chariot) and maintained by skillful diplomacy and an advanced governmental organization. The exciting acheological record is told in THE SECRETS OF THE HITTITES (Knopf: $5) by C. W. Ceram whose excellent ""Gods, Graves and Scholars"" won acclaim some years ago. * Egyptologists had found evidence that Pharaoh Thotmes III had been forced to pay tribute to the Hittites. And one Biblical reference in II Kings vii, 6 seemed to hint that the Hittites were more than a minor league power. There were a few puzzling discoveries which appeared to fit in. A Frenchman named Texier had found imposing ruins at Boghazkoy in Turkey, ruins which were not readily identifiable. Tablets bearing strange hieroglyphics kept turning up in Syria and Turkey. Then the Englishmen Archibald Sayce and William Wright posed the theory that the Hittites had controlled an empire. The result was a controversy which produced headlines in English newspapers about a nation dead and gone 3000 years. German archeologists Puchstein, Humann, Von Luschan and Winkler began digging and the extent of the findings could no longer be ignored. A linguist named Hrozny, drafted in the Austro-Hungarian army during World War I, deciphered the Hittite language and demonstrated its relationship to the IndoEuropean languages which ultimately produced German and English. Hrozny gratefully acknowledged the tolerance of his superior, an easy-going lieutenent named Kammergruber, who gave him all the time necessary for his studies including a trip to Constantinople to examine cuneiform material. Discoveries by Bossert at Karatepe in 1947 provided a bilingual inscription—the Rosetta Stone of Hittite language which bore out Hrozny’s work. * Out of this research we are given a new picture of the Hittites, an Indo-European people who swept down through Asia Minor, molded the diverse peoples they conquered into a primitive federal state “united by contractual ties and held in line by the military and economic dominance of the Hittites.” The monarchy was not absolute, “the King being largely responsible to a council of nobles known as the ‘Pankus.’” The Hittite code differed from other known Oriental legal codes in its humaneness. The component states retained their own languages and their own religions. Despite these unusual social and political achievements, the Hittites never developed an art, architecture or literature comparable to other peoples of the areas. They knew iron, and according to Ceram, “around 1600 BC they appear to have had a certain monopoly in the manufacture of iron.” But such iron as they had appeared to be “five times more expensive than gold, 40 times dearer than silver.” But iron was to prove their downfall. The “peoples from the sea,” the Mysians and Phrygians, IndoEuropeans like the early Hittites, bearing iron weapons took apart the Hittite empire city by city, a thousand years before the birth of Christ. Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.",business;economy,"7+ economy mentions, 6+ business mentions.",other,NA,politics,"3 mentions of presidential year, candidate, and party",
1956-01-13_166912641_1_page0.txt,1956-01-13,1956,PLAIN TALK FROM LAUSCHE,"The nation on Sunday had an opportunity to see, hear and appraise the extraordinary Governor of Ohio, Frank J. Lausche. In his interview on the Meet the Press program he answered a wide range of searching questions with what appeared to be a grim determination to make his position clear, regardless of political consequences. There was none of the carefree and seemingly artless showing of charm so familiar to Ohioans. This was a man seeking nothing but the opportunity to make his views clear to the country and, incidentally, to the political party which he feels certain will not choose to nominate him. The reasons why the Democratic Party will probably not nominate him reflect no credit upon the people who have taken possession of that party. The fact is that while certain labor bosses cannot name the candidate, they can effectively block the nomination of anyone of whom they disapprove. This was shown when James F. Byrnes was tossed overboard after President Roosevelt had given him the assurance that he would be an acceptable companion on the ticket. It was ""clear it with Sidney"" then. In 1952 Alben Barkley found that it was ""clear it with Walter, et al.,"" and he was not cleared. Lausche is not blind to the fact that ""Walter, et al."" are more powerful now than they were four years ago. The Democratic Party in convention assembled will have a chance to show its colors, however. For Lausche will be presented by a delegation from his State, and unless all signs are deceptive he will be supported by delegates from a number of other States. This showing of hands will be wholesome. For it will show conservative Democrats and former Democrats how far their party has drifted since it nominated Alfred E. Smith 28 years ago. And it should show the conservative South that its ultimate salvation lies in some sort of coalition with like-thinking people in the North. Most candidates, when asked why they seek delegates, give an answer similar to that offered by Sen. Kefauver — an answer reeking with hypocrisy. They are, they say, possessed with the desire to clamber onto the sacrificial altar because of the plight of their country. Lausche merely indicated that he was capturing the Ohio delegation to keep those representatives of his State out of the hands of politicians who would market them, like dumb animals, to the highest bidders. (The simile is mine, not Lausche's.) When asked whether he would object if Stevenson and Kefauver should enter the Ohio primary against him, Lausche indicated a cordial receptiveness to such an invasion of his State. They are therefore at perfect liberty to risk, nay, to invite, the political obliteration so common to those who have opposed Lausche in Ohio. Confronted with the inevitable question whether he voted for Taft in 1950, he said that ""he would not be telling the truth if he said that he did not."" He asserted that he not only favored nondiscriminatory employment practices, but by clear inference that he would interpret those practices to cover not only racial but union membership. He flatly disagreed with his party's stand in Congress in favor of rigid supports for agriculture. He admires Eisenhower and hopes that he will run. This is the sort of plain talk that is needed in the murky political atmosphere of the moment. It remains to be seen whether Lausche's party wants that kind of candidate. Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.",other,No categories met the 3-mention threshold.,other,NA,politics,"Multiple mentions of candidate, party, nomination, primary, and political campaigns",
1956-01-18_166873052_1_page0.txt,1956-01-18,1956,VIRGINIA FROM AFAR,"VIRGINIA FROM AFAR BY RAYMOND MOLEY It is not going to help reasonable men in their quest for a reasonable solution of the problem of school segregation for northern voices like that of the New York Times to direct emotional lectures toward the Southern States. The Times editorially said that the recent Virginia plebiscite on the subject ""represents an emotional and almost desperate reaction against the clearly defined shape of things to come."" There are many millions of us who are unwilling to accept from the Times or any other single authority a definition of ""the clearly defined shape of things to come"" on this or on any other subject. * It is, moreover, interesting to note that among those millions unwilling to permit the editor and publisher of the Times to enjoy a monopoly of enlightenment are the distinguished Arthur Krock, for many years head of the Times' Washington bureau, and John J. Popham, the Times' regional correspondent from the South. It is interesting to note that the more remote the Times people are from the problem the more certain they are that they have the only possible solution. The State of Virginia, certainly not less enlightened than some of its northern fellow commonwealths. is recognizing that the problem posed by the Supreme Court in its historical opinion in 1954 requires a policy of cautious preparation for circumstances that it hopes will not be confronted, but that are quite possible. Specifically, the voters of the State, by an overwhelming vote, have said that they may have to abolish their public school system rather than submit to compulsory integration. The vote authorized the calling of a constitutional convention which will consider the amendment of the present Constitution of the State to permit State funds to be appropriated for private schools. We in the North should understand that the issue is no longer the simple question whether white and Negro children shall attend the same schools. The issue is compulsion, either for or against segregation. In a very reasonable speech last May, a young North Carolinian, A. Reed Sarratt Jr., editorial writer for the Winston-Salem Journal, stated the problem this way: ""The Supreme Court has said that laws requiring segregated schools violated the 14th Amendment. The court has not said that enforced mixing of the races in the schools must be substituted for enforced segregation . . . The court has not replaced one compulsion with another . . . ""It is my belief that North Carolina could remove all legal compulsion for segregation in the schools without causing much change in the present racial composition of the student bodies of the schools. There would be some mixing of the races in some schools. But the social patterns which have governed relations between the races should not be expected to change. If there is any change it will be slow."" This view, expressed by Sarratt, was endorsed by responsible public officials and educators in his State. It may not be the final answer, but it points to a factor which has fundamental roots in human nature. Americans don't like prohibitions. Perhaps with a removal of compulsions, coupled with a recognition of the differences among school districts which must be left to the districts themselves for adjustment, we shall arrive at a working arrangement acceptable to all but those who would arbitrarily impose upon the future their own concept of morality and justice. Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.",other,No categories met the 3-mention threshold.,other,NA,other,NA,
1956-01-19_166874249_1_page0.txt,1956-01-19,1956,JEALOUSY AS A BRAKE ON HOOVER REFORM,"JEALOUSY AS A BRAKE ON HOOVER REFORM BY RAYMOND MOLEY It is a sober but to some an unpalatable truth that the efforts of the second Hoover commission have had less co-operation from the Eisenhower administration. In the activities of the commission the devoted former President had generally more active and helpful support from the Democrats on his commission than from the Republicans. Sen. McClellan and Joseph P. Kennedy, veterans from the first comnission, were towers of strength for the chairman. And in general, James A. Farley lent a willing hand on most difficult votes. And now Sen. John F. Kennedy, as chairman of a subcommittee, is taking up the subject of an administrative Vice-President with oral testimony by former President Hoover, a letter from former President Truman, and a long letter from Presidential Assistant Sherman Adams. The Truman letter is rather surprising in that it repudiates what he had made clear in some of his own writings. He has said in the past that the burdens of the President are very great, and judging from his description of those burdens, a great deal of the load might be taken over by a statutory officer created by Congress for the purpose. * The Truman letter seems to miss the point entirely. It says that ""it is not possible for him (the President) to delegate any of the functions of the office as they are set out in the Constitution."" No one is suggesting the delegation of any functions ""set out in the Constitution."" The duties which constitute the crushing load of a President are the accumulation of hundreds of chores created by acts of Congress. And what the Congress can give it can take away without a constitutional amendment. The letter of Sherman Adams on the subject might have been expected. He is already, as the assistant to the President, a sort of general factotum. His letter to the Kennedy subcommittee says in effect that, while he (Mr. Adams) knows of no objection to the creation of a new office, he believes that it is not necessary. The Adams letter must be read in the light of the fact that no matter who is President, a spirit of intense jealousy resides in those who surround that great seat of power. The various helpers and assistants are much more concerned in keeping their own powers and prerogatives than in relieving the President of his burdens. I happen to have been a firsthand witness to this for many months in the first Roosevelt administration. When F.D.R. took over, it was found that Hoover had established three secretaries to the President with equal rank and an administrative assistant. ★ Louis Howe, who was not only a sick man at the time, but an intersely jealous man, saw to it that he was the only person who would hold the title of secretary. Steve Early and Marvin McIntyre were made ""assistant"" secretaries-much to their amazement and chagrin. I had been scheduled for the post of administrative assistant, but Howe arranged that that office be abolished and that I be given a job as Assistant Secretary of State, a post with no statutory duties in foreign affairs. This resulted in endless confusion because my activities were almost entirely those of a Presidential assistant. * But for a brief span, until he died, Louis Howe enjoyed plenary power, with no end of confusion and with the bestowal of a burden upon the President that would have broken a person of less capacity for detail. In the present instance, therefore, the opinions of those around the President should be taken with a large helping of salt. Only by definitive action of Congress can the President be relieved And the advice of Mr. Hoover should be regarded as most reliable and most disinterested. Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.",other,No categories met the 3-mention threshold.,other,NA,other,NA,
1956-01-27_166884915_1_page0.txt,1956-01-27,1956,DISTAFF POWER,"DISTAFF POWER BY RAYMOND MOLEY There is abundant evidence that the women of the nation may decide the 1956 election and that their decision may well take a conservative turn. Apparently the Eisenhower candidacy in 1952 attracted hundreds of thousands if not millions of women whose interest in politics had never before been aroused. I can offer only sheer speculation concerning the reason for this uprising. Perhaps it was the Korean war that stirred their concern for the lives of their menfolk. Perhaps it was the simple fact that a moral issue was presented by the corruption in the Truman administration. * Perhaps housewives were concerned about the vanishing purchasing power of their dollars. In any event, their preference for a change manifested itself in a big way. It is reported that the political agencies of organized labor, notably the CIOPAC, are deeply worried about keeping the wives of their members in line. There is news that the director of women's activities of the CIO has started a ""family participation"" program. The PAC is putting women on its various committees. Conferences have been held to ""correlate the ballot box with the breadbox."" This sudden interest in women reveals a certain naivete on the part of these political brains in labor. The fact is that women have been associating the ballot box with the breadbox for some time and have learned certain elementary lessons in economics that their husbands seem to have missed: They realize that every time a great labor victory has been won, such as the victory of the automobile union last spring, the prices of things have a way of going up. Fortunately for the political bosses of labor, inflation has been quieted in the food area. But this is at the expense of the farmers and not because of anything that labor statesmen accomplished. ★ The naivete which I mention is revealed in the fact that the people in labor who direct strategy failed to note that their brethren across the sea in the British Labor Party awakened after the election in 1950 to find that their majority in Parliament had melted away, in part because the wives of trade unionists were jolly well sick of the blundering administration of the government's rationing and food-buying policies. In that campaign I heard from more than one reporter who had toured the provinces that labor wives were asking whether there was any way for their husbands to find out how they voted. In the vote last fall in Ohio on the CIO-initiated ballot providing for bigger unemployment benefits it was clear that labor wives were unwilling as taxpayers to pay for the long vacations of people whom they regarded as drones and incompetents. * A polister who studied the 1952 election returns reported that many labor wives were beginning to realize that their financial status entitled them to belong to the so-called ""white collar"" class and that they were following that group into the Republican Party. The high command of the Republican Party is quite aware of this weakness in the opposition and is not planning to relax its effort to win more and more active participation by women in its local campaigns. In doing this it should realize, however, that women's votes are not won by a special appeal to women as such. Women resent being set apart as a special class. The wise political policy is to merge their interests with those of men and to make the same appeal to them as is made to men. The women are aroused— that is certain—but their desire is to be treated as equals, not as special problems. Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.",economy;labor,"4 economy mentions, 11+ labor mentions.",voter_turnout,"6 mentions of specific voter participation, get-out-the-vote efforts",politics,"Multiple mentions of election, candidacy, political party, ballots, and votes",
1956-01-31_166876244_1_page0.txt,1956-01-31,1956,THE GREEK GIFT,"The promotion of the ""Draft Warren"" movement has been star-crossed from the beginning. As a matter of cold politics, its promotion by Democrats and others of somewhat doubtful Republicanism would fatally impair it so far as support by organization Republicans is concerned. This is the sort of thing I mean: A week or so ago I heard a person whose ideas always come straight from the Democratic National Committee headquarters say that the Republicans should nominate Warren for President, and Lodge (H. C.) or Clare Luce or Margaret Chase Smith for Vice-President. There have been other lethal kisses. For example, Joseph L. Rauh, head of the ADA, said some time ago that the nomination of Warren by the Republicans would cause that left-wing adjunct of the Democratic Party to scratch its collective head in making a choice between him and Stevenson or Kefauver or Harriman. It would in effect be a ""luxury,"" a cup for the ADA overflowing with goodness. Adlai Stevenson is reported to have said that if he were to be opposed by Warren, it would be difficult to find anything to talk about. It might be suggested that Democrats for Warren as a Republican candidate may have been thinking of making campaigns more economical. If the ideological bond is so strong between the Chief Justice and the former Governor of Illinois, they could use the same campaign trains in stumping the country. That would save a lot of money for both parties. Indeed, in that case why have an election at all? Save all that burden on the State and local taxpayers. It would be an enlargement of the idea which seems to have failed, that the two parties raise money by a joint effort. A sort of community fund for candidates. The reason given by President Eisenhower for his unwillingness to favor Warren as a candidate —that the court should be kept out of politics—is a good and valid one. But the President has learned enough about politics to be fearful of Greeks bearing gifts and Democrats suggesting Republican candidates. It may well be that the zeal of Democrats for Warren and their vicious attacks upon Nixon stem from the same root of selfinterest. Perhaps Nixon plays too rough. However, there is another reason why the Warren movement would never succeed. The Dewey faction of the Republican Party is firmly and actively opposed to Warren. That difference goes back to the campaign that wilted in 1948. The Dewey people blame Warren's campaigning for the loss of many Republican votes. They say that whenever and wherever Warren spoke in that campaign, Republican workers suddenly lost their zeal. The result was that vast numbers of Republicans simply sat out the campaign and the election. Moreover, Dewey and Warren disagreed rather violently on the issues of public power and socialized medicine. Dewey taking the conservative side on both questions. Perhaps the Dewey people believe that Warren is too old and that Nixon is too young. Dewey is by that calculation exactly right. He is 11 years younger than Warren and 11 years older than Nixon. What an amazing coincidence",economy,3 mentions of economical/saving money.,voter_turnout,3 mentions of voter participation and turnout levels,politics,"Multiple mentions of nomination, candidates, political party, election, and campaigns",
1956-02-02_166888107_1_page0.txt,1956-02-02,1956,"LESS TALK, MORE DAM","LESS TALK, MORE DAM BY RAYMOND MOLEY In a notable speech last week before the National Republican Club in New York, Gov. Robert E. Smylie of Idaho hailed progress in his State in moving toward the solution of a power shortage by the work now being done by the Idaho Power Co. on its projected three power dams in Heli's Canyon, He said that the people of Idaho were now going to get ""kilowatts instead of conversation."" His attitude toward the Idaho Power Co.'s plan rather than the Federal plan, which has been favored by public power groups together with all and sundry Democratic politicians who have spoken on the subject, is characteristic of all officials elected at State-wide elections in Idaho for years. In election after election, the voters of Idaho have expressed their preference for the private company's plan. ★ And now, despite wintry weather in one of the most desolate and inaccessible gorges in the nation, the Idaho power project to build three great power dams is making rapid progress. Years of time have been lost in political warfare over this issue in Congress, on the hustings, and before the examiner of the Federal Power Commission. The plan for a $500,000,000 Federal dam as an alternative to the $180,000,000 three-dam project of the Idaho Power Co, had been before Congress for more than five years and Congress consistently refused to authorize it. The Truman administration prevented action by the Federal Power Commission on the Idaho power plan by a dog-in-the-manger policy of opposition. Finally, the Eisenhower administration, through Secretary McKay, removed the roadblock, and the FPC exhaustively considered the private company's application for a period of more than a year and a half. It approved the project last summer. The Morrison-Knudsen Co., a notable and experienced construction firm, in the course of the hearings before the examiner of the FPC, gave a firm pledge that it would if selected do the job for $133000,000, which was accepted by the company as its estimate. ★ After the license was issued and the way cleared for action, the Idaho Power Co. employed MorrisonKnudsen to build the project. This company carries great prestige for its work on the Grand Coulee, the Bonneville, Hoover and Hungry Horse Dams. It is now working particularly hard to make up for the time wasted in political maneuvering. Immediately after the contract was signed, M-K (as Morrison-Knudsen is known in the Northwest) moved in with men and equipment. Miles and miles of transmission lines are already built, no small achievement when it is considered that the crews were working partly in solid rock and partly in frozen earth. In January a great interstate bridge was under construction. A trailer court has been laid out, and at the first of the three dam sites there is excavation preparatory to the building of a tunnel through the rock. This is private enterprise at work backed by a State which is interested in electricity at the lowest cost and best service, and which has decided that this service can best come from its own Idaho company. Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.",business,10+ mentions of companies and private enterprise.,other,NA,politics,"3 mentions of elections, voters, and political warfare",
1956-02-07_166907655_1_page0.txt,1956-02-07,1956,ON AID FOR SCHOOLS,"ON AID FOR SCHOOLS BY RAYMOND MOLEY The President's proposals for Federal aid for school construction are lacking in some of the defects which characterized last year's plans. But the difficulty of getting action from a politically minded Congress is greater than ever. Indeed, it may well be that any possible formula for distributing Federal aid cannot be enacted. If that proves to be true, the President and Congress might well adopt the course which would have been better in any event, which would be to return some of the tax resources now monopolized by the Federal government to the States and local communities and let them build their own schools. Under the present plan there would be outright grants plus the purchase of bonds from school districts sufficient to build 60,000 additional classrooms over the next five years. This number, added to the 410,000 which the States and local communities can build, would bring the number of additional rooms up to the guess that 470,000 will be needed. This figure, 470,000, has been tossed around with such abandon that in some cases it is understood to be the number which the States and communities cannot build for themselves. That, as an examination of the facts proves, is not correct. In any event, it is a figure pulled out of the air. The U.S. Bureau of Education itself admits that ""it is impossible to state the exact number of additional classrooms today or the precise number that will be needed over a period of years."" The White House conference, despite the neat way in which its final report was engineered by the National Education Association, showed equal ignorance of need. It said that ""no State represented has a demonstrated financial incapacity to build the schools it will need during the next five years,"" but that because of politics most States lacked the courage to tax their people enough to meet their needs. It was upon the basis of this lack of courage that they decided to throw the job on the Federal government. For the building of the 60,000 rooms that the government guesses will satisfy the clamor—which is exactly what the request for Federal money means —the money appropriated will, according to the Bureau of Education, be allocated in accordance with a formula which will recognize need rather than mere want. Federal funds would be distributed according to the relative income per child in the State. Thus, the poorest State in terms of its income as compared with its children would get three times as much as the States with the largest income per child. Under this plan the highest premiums would go to Alabama, Arkansas, Mississippi, North Carolina and South Carolina. The lowest would go to Connecticut, New Jersey, New York, Delaware, California and Nevada. ★ There would, however, be a modification of this rating—a correction based upon ""effort."" In short, States which have shown more energy and ingenuity in meeting their needs would get a premium. If any benighted person believes that Congress will pass any such bureaucratic formula as this, he wholly misunderstands the mind of a Congressman. For the richer States will insist on a straight per pupil allotment, which would destroy the entire principle of giving only to the needy. My own suggestion would be that a sufficient number of the more profitable tax sources now collected by the Federal government be relinquished to the States. Then let the States build their own schools with money which is now exacted from their citizens by the Federal government. It is just as simple as that. Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.",economy,5+ mentions of tax and income.,other,NA,other,NA,
