new_filename,date_new,title.y,year.y,max_qda_imported,pubdate,abstract,index
1967-12-25batch1_1_page0.txt.txt,1967-12-25,A PERSONAL NOTE: THINGS OUTRACE IDEAS,1967,NA,"Dec 25, 1967","At the end of this year I shall discontinue my contributions in NEWSWEEK. For that reason, I take this occasion to inform those who have read my pieces over the years, especially the considerable number with whom I have had a friendly correspondence, that I shall permanently retain my office and base of operations here at NEWSWEEK, 444 Madison Avenue, New York, N.Y. 10022.",batch1_1.pdf
1967-12-11batch1_2_page0.txt.txt,1967-12-11,ROMNEY THE INCREDIBLE: AN UNCERTAIN TRUMPET,1967,NA,"Dec 11, 1967","If there were not a George Romney, Nelson Rockefeller would have to invent one. I am still willing to be convinced that the New York governor would reject a nomination if it sought him after the bloody field was strewn with the remains of the present aspirants. But even if Rockefeller does not want to be nominated, he is the authentic champion of the Eastern Establishment which cannot endure the prospect of a Republican convention without a candidate for the nomination who reflects the interests and views of that corner of the nation.",batch1_2.pdf
1967-11-13batch1_4_page0.txt.txt,1967-11-13,THE GOP MAINSTREAM: OBJECTIVES IN PACIFIC,1967,NA,"Nov 13, 1967","The word ""mainstream"" was vaguely and inaccurately used by Governor Rockefeller and others to belabor Barry Goldwater in 1964. But at this moment, when rivals for the Republican Presidential nomination are expressing their views about Vietnam, it has a special relevance.",batch1_4.pdf
1967-10-30batch1_5_page0.txt.txt,1967-10-30,PORTRAIT OF THE GOP: ACCENT ON ORGANIZATION,1967,NA,"Oct 30, 1967","Thirty-seven years have passed since the electorate in the Congressional elections of 1930 handed a vote of no confidence to the Republican Party. When we realize that a new generation has come of age since then, it is obvious why those people who shape public opinion have portrayed the GOP as an object of pity, scorn, contempt and ridicule.",batch1_5.pdf
1967-09-18batch1_8_page0.txt.txt,1967-09-18,ROCKEFELLER-REAGAN?: STRANGE BEDFELLOWS,1967,NA,"Sep 18, 1967","A leading member of the Reagan-for-President hopefuls has explained his preference in terms of ""maturity."" Ronald Reagan, he said, is more mature and sophisticated than was Barry Goldwater in 1964. But he quickly added that his people would find both Nelson Rockefeller and George Romney ""totally unacceptable.""",batch1_8.pdf
1967-08-21batch1_9_page0.txt.txt,1967-08-21,"WHAT KIND OF CITY?: HIGH UP, NOT SPRAWL",1967,NA,"Aug 21, 1967","In 1911 William Jennings Bryan was on a ship bound for Jamaica. With New York 1,100 miles behind, there was a storm and the ship struck a reef. Some passengers thought of God, their souls and their sins. Others, of their queasy innards. But the Peerless Leader conducted an investigation and concluded that there-ought-tobe-a-law.",batch1_9.pdf
1967-07-24batch1_11_page0.txt.txt,1967-07-24,"TITAN UNBOUND, I: THE STRATEGY OF SEAPOWER",1967,NA,"Jul 24, 1967","The traditional concept of Russia, which still lingers in the minds of American statesmen, is a great intercontinental land mass with a population of multiracial strains, sinister and inscrutable, ever crowding upon its neighbors, but locked in by its lack of warm-water exits to the world outside.",batch1_11.pdf
1967-06-26batch1_12_page0.txt.txt,1967-06-26,ASS IN LION'S SKIN: WHAT THE KREMLIN MISSED,1967,NA,"Jun 26, 1967","The masters in the Kremlin may or may not be familiar with that handbook for dictators, ""The Prince,"" by Niccolò Machiavelli. But their statecraft fits the pattern of that timeless book. Stalin, especially, may have known it since he was probably the best-read of the lot.",batch1_12.pdf
1967-02-20batch1_21_page0.txt.txt,1967-02-20,"WILSON, BULLITT, FREUD: AN OLD GRUDGE",1967,NA,"Feb 20, 1967","At least three long and perceptive reviews have fairly well disposed of the book ""Thomas Woodrow Wilson"" by Sigmund Freud and William C. Bullitt. Two of these were written by students of Freudianism and one by a fine historian, Barbara Tuchman. Their conclusions are that it is bad history, bad biography, bad psychoanalysis and even bad Freud.",batch1_21.pdf
1966-11-14batch1_32_page0.txt.txt,1966-11-14,PAYING FOR POLITICS?: THE OLD ABUSES CONTINUE,1966,NA,"Nov 14, 1966","It is strange indeed that members of Congress. who appropriate billions for the poor, should have neglected those of their own membership who are too poor to finance their own campaigns for re-election. Present methods of financing political campaigns are deplorable, and most who have studied the subject have concluded that assistance should be provided by the government itself.",batch1_32.pdf
