"","date","entryDate","year1","Title","Abstract","StoreId","filename1","filename"
"1",1969-07-14,"Jul 14, 1969",1969,"A Commentator Retires, With Certain Grave Forebodings","With the filing of this piece I terminate my years as a journalist. They began 36 years ago when I resigned from the Roosevelt Administration to undertake the editorship of Today, a new weekly magazine, In doing so I was realizing an ambition I had conceived years...",156173724,"156173724_1","156173724_1.pdf"
"2",1969-07-07,"Jul 7, 1969",1969,"Costly Federal Landholding","Two months ago in a piece under this byline titled """"Land Poor America,"""" I called attention to the very considerable cost to taxpayers of the vast holdings of land and mineral rights locked up by the federal government in the name of conservation.",156172292,"156172292_1","156172292_1.pdf"
"3",1969-07-01,"Jul 1, 1969",1969,"Alarming Soviet Sea Power","At the moment, our nuclear and, more specifically, our missile capability absorb the attention of the President, the Congress and the press. This is quite understandable because the prospect of attack and response through the great air spaces suggests a disaster from...",156234050,"156234050_1","156234050_1.pdf"
"4",1969-06-23,"Jun 23, 1969",1969,"Persian Gulf Pressure-Point","It is somewhat early to calculate the effect upon the economies of the Western nations and Japan of the immense oil discoveries in northern Alaska and Canada and the projected sea routes from those sources to the East and West. That was the subject of my piece a week ago.",156237787,"156237787_1","156237787_1.pdf"
"5",1969-06-16,"Jun 16, 1969",1969,"Arctic Sea Route","The proposal of the Humble Oil and Refining Co. and associated companies to spend millions to create a sea route from the Alaskan and Canadian oil fields to the Atlantic Ocean should ignite the interest of every observer of foreign affairs.",156237138,"156237138_1","156237138_1.pdf"
"6",1969-06-09,"Jun 9, 1969",1969,"Vital Salt-Water Arteries","Since the President of the United States has so many diplomatic irons in the fire, what he says at one time on any one subject must fall short of a complete statement of both immediate and ultimate objectives. This was true of Mr. Nixon's address on Vietnam on May 14.",156202930,"156202930_1","156202930_1.pdf"
"7",1969-06-02,"Jun 2, 1969",1969,"The Relevance of Adm. Mahan","History has a way of reciting the fortunes of nations in terms of great commanders and statesmen who, from time to time, have dominated the forces that determined the ebb and flow of world affairs. But more often than not, there were students removed from the vicissitudes of...",156303476,"156303476_1","156303476_1.pdf"
"8",1969-05-26,"May 26, 1969",1969,"College Students Have a Valid Complaint on Teaching Setup","Most of the cases of student unrest go back a good many years. A bit of history about Columbia wvill provide an excellent example.",156189397,"156189397_1","156189397_1.pdf"
"9",1969-05-19,"May 19, 1969",1969,"Failure of the Faculties","In the past two years I have, in composing these weekly pieces, hesitated to add to the torrent of comment about the campus ordeals. One reason for this restraint has been my isolation in the high tower of journalism where one sees so many and knows so few.",156108829,"156108829_1","156108829_1.pdf"
"10",1969-05-12,"May 12, 1969",1969,"U.S. Finance: The Bigger the Surplus, the Bigger the Debt","Americans who read only the headlines complacently believe that President Nixon's revision of the Johnson budget figures gives the government a nice surplus of receipts over expenditures for fiscal 1970. And thus that the threat of inflation may well be measurably...",156220294,"156220294_1","156220294_1.pdf"
"11",1969-04-28,"Apr 28, 1969",1969,"Real Enemies of Black Studies Are Its Backers","It's a pity that the introduction of black studies in so many institutions should come at a moment when militancy among both white and black students is rampant and when those dissidents have so many and such diverse objectives. For long ago there should have been a place...",156181414,"156181414_1","156181414_1.pdf"
"12",1969-04-22,"Apr 22, 1969",1969,"Too Much Conservation?","When Walter J. Hickel, shortly after being designated as interior secretary, made some statements in an interview to the effect that the conservation of our national resources had been overemphasized, he found himself the target of bitter attack.",156166901,"156166901_1","156166901_1.pdf"
